"","a_log","h12","h_log","kr_log","sigma","sigma2","error","a_log.est","h_log.est","h12.est","kr_log.est","sigma.est","sigma2.est","converge","BIC","logLik","strtpt"
"63","-1.5","-5e-04","-4","-3","0.2","0.2","NaN","-1.7724994444919","-5.35274490092035","3.7903543758444e-05","-2.26032501782972","0.46456759620735","0.262338517053349","0","2916.30157619507","-1439.40086237076","29"
"64","-3","-5e-04","-1","-2.375","0.2","0.2","NaN","-2.45930845182507","-1.79227331246194","-0.138820637960702","-2.05714035745409","0.67911686795139","0.280438471653623","0","3357.15346759546","-1659.82680807095","226"
"65","-2","-5e-05","-1","-3","0.2","0.2","NaN","NaN","NaN","NaN",NA,"NaN","NaN","NaN","NaN","NaN","118"
"66","-1.5","-0.00035","-5","-1.125","0.2","0.2","NaN","-1.45543104929229","-4.81529374128665","7.09943695646512e-05","-0.77251057451774","0.420620462263812","0.279749899972211","0","2862.04011517425","-1412.27013186035","384"
"67","-3","-5e-04","-3","-2.375","0.2","0.2","NaN","-1.68834882370831","-5.29022010287366","3.46746127185165e-05","2.36668300544132","0.482354860975353","0.285059176510613","0","2956.37755122043","-1459.43884988344","176"
"68","-1.5","1e-04","-1","-1.75","0.2","0.2","NaN","-1.92805376330482","-0.891652517915786","-0.337443663730746","-1.46028811758175","0.687108731943","0.280973382356634","0","3364.1741892165","-1663.33716888147","374"
"69","-2","-2e-04","-2","-3","0.2","0.2","NaN","-1.60790647082089","-5.0797692371227","5.30258168417801e-05","-6.2994001159083","0.441156511619437","0.280764235753165","0","2905.86998181005","-1434.18506517825","88"
"70","-2.5","-2e-04","-4","-1.125","0.2","0.2","NaN","-1.41412310734519","-5.00240418908002","9.26081323491921e-05","-0.379507422735433","0.418591811644051","0.2817741621066","0","2855.30894392909","-1408.90454623777","412"
"71","-3","-0.00035","-4","-0.5","0.2","0.2","NaN","-1.41470710172743","-4.94918039048719","8.74510228942182e-05","-0.291058438697523","0.416910336921163","0.28057817998961","0","2853.66236555668","-1408.08125705156","531"
"72","-3","-5e-04","-1","-1.75","0.2","0.2","NaN","NaN","NaN","NaN",NA,"NaN","NaN","NaN","NaN","NaN","351"
"73","-3","-2e-04","-3","-3","0.2","0.2","NaN","-1.26533446561131","-3.68247781274716","5.31693785996355e-05","-1.0995138343885","0.451056169365561","0.268942825259988","0","2911.17813917513","-1436.83914386079","61"
"74","-2.5","-0.00035","-5","-1.125","0.2","0.2","NaN","-1.51357076260094","-5.37379482799033","8.508600465962e-05","-1.34326610718508","0.430578172430105","0.280357603619631","0","2876.03199793076","-1419.2660732386","382"
"75","-2.5","-5e-04","-2","-0.5","0.2","0.2","NaN","-1.87265002561227","-2.00792859560665","-0.000791813242435992","-0.733329524017632","0.559564884991609","0.28045301156021","0","3151.82248158601","-1557.16131506622","577"
"76","-2.5","-5e-05","-2","-2.375","0.2","0.2","NaN","-2.38347348174468","-2.01226877305346","-0.00166856999864122","-2.42578280185886","0.5920885860566","0.280928754050171","0","3209.18144223263","-1585.84079538954","217"
"77","-1.5","-5e-04","-1","-3","0.2","0.2","NaN","-1.58121235369781","-1.76511335929318","-0.000801841944942286","-1.96152898094614","0.602171149183208","0.338450989721498","0","3217.28762547764","-1589.89388701204","104"
"78","-3","-5e-05","-5","-3","0.2","0.2","NaN","-1.62471776208377","-7.68870542250322","0.000114368963545354","-2.2066213669172","0.443556579850773","0.280544950919632","0","2912.927932247","-1437.71404039672","16"
"79","-2.5","-5e-05","-4","-1.75","0.2","0.2","NaN","-1.3140766834655","-4.7249685415085","9.81014398755012e-05","0.543529321565691","0.417459208081441","0.280514077131944","0","2845.67225865989","-1404.08620360317","292"
"80","-3","-5e-05","-1","-3","0.2","0.2","NaN","-2.92510624416242","-1.26865136869743","-0.00415862944157071","-3.1048579404959","0.67282536195241","0.275071883280258","0","3279.22375923473","-1620.86195389058","116"
"81","-1.5","-2e-04","-5","-0.5","0.2","0.2","NaN","-1.41707560151809","-4.07291642904712","3.62891552279277e-05","-0.352024069970579","0.431268030217612","0.271228588418859","0","2869.64974700798","-1416.07494777721","514"
"82","-2","-2e-04","-5","-1.125","0.2","0.2","NaN","-1.36513554201119","-5.51945750029444","0.000128922829120719","0.488044691517348","0.427092569474275","0.282517705408736","0","2855.75679256384","-1409.12847055514","388"
"83","-1.5","-0.00035","-1","-2.375","0.2","0.2","NaN","-1.59334272630335","-5.01942459563777","5.29238896593752e-05","-3.78096773970155","0.439606286195628","0.280655855246202","0","2901.9560783811","-1432.22811346377","234"
"84","-1.5","-5e-04","-5","-0.5","0.2","0.2","NaN","-1.30197375411575","-4.34299767326185","7.89501788511926e-05","0.253704501502457","0.419755507450775","0.28194451841111","0","2849.58259201098","-1406.04137027871","504"
