"","a_log","h_log","sigma","sigma2","error","a_log.est","h_log.est","sigma.est","sigma2.est","converge","BIC","logLik","strtpt"
"17","-1.66666666666667","-1","0.2","0.2","NaN","-1.64645173586362","-4.57804173988735","0.445941980211532","0.280810647382524","0","2904.99222283699","-1439.99616093398","97"
"18","-2.33333333333333","-2.77777777777778","0.2","0.2","NaN","-1.64646163854033","-4.57814388152033","0.446024405289422","0.280855085740303","0","2904.99213863858","-1439.99611883477","54"
"19","-2.11111111111111","-1","0.2","0.2","NaN","-1.64623463960292","-4.5769212351082","0.446053626749157","0.280864651610951","0","2904.99212938491","-1439.99611420794","95"
"20","-2.55555555555556","-4.55555555555556","0.2","0.2","NaN","-1.64649159961268","-4.57700778857076","0.446064366061787","0.280867051450266","0","2904.99215979568","-1439.99612941332","13"
"21","-2.77777777777778","-2.33333333333333","0.2","0.2","NaN","-1.64642852317879","-4.57769701745343","0.445902225507678","0.280852738697263","0","2904.99222043749","-1439.99615973423","62"
"22","-1.88888888888889","-5","0.2","0.2","NaN","-1.64610368176655","-4.57797633118848","0.445910804265069","0.280781156534279","0","2904.99236087787","-1439.99622995442","6"
"23","-2.33333333333333","-5","0.2","0.2","NaN","-1.64629978106297","-4.57831426870402","0.446045383065097","0.280897876740976","0","2904.99216396083","-1439.9961314959","4"
"24","-2.77777777777778","-3.22222222222222","0.2","0.2","NaN","-1.64621288646863","-4.57713820427014","0.446071753339903","0.280825893336431","0","2904.99215537774","-1439.99612720435","42"
"25","-1.88888888888889","-1.44444444444444","0.2","0.2","NaN","-1.64628219775972","-4.57729582961182","0.446094041341142","0.280864051507681","0","2904.9921365514","-1439.99611779118","86"
"26","-1.66666666666667","-4.11111111111111","0.2","0.2","NaN","-1.64764548728787","-4.57411343037439","0.445653558301333","0.280848662033661","0","2904.99512837242","-1439.99761370169","27"
"27","-2.55555555555556","-1.88888888888889","0.2","0.2","NaN","-1.64647626842242","-4.5778215964721","0.446145492757107","0.280861017634187","0","2904.99219229077","-1439.99614566087","73"
"28","-1","-2.33333333333333","0.2","0.2","NaN","-1.64643626061879","-4.57714280816843","0.446013085409233","0.280868557990867","0","2904.99213831393","-1439.99611867245","70"
"29","-2.11111111111111","-5","0.2","0.2","NaN","-1.64591018766819","-4.57793783340887","0.445866359004198","0.280843698790648","0","2904.99242106627","-1439.99626004861","5"
"30","-2.77777777777778","-1","0.2","0.2","NaN","-1.64628867303769","-4.57801401840287","0.446103576053071","0.280882646680787","0","2904.99216079593","-1439.99612991344","92"
"31","-2.33333333333333","-3.66666666666667","0.2","0.2","NaN","-1.64625486683143","-4.57671455284527","0.446077769725453","0.280866412792115","0","2904.9921455714","-1439.99612230118","34"
"32","-1.44444444444444","-1","0.2","0.2","NaN","-1.64624808131713","-4.57732103942437","0.446042053272719","0.280865332039603","0","2904.99212074319","-1439.99610988708","98"
"33","-3","-2.33333333333333","0.2","0.2","NaN","-1.64620399354875","-4.57678237561783","0.446091133743612","0.280805054117964","0","2904.99220334716","-1439.99615118906","61"
"34","-2.11111111111111","-3.66666666666667","0.2","0.2","NaN","-1.64694541208607","-4.57854290226446","0.446059805700182","0.280817913793154","0","2904.99233737963","-1439.99621820529","35"
"35","-2.33333333333333","-2.33333333333333","0.2","0.2","NaN","-1.64627936878743","-4.57722755785968","0.44613756732456","0.280867627758019","0","2904.99217294193","-1439.99613598645","64"
"36","-1.44444444444444","-5","0.2","0.2","NaN","-1.6464237788781","-4.57752858072811","0.446060630811119","0.280895894927769","0","2904.99213533969","-1439.99611718533","8"
"37","-1.88888888888889","-3.66666666666667","0.2","0.2","NaN","-1.64639069973168","-4.57745430809796","0.446072462631478","0.280874028561928","0","2904.99212769176","-1439.99611336136","36"
"38","-2.77777777777778","-1.44444444444444","0.2","0.2","NaN","-1.64635902682882","-4.57791706619081","0.446073769210325","0.280905928033062","0","2904.99214989237","-1439.99612446167","82"
"39","-3","-3.22222222222222","0.2","0.2","NaN","-1.64620315714843","-4.57715324437081","0.446082128118377","0.280918445658192","0","2904.99216722011","-1439.99613312554","41"
"40","-1.44444444444444","-2.77777777777778","0.2","0.2","NaN","-1.64638208604663","-4.57775561082082","0.445986738923971","0.280836211313976","0","2904.99214837644","-1439.9961237037","58"
"41","-3","-1.44444444444444","0.2","0.2","NaN","-1.64634819916854","-4.57790118986029","0.445947215729124","0.280837856756809","0","2904.99217940893","-1439.99613921995","81"
"42","-2.11111111111111","-2.33333333333333","0.2","0.2","NaN","-1.64613278206156","-4.5767585592323","0.446016290645434","0.280834062825141","0","2904.99215861867","-1439.99612882481","65"
"43","-2.55555555555556","-2.77777777777778","0.2","0.2","NaN","-1.64650224284328","-4.57730284986888","0.446142484274912","0.280901848000029","0","2904.99221509614","-1439.99615706355","53"
"44","-2.77777777777778","-4.11111111111111","0.2","0.2","NaN","-1.6458546533858","-4.57848850117128","0.446011485888323","0.2810044075004","0","2904.99261336905","-1439.99635620001","22"
"45","-1.88888888888889","-4.55555555555556","0.2","0.2","NaN","-1.64607730245183","-4.57599836348573","0.446012262250938","0.280936013236936","0","2904.99225276824","-1439.9961758996","16"
"46","-1","-3.66666666666667","0.2","0.2","NaN","-1.64627331955162","-4.5782123872121","0.446022689858551","0.280915397008982","0","2904.99217825491","-1439.99613864294","40"
"47","-1.44444444444444","-3.66666666666667","0.2","0.2","NaN","-1.64690048773589","-4.57867269876855","0.445952084799222","0.280891033422916","0","2904.99231806215","-1439.99620854656","38"
"48","-1","-1.44444444444444","0.2","0.2","NaN","-1.64632786985921","-4.57698358162295","0.446042440189026","0.280812697840291","0","2904.99217025402","-1439.99613464249","90"
"49","-1.66666666666667","-1.44444444444444","0.2","0.2","NaN","-1.64578941295948","-4.57490988353708","0.446123640294645","0.280803492849203","0","2904.9924557445","-1439.99627738773","87"
"50","-3","-4.55555555555556","0.2","0.2","NaN","-1.64674267172203","-4.57874094958914","0.446070257814996","0.280885494678229","0","2904.99222197679","-1439.99616050388","11"
"51","-1.66666666666667","-3.22222222222222","0.2","0.2","NaN","-1.64288262938439","-4.55759428768539","0.445384288688794","0.281307400746122","0","2905.01073307534","-1440.00541605315","47"
"52","-3","-1","0.2","0.2","NaN","-1.64620577745816","-4.57797363431955","0.446010155194964","0.280851062766075","0","2904.99215505791","-1439.99612704444","91"
"53","-1.44444444444444","-4.55555555555556","0.2","0.2","NaN","-1.64576355191668","-4.57636188178937","0.446031228809038","0.280861439117305","0","2904.99226520342","-1439.99618211719","18"
"54","-1.22222222222222","-5","0.2","0.2","NaN","-1.64653152582227","-4.58000205107905","0.446003285659074","0.280908423212614","0","2904.99236743492","-1439.99623323294","9"
"55","-1.88888888888889","-4.11111111111111","0.2","0.2","NaN","-1.64607974481311","-4.57877680436777","0.445941443949413","0.280781904852257","0","2904.99242701726","-1439.99626302411","26"
"56","-1.44444444444444","-1.88888888888889","0.2","0.2","NaN","-1.64621394279104","-4.57747493763764","0.446118118979631","0.280855785148148","0","2904.99216252876","-1439.99613077986","78"
