"","a_log","a12","h12","h_log","kr_log","sigma","sigma2","error","a_log.est","a12.est","h_log.est","h12.est","kr_log.est","sigma.est","sigma2.est","converge","BIC","logLik","strtpt"
"43","-1.5","-5e-04","-5e-04","-5","-1.75","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1254"
"44","-3","-5e-04","-2e-04","-1","-1.125","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2426"
"45","-1.5","-5e-05","-5e-04","-2","-1.125","0.2","0.2","NaN","-1.57054397855488","-0.00151031320679759","-2.12071678672573","-0.0977482031822965","-1.27374171206656","0.667379168200305","0.283548351376669","0","3315.89141124212","-1636.07079227315","2269"
"46","-2.5","-2e-04","-2e-04","-4","-2.375","0.2","0.2","NaN","-2.51080068154335","0.000322024780139668","-3.90110662355328","1.40841863873165e-05","-1.85366175025419","0.535393212263128","0.281596774204585","0","3093.33417968484","-1524.79217649451","812"
"47","-2","-5e-05","-5e-05","-4","-1.75","0.2","0.2","NaN","-1.13898021461582","-0.000548301319969718","-4.08330938013251","-2.68172017912162e-05","-0.043558517886086","0.401108365254104","0.280219199507852","0","2818.08623913509","-1387.16820621964","1468"
"48","-3","1e-04","-0.00035","-4","-2.375","0.2","0.2","NaN","-2.14613248842987","0.000102617042032638","-5.0993839724533","1.90880866537009e-05","-2.74479312246759","0.704876716046388","0.285974032400175","0","3119.81455051194","-1538.03236190806","796"
"49","-1","1e-04","-2e-04","-3","-0.5","0.2","0.2","NaN","-0.772289610323996","-0.000908915426796402","-3.16773497177455","-0.000114979505740699","-0.461108142523374","0.476002164758409","0.265019883835037","0","2892.15804196352","-1424.20410763385","2825"
"50","-1.5","-0.00035","-5e-04","-4","-0.5","0.2","0.2","NaN","NaN","NaN","NaN","NA","NaN","NaN","NaN","NaN","NaN","NaN","2634"
"51","-1","-5e-04","1e-04","-1","-0.5","0.2","0.2","NaN","-1.14921494741671","-0.000730814337531165","-1.02475812768415","-0.00165417987546384","-0.675369754785918","0.572970085957096","0.278875764171827","0","3162.97703280828","-1559.61360305623","3105"
"52","-3","-0.00035","1e-04","-5","-1.125","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1981"
"53","-3","-5e-05","-5e-04","-4","-2.375","0.2","0.2","NaN","-1.27751448313865","-0.000426551219633501","-4.42710369298353","-4.29030949580478e-06","-1.33901063901799","0.411829581781846","0.281804480164769","0","2837.27745194123","-1396.76381262271","766"
"54","-2","1e-04","-5e-05","-3","-0.5","0.2","0.2","NaN","-0.971945566476301","-0.000767993390639354","-2.96147589874149","-0.000208548894177321","-0.168301468383843","0.410130063664923","0.283389418456834","0","2868.84171185673","-1412.54594258046","2848"
"55","-1.5","-2e-04","-5e-05","-5","-3","0.2","0.2","NaN","-1.42515028174194","-0.000330535396377362","-4.93695470319698","1.74755226093427e-05","-2.95004935502985","0.419662516802983","0.280055816712864","0","2864.92478573092","-1410.58747951755","89"
"56","-1.5","-5e-04","-2e-04","-1","-0.5","0.2","0.2","NaN","-1.56162422198842","-0.0023113948761155","-0.960663356249648","-0.107009575586411","-0.600383073787254","0.655382886734226","0.286342968130996","0","3335.84141043142","-1646.0457918678","3054"
"57","-2","-5e-05","-2e-04","-4","-3","0.2","0.2","NaN","-1.6197916984567","-0.000179065795413062","-6.11887689752349","5.55570477012664e-05","-5.78895757435353","0.437428457012052","0.280399869831279","0","2903.5491460502","-1429.89965967719","193"
"58","-1","-0.00035","1e-04","-1","-3","0.2","0.2","NaN","-0.905262609468789","-0.0130907339910864","-1.09369068294832","-0.273063687301798","-3.04380079919505","0.680810992016032","0.278860959320636","0","3356.81025600864","-1656.53021465641","610"
"59","-3","-5e-04","-5e-04","-1","-2.375","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1126"
"60","-3","-2e-04","1e-04","-5","-1.125","0.2","0.2","NaN","-1.91983065234115","-3.4981431105163e-05","-3.00983244217724","-9.12566865657756e-05","-2.70008018296332","0.495845051577951","0.272002123972869","0","3048.79129403573","-1502.52073366995","1986"
"61","-2","-5e-05","-5e-05","-2","-1.125","0.2","0.2","NaN","NaN","NaN","NaN","NA","NaN","NaN","NaN","NaN","NaN","NaN","2343"
"62","-1.5","1e-04","-2e-04","-2","-1.125","0.2","0.2","NaN","-1.68137637735936","-0.00015233490075694","-2.20517614923187","-0.000224937827425402","-1.03719591568149","0.525420414557931","0.285076518297791","0","3096.00125903058","-1526.12571616738","2324"
"63","-2","-2e-04","-2e-04","-2","-0.5","0.2","0.2","NaN","NaN","NaN","NaN","NA","NaN","NaN","NaN","NaN","NaN","NaN","2938"
"64","-1","1e-04","1e-04","-2","-0.5","0.2","0.2","NaN","-1.00592845798068","-0.000792629020248218","-1.97074034492366","-0.00062289624909487","-0.534276466518903","0.499459292990786","0.287072871745629","0","3009.17498479368","-1482.71257904893","3000"
"65","-3","-5e-05","-0.00035","-3","-3","0.2","0.2","NaN","-2.94096689365221","-0.00166307602087599","-2.98556390572909","-0.144648037268934","-3.08675603420408","0.688324485247786","0.294749960473307","0","3320.88213625019","-1638.56615477719","291"
"66","-3","-2e-04","-5e-05","-2","-1.75","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1711"
"67","-3","-2e-04","1e-04","-2","-1.125","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2361"
"68","-1","-5e-04","-5e-04","-2","-3","0.2","0.2","NaN","-1.00083343557149","-0.000766019950902801","-1.99640835860896","-0.000579397691868615","-2.99296202494558","0.432323071286681","0.254185310390336","0","3086.85042438098","-1521.55029884258","380"
"69","-3","-2e-04","-5e-04","-5","-1.125","0.2","0.2","NaN","-2.75490383886105","-0.000689404617778332","-4.99007966912093","-0.141843037619478","-1.2670731263342","0.703307540408379","0.292955137025075","0","3332.44149391038","-1644.34583360728","1886"
"70","-2","-5e-04","-0.00035","-5","-3","0.2","0.2","NaN","-1.43092596986884","-0.000322749179602399","-5.1931660632565","3.29906737342043e-05","-2.99825682541981","0.422449850456068","0.280332753240067","0","2870.56635987721","-1413.4082665907","28"
"71","-2.5","-5e-04","-5e-04","-5","-1.125","0.2","0.2","NaN","NaN","NaN","NaN","NA","NaN","NaN","NaN","NaN","NaN","NaN","1877"
"72","-2.5","-0.00035","-2e-04","-4","-0.5","0.2","0.2","NaN","-2.2913617941708","-0.0611709798494899","-4.13716948342442","-0.267804671943746","-0.416664158989776","0.678978328826781","0.28116152681562","0","3374.31613564626","-1665.28315447522","2682"
"73","-2.5","-2e-04","-5e-04","-5","-3","0.2","0.2","NaN","-1.50114545639332","-0.000258076813485224","-5.9924548829958","6.66512926157762e-05","-2.9698308736011","0.431672464874918","0.281193983059803","0","2889.80725590322","-1423.0287146037","12"
"74","-2","-2e-04","-5e-04","-1","-0.5","0.2","0.2","NaN","NaN","NaN","NaN","NA","NaN","NaN","NaN","NaN","NaN","NaN","3013"
"75","-3","-0.00035","-5e-05","-2","-0.5","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2956"
"76","-3","-5e-04","-2e-04","-2","-3","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","426"
"77","-3","-2e-04","-0.00035","-4","-1.125","0.2","0.2","NaN","NaN","NaN","NaN","NA","NaN","NaN","NaN","NaN","NaN","NaN","2036"
"78","-3","-0.00035","-5e-04","-2","-3","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","381"
"79","-1","-0.00035","-2e-04","-1","-1.75","0.2","0.2","NaN","-1.13199870812848","-0.00796561734141406","-0.948839455522633","-0.276984910791623","-1.88938372335614","0.720379615398849","0.283231997802852","0","3346.43159072616","-1651.34088201517","1810"
"80","-2.5","-2e-04","-0.00035","-3","-0.5","0.2","0.2","NaN","-0.796854991136237","-0.000892478742256864","-3.01576700196354","-0.0001536601471454","0.847935848438427","0.415733337936768","0.280941251710068","0","2849.904287588","-1403.07723044609","2787"
"81","-3","-2e-04","-5e-04","-2","-3","0.2","0.2","NaN","-3.02819443619961","-0.000339500317966694","-1.98182603172622","-0.234818592926848","-3.04895477795079","0.683252657244975","0.272975619562498","0","3354.94899989903","-1655.59958660161","386"
"82","-1.5","-2e-04","-5e-04","-2","-1.125","0.2","0.2","NaN","NaN","NaN","NaN","NA","NaN","NaN","NaN","NaN","NaN","NaN","2264"
"83","-3","-0.00035","-5e-04","-5","-0.5","0.2","0.2","NaN","1.53238121209066","0.480146732105116","-5.06098892441602","0.201070835452219","-1.81433243107915","0.67285031835644","0.280627178996997","0","3349.05256208791","-1652.65136769605","2506"
"84","-3","-5e-04","-5e-05","-5","-0.5","0.2","0.2","NaN","-4.19785573842315","3.41260425204369","-9.71992129727901","0.000757893282441439","9.69344745600874","0.506292026023887","0.280744620237167","0","3050.75176719149","-1503.50097024784","2576"
"85","-2.5","1e-04","-5e-04","-2","-3","0.2","0.2","NaN","NaN","NaN","NaN","NA","NaN","NaN","NaN","NaN","NaN","NaN","397"
"86","-2.5","-5e-05","-5e-04","-5","-1.125","0.2","0.2","NaN","-2.44403392542702","0.000368544484742114","-4.50801417607527","4.60894244756271e-05","-1.14260072721877","0.510873281254122","0.280429996863245","0","3061.36013441681","-1508.8051538605","1892"
"87","-2.5","-2e-04","-5e-04","-2","-3","0.2","0.2","NaN","NaN","NaN","NaN","NA","NaN","NaN","NaN","NaN","NaN","NaN","387"
"88","-3","1e-04","-0.00035","-4","-1.75","0.2","0.2","NaN","-1.29516479022803","-0.000419519610919748","-4.40346035343947","-8.4559342191992e-06","-1.57827285642087","0.397913860260986","0.264512515019822","0","2845.93720943411","-1401.09369136915","1421"
"89","-2.5","1e-04","-2e-04","-3","-1.125","0.2","0.2","NaN","-2.52904565703864","0.000406206585796922","-3.11919318794167","-5.28080245094949e-06","-1.1454701015037","0.519183922156986","0.283672063256815","0","3129.1804277671","-1542.71530053564","2197"
