"","r2_log","alpha11","alpha22","alpha12","alpha21","sigma","sigma2","error","r2_log.est","alpha11.est","alpha12.est","alpha22.est","alpha21.est","sigma.est","sigma2.est","converge","BIC","logLik","strtpt"
"15","-0.5","0.005","0.001","0.001","5e-04","0.2","0.2","non-finite finite-difference value [1]","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","252"
"16","-5","5e-04","0.005","0.001","0.001","0.2","0.2","non-finite finite-difference value [1]","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","353"
"17","-0.5","0.001","0.005","0.001","5e-04","0.2","0.2","NaN","-0.5","0.00100000000000007","0.00100000000000008","0.00499999999999999","0.000499999999999926","0.2","0.2","0","1134.00983513449","-548.37438264026","240"
"18","-0.5","0.001","5e-04","5e-04","0.001","0.2","0.2","NaN","-0.500015682309615","0.000878652486406983","0.00204572301400071","0.00361519196011548","0.00054266937356507","0.200044181525837","0.200100406356365","0","982.845316853827","-472.792123499929","776"
"19","-5","0.001","5e-04","5e-04","0.001","0.2","0.2","non-finite finite-difference value [1]","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","269"
"20","-0.5","5e-04","0.001","0.001","0.001","0.2","0.2","non-finite finite-difference value [1]","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","468"
"21","-3","0.001","0.001","5e-04","0.001","0.2","0.2","non-finite finite-difference value [1]","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","286"
"22","-1","0.001","0.005","0.001","5e-04","0.2","0.2","NaN","-2.64730688880342","0.000882868420938125","0.00210175577896752","0.00744251414233157","-0.000496717646496175","0.321061380030955","0.243215061147481","0","166.533107122109","-64.6360186340701","239"
"23","-0.5","0.001","0.001","0.005","0.005","0.2","0.2","non-finite finite-difference value [1]","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","704"
"24","-5","0.001","0.001","0.001","0.001","0.2","0.2","non-finite finite-difference value [1]","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1013"
"25","-5","0.001","0.005","0.005","0.001","0.2","0.2","NaN","-5.97260660888489","0.000870119894476004","0.00205718552556981","-0.0912737984385869","-0.0285062892236865","0.198677799360101","0.242809327021885","0","365.300936191445","-164.019933168738","941"
"26","-1","5e-04","5e-04","0.005","0.005","0.2","0.2","non-finite finite-difference value [1]","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","643"
"27","-0.5","0.001","0.005","0.001","5e-04","0.2","0.2","NaN","-0.5","0.00100000000000007","0.00100000000000008","0.00499999999999999","0.000499999999999926","0.2","0.2","0","1134.00983513449","-548.37438264026","104"
"28","-5","5e-04","5e-04","0.001","0.005","0.2","0.2","non-finite finite-difference value [1]","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","705"
"29","-0.5","5e-04","5e-04","5e-04","5e-04","0.2","0.2","non-finite finite-difference value [1]","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","4"
"30","-3","0.005","0.005","0.001","5e-04","0.2","0.2","NaN","-6.21905190262087","0.000839101102903078","0.00186655755906847","0.0366958084069915","-0.0233049537939564","0.210543403558051","0.224174160032486","0","268.666791340551","-115.702860743291","106"
"31","-1","5e-04","5e-04","0.001","5e-04","0.2","0.2","non-finite finite-difference value [1]","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","67"
"32","-1","5e-04","0.005","0.001","0.001","0.2","0.2","non-finite finite-difference value [1]","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","355"
"33","-1","0.001","0.005","0.001","0.005","0.2","0.2","NaN","-4.01608712456898","0.000941042973818107","0.00183861379076479","0.0230843613106745","-0.00893390105588797","0.328729864469891","0.226493634924581","0","191.570335537536","-77.1546328417835","751"
"34","-1","0.001","0.001","0.001","0.001","0.2","0.2","NaN","-1.01343865968034","0.000876675266803183","0.0019031507666141","0.00240305502711069","0.000608127874168455","0.322671230183887","0.304705464550693","0","318.955999796697","-140.847464971364","503"
"35","-0.5","0.001","0.005","0.005","0.005","0.2","0.2","non-finite finite-difference value [1]","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","688"
"36","-1","0.001","0.005","0.001","0.001","0.2","0.2","non-finite finite-difference value [1]","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","871"
"37","-5","0.001","5e-04","0.001","0.001","0.2","0.2","non-finite finite-difference value [1]","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","461"
"38","-3","0.005","0.001","0.001","0.005","0.2","0.2","non-finite finite-difference value [1]","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","634"
"39","-1","0.001","0.001","0.005","0.005","0.2","0.2","non-finite finite-difference value [1]","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","663"
"40","-3","0.001","0.001","0.005","5e-04","0.2","0.2","NaN","-6.3644082248619","0.000901682311210744","0.00183498123672611","-0.0238665668434506","-0.00130028565102173","0.338000517263809","0.261806507138563","0","195.363379260066","-79.0511547030488","182"
"41","-0.5","0.001","0.005","5e-04","0.001","0.2","0.2","non-finite finite-difference value [1]","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","304"
"42","-3","0.001","0.005","0.005","0.005","0.2","0.2","non-finite finite-difference value [1]","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","686"
"43","-3","0.001","5e-04","0.001","0.001","0.2","0.2","non-finite finite-difference value [1]","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","326"
"44","-0.5","0.001","0.005","0.005","0.001","0.2","0.2","non-finite finite-difference value [1]","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","944"
"45","-3","0.005","0.001","5e-04","0.001","0.2","0.2","NaN","-2.99965820805889","0.000788377038754683","0.00251422880173568","0.0157544420221605","-0.00333600998056739","0.212310469584437","0.22858384594905","0","260.606910573085","-111.672920359558","826"
"46","-5","0.001","0.001","0.005","0.005","0.2","0.2","non-finite finite-difference value [1]","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","701"
"47","-0.5","0.001","5e-04","0.005","5e-04","0.2","0.2","NaN","-1.67027534310892","0.000677016489856579","0.00240261092373136","0.00240392402324207","0.000787858067067649","0.264729583772892","0.321392077561155","0","220.645068226426","-91.6919991862283","136"
"48","-5","5e-04","0.001","0.001","0.001","0.2","0.2","non-finite finite-difference value [1]","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1009"
"49","-5","5e-04","0.001","0.001","5e-04","0.2","0.2","non-finite finite-difference value [1]","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","241"
"50","-3","0.005","0.005","0.005","0.001","0.2","0.2","non-finite finite-difference value [1]","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","426"
"51","-1","0.005","0.001","0.001","0.001","0.2","0.2","non-finite finite-difference value [1]","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1019"
"52","-5","5e-04","0.001","5e-04","5e-04","0.2","0.2","non-finite finite-difference value [1]","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","17"
"53","-3","5e-04","5e-04","0.005","0.001","0.2","0.2","non-finite finite-difference value [1]","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","386"
"54","-3","0.001","0.001","0.005","0.001","0.2","0.2","non-finite finite-difference value [1]","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","414"
"55","-1","0.001","0.001","0.001","0.001","0.2","0.2","NaN","-1.01343865968034","0.000876675266803183","0.0019031507666141","0.00240305502711069","0.000608127874168455","0.322671230183887","0.304705464550693","0","318.955999796697","-140.847464971364","471"
"56","-5","0.001","0.001","0.005","0.005","0.2","0.2","non-finite finite-difference value [1]","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","661"
"57","-3","0.005","0.005","0.001","0.005","0.2","0.2","non-finite finite-difference value [1]","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","746"
"58","-0.5","0.001","0.001","0.005","0.005","0.2","0.2","non-finite finite-difference value [1]","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","664"
"59","-1","5e-04","0.005","0.005","5e-04","0.2","0.2","non-finite finite-difference value [1]","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","163"
"60","-3","0.005","5e-04","0.001","5e-04","0.2","0.2","NaN","-4.07292720198737","0.000876019808645111","0.00204248450415677","0.0267670594087808","-0.00874659403516934","0.207679740272684","0.226711951826361","0","288.075121032176","-125.407025589104","74"
"61","-5","0.001","0.005","0.001","5e-04","0.2","0.2","non-finite finite-difference value [1]","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","109"
"62","-0.5","0.001","5e-04","0.001","0.001","0.2","0.2","NaN","-0.531032347740974","0.000700348019793488","0.000966849034997516","-6.45972155703311e-05","0.000626805486057504","0.314010052715154","0.401057355282628","0","613.062679183103","-287.900804664567","328"
"63","-5","0.001","0.001","5e-04","0.005","0.2","0.2","non-finite finite-difference value [1]","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","533"
