"","a_log","h_log","kr_log","sigma","sigma2","error","a_log.est","h_log.est","kr_log.est","sigma.est","sigma2.est","converge","BIC","logLik","strtpt"
"16","-3","-1.88888888888889","-3","0.2","0.2","NaN","-1.38915689912909","-4.15510091961574","0.550329722960435","0.42513444812743","0.280813766074562","0","2861.31429028136","-1415.03220703503","71"
"17","-1.22222222222222","-3.22222222222222","-1.75","0.2","0.2","NaN","-1.3891872990939","-4.15472662949441","0.550821335591572","0.42513421553844","0.28078782358716","0","2861.31425740292","-1415.03219059581","249"
"18","-1","-4.55555555555556","-3","0.2","0.2","NaN","-1.3892807816487","-4.1543659397763","0.552518040234625","0.4251353616336","0.280789019910427","0","2861.31430438958","-1415.03221408914","20"
"19","-3","-3.22222222222222","-1.75","0.2","0.2","NaN","-1.38945355366797","-4.15543579136192","0.550872597358462","0.42521604629464","0.280792365771636","0","2861.31427576191","-1415.03219977531","241"
"20","-2.55555555555556","-3.66666666666667","-1.75","0.2","0.2","NaN","-1.38930128568805","-4.15655724529892","0.551748564619069","0.425294856777926","0.280785588992737","0","2861.31451887771","-1415.03232133321","233"
"21","-2.77777777777778","-1","-1.75","0.2","0.2","NaN","-1.38879625807633","-4.1547119975114","0.555503237990983","0.425151839325735","0.280805671851429","0","2861.31439031046","-1415.03225704958","292"
"22","-2.77777777777778","-3.22222222222222","-2.375","0.2","0.2","NaN","-1.38901536936597","-4.15454555487662","0.553599585730399","0.425221591506764","0.280795093620707","0","2861.31429835378","-1415.03221107124","142"
"23","-1.66666666666667","-1.44444444444444","-0.5","0.2","0.2","NaN","-1.38992213585687","-4.15449851864541","0.550409453081715","0.425046197885313","0.280713225782936","0","2861.31473998712","-1415.03243188791","487"
"24","-2.55555555555556","-3.66666666666667","-2.375","0.2","0.2","NaN","-1.389181777293","-4.15536583950438","0.550012024738738","0.425151234017878","0.280753346659991","0","2861.31432268214","-1415.03222323542","133"
"25","-1.44444444444444","-1","-1.125","0.2","0.2","NaN","-1.38892782040282","-4.15840132963919","0.554571845439581","0.425101394982471","0.280900016117078","0","2861.31563669999","-1415.03288024435","398"
"26","-1","-3.66666666666667","-1.75","0.2","0.2","NaN","-1.38918836002787","-4.15458942867962","0.552711707781623","0.425155711058991","0.28077772310761","0","2861.31427129817","-1415.03219754344","240"
"27","-2.55555555555556","-1","-2.375","0.2","0.2","NaN","-1.38984982760249","-4.15683487335155","0.550479822735266","0.425256695004082","0.280579674395338","0","2861.3150497757","-1415.0325867822","193"
"28","-2.55555555555556","-1.44444444444444","-1.125","0.2","0.2","NaN","-1.38938198423981","-4.15637238858674","0.543266186223599","0.425061372396643","0.280889756476057","0","2861.3152779164","-1415.03270085255","383"
"29","-1.22222222222222","-3.22222222222222","-2.375","0.2","0.2","NaN","-1.38959913655568","-4.1550974924639","0.54864958556163","0.425079779327075","0.280834101753118","0","2861.3143824783","-1415.0322531335","149"
"30","-2.77777777777778","-1.88888888888889","-2.375","0.2","0.2","NaN","-1.38909000777921","-4.15377202403145","0.555196397878271","0.42521352505106","0.280645257393621","0","2861.31474551598","-1415.03243465234","172"
"31","-2.33333333333333","-1","-1.75","0.2","0.2","NaN","-1.38903332874722","-4.15403167754523","0.551515402483343","0.425127659491552","0.280763432276321","0","2861.31429196782","-1415.03220787826","294"
"32","-1.44444444444444","-4.11111111111111","-1.125","0.2","0.2","NaN","-1.38922327076096","-4.14985550088999","0.548036984500879","0.425268824850035","0.280620260719419","0","2861.3165065801","-1415.0333151844","328"
"33","-2.33333333333333","-1.44444444444444","-3","0.2","0.2","NaN","-1.38999257954764","-4.15900809062647","0.548269293598616","0.425363124615174","0.280906478520025","0","2861.31540436696","-1415.03276407783","84"
"34","-1","-3.22222222222222","-1.75","0.2","0.2","NaN","-1.38905153336828","-4.15460428772192","0.553053582583782","0.425154125371288","0.280785166055282","0","2861.31426802459","-1415.03219590665","250"
"35","-1","-1.44444444444444","-3","0.2","0.2","NaN","-1.38925107931778","-4.15505651708458","0.544873953322673","0.425001065247925","0.280633413636427","0","2861.31520229328","-1415.03266304099","90"
"36","-1.22222222222222","-4.11111111111111","-1.75","0.2","0.2","NaN","-1.38914104628548","-4.1545554340978","0.552419990474225","0.425140970774789","0.280773367445078","0","2861.31426528794","-1415.03219453832","229"
"37","-2.55555555555556","-1.44444444444444","-2.375","0.2","0.2","NaN","-1.38931069356583","-4.15443127037542","0.551458626982299","0.425170695368031","0.280853044022882","0","2861.31432515164","-1415.03222447017","183"
"38","-2.33333333333333","-4.55555555555556","-0.5","0.2","0.2","NaN","-1.38846533814219","-4.15458312761413","0.551408289375113","0.425169804530272","0.280734935220309","0","2861.3145821747","-1415.0323529817","414"
"39","-2.77777777777778","-1.44444444444444","-2.375","0.2","0.2","NaN","-1.38987174688205","-4.15574702416323","0.548436130083258","0.425188220332271","0.28074137426926","0","2861.31439472011","-1415.03225925441","182"
"40","-3","-1.44444444444444","-3","0.2","0.2","NaN","-1.38930832815141","-4.1552037677968","0.55331101729574","0.425239185765081","0.28079126676874","0","2861.31433188332","-1415.03222783601","81"
"41","-1.22222222222222","-4.55555555555556","-1.75","0.2","0.2","NaN","-1.38935391285722","-4.15492866144391","0.550947228603133","0.425179593384081","0.280772363559262","0","2861.31425697658","-1415.03219038264","219"
"42","-1.22222222222222","-3.66666666666667","-0.5","0.2","0.2","NaN","-1.38918943376725","-4.15457345859592","0.551914254809707","0.425176698636569","0.280815253200536","0","2861.31426023974","-1415.03219201422","439"
"43","-1.22222222222222","-4.11111111111111","-2.375","0.2","0.2","NaN","-1.38896226350769","-4.15471552948679","0.551282510051075","0.425071851792451","0.280843537151329","0","2861.31436983725","-1415.03224681297","129"
"44","-2.55555555555556","-3.22222222222222","-1.75","0.2","0.2","NaN","-1.38788000198532","-4.15461443447343","0.560643299573249","0.424867520771501","0.280992458131518","0","2861.31622773155","-1415.03317576013","243"
"45","-2.55555555555556","-4.11111111111111","-1.75","0.2","0.2","NaN","-1.38900267986692","-4.15435974128824","0.551640045758349","0.425193832092543","0.280797850737969","0","2861.31426315212","-1415.03219347041","223"
"46","-2.11111111111111","-2.33333333333333","-2.375","0.2","0.2","NaN","-1.38930579052837","-4.15457956024167","0.549635909272525","0.425154053149135","0.280760308504823","0","2861.3142922934","-1415.03220804105","165"
"47","-1.66666666666667","-1.88888888888889","-0.5","0.2","0.2","NaN","-1.38954469902341","-4.15562750514024","0.548571281262196","0.425029439085413","0.280759134691493","0","2861.31443825694","-1415.03228102282","477"
"48","-3","-1","-2.375","0.2","0.2","NaN","-1.38839122276501","-4.15223714718166","0.550456900984559","0.425156405488657","0.280736604991571","0","2861.31467083106","-1415.03239730988","191"
"49","-1.44444444444444","-1.88888888888889","-2.375","0.2","0.2","NaN","-1.38958959589044","-4.15553823662917","0.552902182898748","0.425098445227015","0.280787377801736","0","2861.31439225116","-1415.03225801993","178"
"50","-1.88888888888889","-4.55555555555556","-1.125","0.2","0.2","NaN","-1.38937924237544","-4.15554725694773","0.551199754004743","0.425163454347305","0.280776534943354","0","2861.31426950966","-1415.03219664918","316"
"51","-1.66666666666667","-5","-1.75","0.2","0.2","NaN","-1.38886322147282","-4.15532284555749","0.557783711142152","0.425158459651283","0.280815036368208","0","2861.31463566947","-1415.03237972908","207"
"52","-1","-3.22222222222222","-3","0.2","0.2","NaN","-1.3889616905067","-4.15477922722496","0.551596120936467","0.425208003813192","0.280809934586613","0","2861.31429030821","-1415.03220704845","50"
"53","-2.33333333333333","-1","-1.125","0.2","0.2","NaN","-1.3868380711552","-4.14398889095902","0.556584523458024","0.423652013000478","0.284024814678514","0","2861.46733172827","-1415.10872775848","394"
