"","a_log","h_log","log_w","kr_log","sigma","sigma2","error","a_log.est","h_log.est","log_w.est","kr_log.est","sigma.est","sigma2.est","converge","BIC","logLik","strtpt"
"75","-3","-2","-6.25","-0.5","0.2","0.2","NaN","-1.5857057916702","-3.25162640262292","-1.41676486137372","-4.59875377426683","0.24026709389294","0.24197239003488","0","1896.52448055036","-929.421052758297","591"
"76","-1","-3","-7.5","-1.125","0.2","0.2","NaN","-1.64881559127343","-3.33449981475566","-2.24179875591738","-4.66655681472781","0.240397222210261","0.241764006959284","0","1897.42595023038","-929.871787598307","440"
"77","-2","-2","-6.25","-0.5","0.2","0.2","NaN","-1.54625403787144","-3.18733174159708","-1.3512125895497","-4.55770574407061","0.240239192235355","0.244910686275475","0","1896.85116700769","-929.584395986963","593"
"78","-3","-5","-7.5","-3","0.2","0.2","NaN","-1.64759820236381","-3.3376416461007","-6.12551366976409","-4.59427564316341","0.240735657379904","0.242032972138773","0","1899.1779915946","-930.747808280421","51"
"79","-3","-4","-5","-1.125","0.2","0.2","NaN","-1.6489541111643","-3.33755449602089","-5.44609642541047","-4.59999648333189","0.240734195802916","0.242000828648581","0","1899.12109779177","-930.719361379003","481"
"80","-2","-1","-10","-2.375","0.2","0.2","NaN","-1.63570174986694","-3.32639944572902","-2.76335329476419","-4.61696536735981","0.240988696027454","0.243170933711015","0","1897.89038934647","-930.104007156353","148"
"81","-2.5","-2","-5","-2.375","0.2","0.2","NaN","-1.58302722945143","-3.24210489423436","-1.4221842627577","-4.59730705102258","0.240043702060649","0.242074466890565","0","1896.51982915996","-929.4187270631","242"
"82","-2.5","-1","-6.25","-1.75","0.2","0.2","NaN","-1.57960025606653","-3.23636465263373","-1.38828299495983","-4.59546632786302","0.240196371646637","0.241961093381575","0","1896.52297548803","-929.420300227133","347"
"83","-1","-1","-8.75","-2.375","0.2","0.2","NaN","-1.62848985708092","-3.3034583746125","-2.45420772125834","-4.61494825397326","0.24041003312061","0.242045539934861","0","1897.48534005235","-929.901482509293","175"
"84","-3","-2","-5","-1.125","0.2","0.2","NaN","-1.5764905025757","-3.23078988639228","-1.32405429515821","-4.59442919117999","0.24016838401163","0.242016947086331","0","1896.54062719813","-929.429126082183","491"
"85","-1.5","-3","-10","-3","0.2","0.2","NaN","-1.58369117396161","-3.24127688835191","-1.45189343952548","-4.59711839872795","0.240176446456574","0.242201077778431","0","1896.52159366834","-929.419609317291","14"
"86","-1","-2","-6.25","-3","0.2","0.2","NaN","-1.63218132959981","-3.30923994605676","-2.39862594040426","-4.62337429895582","0.240244011537897","0.242174683468372","0","1897.43518594129","-929.876405453766","95"
"87","-3","-2","-5","-2.375","0.2","0.2","NaN","-1.62657030741971","-3.31100993112869","-2.4579259724823","-4.6121858597592","0.24031230322995","0.241618241869489","0","1897.4991567766","-929.908390871421","241"
"88","-2","-1","-8.75","-3","0.2","0.2","NaN","-1.58384659323144","-3.2419152411026","-1.42623412288111","-4.59965209832227","0.24017150068348","0.242049155382462","0","1896.51943837356","-929.418531669901","48"
"89","-2.5","-5","-10","-3","0.2","0.2","NaN","-1.64788650491221","-3.33819661590173","-6.98740296800169","-4.59355635847112","0.240739409474872","0.242047921045895","0","1899.21294601291","-930.765285489574","2"
"90","-1","-1","-5","-3","0.2","0.2","NaN","-1.60250341823374","-3.2696182271446","-1.71026008570153","-4.61079110692691","0.240142003655425","0.242083952535478","0","1896.64715027255","-929.482387619396","125"
"91","-1.5","-3","-6.25","-1.75","0.2","0.2","NaN","-1.58403992262131","-3.24258285968225","-1.42616946936944","-4.60035152509275","0.24012195357808","0.242037387738013","0","1896.51943997534","-929.418532470787","339"
"92","-1","-4","-7.5","-1.75","0.2","0.2","NaN","-1.64450649516312","-3.33205348128193","-3.0923936463614","-4.61785511554112","0.240515255242428","0.241964785349143","0","1898.1841810573","-930.250903011767","310"
"93","-1","-1","-8.75","-1.125","0.2","0.2","NaN","-1.5749436508436","-3.22748089190539","-1.38703359814321","-4.57483165446386","0.240189154108942","0.2411890827837","0","1896.56590634917","-929.441765657706","425"
"94","-1","-1","-6.25","-1.75","0.2","0.2","NaN","-1.58438054003868","-3.24348774679774","-1.43215592341885","-4.5999305568741","0.240090247343524","0.242025119517988","0","1896.51958519982","-929.418605083028","350"
"95","-3","-5","-6.25","-1.75","0.2","0.2","NaN","-1.64799674293786","-3.3353919959179","-5.67894659142772","-4.59640418612781","0.240794265626678","0.241930280276774","0","1899.14480547313","-930.731215219683","326"
"96","-2","-2","-6.25","-1.125","0.2","0.2","NaN","-1.58292034743688","-3.24330654124875","-1.42338741761403","-4.59837931227491","0.240163161425233","0.241978791279799","0","1896.51976848206","-929.41869672415","468"
"97","-2","-1","-7.5","-0.5","0.2","0.2","NaN","-1.58405565082028","-3.24404367770562","-1.42818317102486","-4.597729597065","0.240196369955112","0.241986636141457","0","1896.51985227585","-929.418738621045","573"
"98","-1.5","-3","-5","-1.75","0.2","0.2","NaN","-1.58403992262131","-3.24258285968225","-1.42616946936944","-4.60035152509275","0.24012195357808","0.242037387738013","0","1896.51943997534","-929.418532470787","364"
