"","a_log","h_log","kr_log","sigma","sigma2","error","a_log.est","h_log.est","kr_log.est","sigma.est","sigma2.est","converge","BIC","logLik","strtpt"
"20","-2.55555555555556","-3.66666666666667","-1.75","0.2","0.2","NaN","-2.27742314538084","-3.02538472409253","-0.948219413469415","0.271099227699681","0.242122615551139","0","2020.00202558629","-994.300023195746","233"
"21","-2.77777777777778","-1","-1.75","0.2","0.2","NaN","-2.27760971569219","-3.02540331124561","-0.95130200130317","0.271089369329335","0.242140006875415","0","2020.00204663913","-994.300033722166","292"
"22","-2.77777777777778","-3.22222222222222","-2.375","0.2","0.2","NaN","-2.27745608830219","-3.02546522721939","-0.949500298560537","0.271121872037847","0.242146935089363","0","2020.00205253945","-994.300036672326","142"
"23","-1.66666666666667","-1.44444444444444","-0.5","0.2","0.2","NaN","-2.27767866644831","-3.0262540325378","-0.948533786885385","0.271046082345326","0.242168007290031","0","2020.00212135267","-994.300071078932","487"
"24","-2.55555555555556","-3.66666666666667","-2.375","0.2","0.2","NaN","-2.27880956603745","-3.02605825210176","-0.943935010479197","0.270951613710936","0.24221442065663","0","2020.00326327587","-994.300642040533","133"
"25","-1.44444444444444","-1","-1.125","0.2","0.2","NaN","-2.27746859386822","-3.02595607274267","-0.950346285053985","0.271096436887577","0.242102483250047","0","2020.00202146497","-994.300021135085","398"
"26","-1","-3.66666666666667","-1.75","0.2","0.2","NaN","-2.27680186225944","-3.02457716354753","-0.941573977204518","0.271132308763031","0.2421978443919","0","2020.00232156825","-994.300171186725","240"
"27","-2.55555555555556","-1","-2.375","0.2","0.2","NaN","-2.27940449631678","-3.02600346078893","-0.98105933656759","0.271067765740306","0.242111072499198","0","2020.00449316821","-994.301256986707","193"
"28","-2.55555555555556","-1.44444444444444","-1.125","0.2","0.2","NaN","-2.27738257068101","-3.02519442447887","-0.94981696645144","0.271090427464577","0.242114907643728","0","2020.00202223897","-994.300021522085","383"
"29","-1.22222222222222","-3.22222222222222","-2.375","0.2","0.2","NaN","-2.27609098138975","-3.02223938179594","-0.947288168628358","0.271017603900693","0.242165608403835","0","2020.00249400392","-994.300257404558","149"
"30","-2.77777777777778","-1.88888888888889","-2.375","0.2","0.2","NaN","-2.27702300381718","-3.024552428299","-0.946943476359411","0.271117591562428","0.242163085253016","0","2020.00210834204","-994.30006457362","172"
"31","-2.33333333333333","-1","-1.75","0.2","0.2","NaN","-2.27716600642579","-3.02501650854315","-0.950390890663306","0.271122645841552","0.242141002591595","0","2020.00206906328","-994.300044934237","294"
"32","-1.44444444444444","-4.11111111111111","-1.125","0.2","0.2","NaN","-2.27897424155213","-3.02877826221867","-0.948464346625183","0.271010439089544","0.242075813746383","0","2020.00262684278","-994.300323823992","328"
"33","-2.33333333333333","-1.44444444444444","-3","0.2","0.2","NaN","-2.27736096789545","-3.02521104461965","-0.948386574511336","0.271070189346133","0.242105421133868","0","2020.00203001297","-994.300025409085","84"
"34","-1","-3.22222222222222","-1.75","0.2","0.2","NaN","-2.27766075932447","-3.02592294763631","-0.949195474788927","0.2709960948003","0.242083029954726","0","2020.00217270305","-994.300096754124","250"
"35","-1","-1.44444444444444","-3","0.2","0.2","NaN","-2.27849968584497","-3.02692886773188","-0.961804296863473","0.271191056329296","0.24201558405437","0","2020.00268146363","-994.300351134416","90"
"36","-1.22222222222222","-4.11111111111111","-1.75","0.2","0.2","NaN","-2.27889189834331","-3.02766951221493","-0.952452636456355","0.270945218439253","0.242077046517847","0","2020.00265514409","-994.300337974643","229"
"37","-2.55555555555556","-1.44444444444444","-2.375","0.2","0.2","NaN","-2.28810783734461","-3.04809625315901","-1.08278305965516","0.271136494066248","0.242010496542079","0","2020.0426906291","-994.320355717149","183"
"38","-2.33333333333333","-4.55555555555556","-0.5","0.2","0.2","NaN","-2.27715737097139","-3.0253516376464","-0.949468443782504","0.271090617861046","0.242126401479929","0","2020.00203449908","-994.30002765214","414"
"39","-2.77777777777778","-1.44444444444444","-2.375","0.2","0.2","NaN","-2.27849844587779","-3.03065161323935","-0.951924808804874","0.271169115590302","0.242189109349931","0","2020.00282304253","-994.300421923863","182"
"40","-3","-1.44444444444444","-3","0.2","0.2","NaN","-2.28647882372577","-3.04665147762969","-1.02989012831645","0.271121894252334","0.242143873734934","0","2020.02092609234","-994.309473448769","81"
"41","-1.22222222222222","-4.55555555555556","-1.75","0.2","0.2","NaN","-2.27709388498507","-3.02620198661602","-0.945172370884433","0.271121415794027","0.242075561917353","0","2020.00214124231","-994.300081023752","219"
"42","-1.22222222222222","-3.66666666666667","-0.5","0.2","0.2","NaN","-2.27562987158982","-3.02032278129015","-0.940400960358739","0.271150979366759","0.242112411789578","0","2020.00279350766","-994.30040715643","439"
"43","-1.22222222222222","-4.11111111111111","-2.375","0.2","0.2","NaN","-2.34434012525205","-3.15230762602207","-2.06754104069161","0.2710607478587","0.242045731657381","0","2021.5753855389","-995.08670317205","129"
"44","-2.55555555555556","-3.22222222222222","-1.75","0.2","0.2","NaN","-2.2776575871487","-3.02523825130408","-0.946048289646441","0.271023980382752","0.242038988197563","0","2020.00227096326","-994.30014588423","243"
"45","-2.55555555555556","-4.11111111111111","-1.75","0.2","0.2","NaN","-2.27767135970731","-3.02636535426517","-0.949698296267113","0.271146396873305","0.242119454526189","0","2020.00207315995","-994.300046982577","223"
"46","-2.11111111111111","-2.33333333333333","-2.375","0.2","0.2","NaN","-2.27714190227025","-3.02502849894466","-0.947748761430034","0.271081953333373","0.24213572005058","0","2020.00204115874","-994.300030981968","165"
"47","-1.66666666666667","-1.88888888888889","-0.5","0.2","0.2","NaN","-2.2774601897068","-3.0260842275192","-0.950130128383686","0.271091849050961","0.242116840523711","0","2020.00202265162","-994.300021728412","477"
"48","-3","-1","-2.375","0.2","0.2","NaN","-2.2773433443019","-3.02651434471786","-0.950106492682663","0.271078223322429","0.242125913910094","0","2020.00206733654","-994.30004407087","191"
"49","-1.44444444444444","-1.88888888888889","-2.375","0.2","0.2","NaN","-2.30001355412474","-3.06743992469097","-1.23115219523845","0.271156789794978","0.242029937061745","0","2020.16566367379","-994.381842239492","178"
"50","-1.88888888888889","-4.55555555555556","-1.125","0.2","0.2","NaN","-2.2775015799816","-3.02633327262643","-0.952489200578485","0.271049786727721","0.24211721774675","0","2020.0020791621","-994.300049983651","316"
"51","-1.66666666666667","-5","-1.75","0.2","0.2","NaN","-2.27770820388498","-3.02653942749238","-0.950524598098192","0.271113816620454","0.242093610040962","0","2020.00204642613","-994.300033615664","207"
"52","-1","-3.22222222222222","-3","0.2","0.2","NaN","-2.27704983851952","-3.02553297089651","-0.952287390470083","0.271016537889903","0.242079286162292","0","2020.00220783122","-994.30011431821","50"
"53","-2.33333333333333","-1","-1.125","0.2","0.2","NaN","-2.27716466705687","-3.0251462245141","-0.94825698851804","0.271040425677997","0.242113834792026","0","2020.00206359499","-994.300042200093","394"
"54","-1","-2.33333333333333","-2.375","0.2","0.2","NaN","-2.27763151474477","-3.0264310080954","-0.950958246188308","0.271094015184845","0.242088307104708","0","2020.00204083576","-994.300030820477","170"
"55","-1","-2.77777777777778","-2.375","0.2","0.2","NaN","-2.24549623822005","-2.96632178472526","-0.650884163727708","0.271325236742583","0.242299940486815","0","2020.26203384087","-994.430027323036","160"
"56","-2.55555555555556","-4.55555555555556","-1.125","0.2","0.2","NaN","-2.27721692588789","-3.02532852941583","-0.946245167521782","0.271076837365887","0.242082158891757","0","2020.00205954092","-994.300040173061","313"
"57","-2.77777777777778","-1.44444444444444","-0.5","0.2","0.2","NaN","-2.27811808523538","-3.02801117684556","-0.952360705444269","0.271081398501671","0.242120562713271","0","2020.00214699014","-994.30008389767","482"
"58","-2.77777777777778","-1.88888888888889","-1.125","0.2","0.2","NaN","-2.27738824177548","-3.02575054515559","-0.947610778982815","0.271089850446599","0.242158848419829","0","2020.00206481063","-994.300042807914","372"
"59","-1.88888888888889","-4.11111111111111","-1.75","0.2","0.2","NaN","-2.27738054914361","-3.02565358059267","-0.949529449288082","0.271104044595539","0.242086091328943","0","2020.00203103509","-994.300025920143","226"
"60","-1.22222222222222","-2.77777777777778","-1.125","0.2","0.2","NaN","-2.2772608857412","-3.02534943845035","-0.947603338384917","0.271120881054228","0.242117183562014","0","2020.00203761841","-994.300029211804","359"
"61","-2.11111111111111","-1","-1.125","0.2","0.2","NaN","-2.27745937342863","-3.02607554663943","-0.952642428998032","0.271076813193629","0.242130502361108","0","2020.00206041835","-994.300040611774","395"
"62","-1","-5","-1.125","0.2","0.2","NaN","-2.27780583681386","-3.02682589157159","-0.948495703561535","0.271121905347906","0.242159778544044","0","2020.00211938411","-994.300070094656","310"
"63","-3","-1.44444444444444","-1.125","0.2","0.2","NaN","-2.27759108594553","-3.0256706739154","-0.951216821644485","0.271125405300767","0.242156967809054","0","2020.00207651693","-994.300048661066","381"
"64","-1.44444444444444","-1.88888888888889","-1.125","0.2","0.2","NaN","-2.27774250063835","-3.02711251074252","-0.948841773580151","0.271096491689979","0.242071119467633","0","2020.00210661112","-994.300063708161","378"
"65","-2.55555555555556","-1.88888888888889","-3","0.2","0.2","NaN","-2.27773146395989","-3.02471220393297","-0.951663266399822","0.271036327844179","0.242059093094451","0","2020.00220268826","-994.30011174673","73"
"66","-1.44444444444444","-5","-1.125","0.2","0.2","NaN","-2.27722067187028","-3.02519990835269","-0.949085621334081","0.271082808074134","0.242127757393962","0","2020.00202849679","-994.300024650995","308"
"67","-3","-1.88888888888889","-0.5","0.2","0.2","NaN","-2.2771798179125","-3.02540007828216","-0.946492526717942","0.271092767913225","0.24209378010526","0","2020.00204386151","-994.300032333354","471"
"68","-1.22222222222222","-1.88888888888889","-0.5","0.2","0.2","NaN","-2.27745824358099","-3.02575367399918","-0.950616627406294","0.271072054355651","0.242093415002844","0","2020.00203025579","-994.300025530496","479"
"69","-1.88888888888889","-3.22222222222222","-3","0.2","0.2","NaN","-2.35938844207941","-3.19348691285221","-2.12798665882915","0.271455297160713","0.242101900742891","0","2021.7978050689","-995.197912937048","46"
"70","-1","-1.88888888888889","-2.375","0.2","0.2","NaN","-2.2771602539664","-3.02484524520068","-0.946110056453334","0.271068151937987","0.242129440559437","0","2020.00206261126","-994.300041708228","180"
"71","-1.44444444444444","-2.77777777777778","-0.5","0.2","0.2","NaN","-2.27772633461301","-3.02540577407775","-0.951762350708032","0.271059450460065","0.242142331646582","0","2020.00207896062","-994.30004988291","458"
"72","-2.77777777777778","-4.55555555555556","-3","0.2","0.2","NaN","-2.27729908285318","-3.02525590189179","-0.948536294418138","0.271066041150113","0.242086136558385","0","2020.00204169047","-994.300031247835","12"
"73","-2.77777777777778","-4.11111111111111","-1.125","0.2","0.2","NaN","-2.27748836362788","-3.02537584113949","-0.949457682829142","0.271119445918142","0.242121599091768","0","2020.00203400288","-994.30002740404","322"
"74","-1","-2.77777777777778","-1.75","0.2","0.2","NaN","-2.27699949735756","-3.02640897967793","-0.943901763080117","0.271067016905971","0.24215524790507","0","2020.00220857762","-994.300114691409","260"
