"","a_log","h_log","h12","log_w","sigma","sigma2","error","a_log.est","h_log.est","h12.est","log_w.est","sigma.est","sigma2.est","converge","BIC","logLik","strtpt"
"47","-3","-5","-5e-04","-5","0.2","0.2","NaN","-2.01526035824189","-6.3571162332722","0.000556480359509117","-5.7739028358024","0.244196965549292","0.242299247305433","0","1916.07751455825","-939.197569762243","501"
"48","-1","-5","1e-04","-10","0.2","0.2","NaN","-1.76384406301161","-1.99191091833986","0.000590554095679356","-11.0413034203785","0.281267530016782","0.269477385676194","0","2094.44423597474","-1028.38093047049","105"
"49","-1.5","-5","-5e-05","-6.25","0.2","0.2","NaN","-2.1438258204143","-5.24880791820737","0.000696708830178139","-9.46340958793452","0.250272773076443","0.242404134711121","0","1941.94541981068","-952.131522388457","454"
"50","-2","-1","-5e-04","-5","0.2","0.2","NaN","-2.16558423739386","-0.941475609842963","-0.00168656672462216","-10.2132459069792","0.302189382181256","0.242168253328574","0","2142.70235554746","-1052.50999025685","523"
"51","-2","-1","-0.00035","-10","0.2","0.2","NaN","-2.03178768135829","-0.944009930005548","-0.00164373206673257","-9.64366589217278","0.304765398452285","0.246223310180445","0","2146.10780944867","-1054.21271720746","48"
"52","-3","-1","1e-04","-6.25","0.2","0.2","NaN","-1.94035530464947","-4.72270564978601","0.000467567589703755","-5.65175612026151","0.24206321191212","0.241412661126045","0","1902.78340244853","-932.550513707384","496"
"53","-3","-5","-5e-05","-5","0.2","0.2","NaN","-2.14619347126403","-5.00062123745319","0.000692927645478928","-14.3850652557643","0.251161522110155","0.242018269763777","0","1944.17993813438","-953.248781550309","576"
"54","-2","-5","1e-04","-7.5","0.2","0.2","NaN","-2.12913246186894","-5.03470694833845","0.000704888459345994","-10.402544482914","0.251001954766625","0.242280905534865","0","1943.30294835916","-952.810286662699","353"
"55","-2.5","-5","-5e-05","-7.5","0.2","0.2","NaN","-2.03594275054525","-11.3537220659362","0.000581221000087004","-5.80993594358735","0.245754664821497","0.242010901476324","0","1921.12180999797","-941.719717482104","327"
"56","-1.5","-1","-0.00035","-8.75","0.2","0.2","NaN","-2.05645653137865","-8.41774358842421","0.000580837201240349","-5.94354385576135","0.245450029160278","0.241943713827473","0","1920.75427320233","-941.535949084283","174"
"57","-1","-3","-5e-05","-8.75","0.2","0.2","NaN","-1.94276974970687","0.127625931487545","-0.00469132664775732","-11.5994766482629","0.322518274784901","0.258236020588809","0","2223.04878028917","-1092.68320262771","215"
"58","-3","-3","-5e-04","-7.5","0.2","0.2","NaN","-2.03554226240592","-26.1664766344093","0.000580950348834308","-5.80592796669604","0.245787787608633","0.241991843544185","0","1921.15916277167","-941.738393868955","261"
"59","-2","-2","-5e-05","-6.25","0.2","0.2","NaN","-2.1462056614956","-4.99667199692533","0.00069269876295726","-17.3937272209034","0.251103864049943","0.242019879981988","0","1944.19752575005","-953.257575358143","468"
"60","-1.5","-2","-0.00035","-8.75","0.2","0.2","NaN","-1.93257722756322","-4.65312880424847","0.000461254112399458","-5.6371509478207","0.241106921298073","0.241544836159679","0","1902.01285396496","-932.1652394656","169"
"61","-1.5","-2","-5e-04","-10","0.2","0.2","NaN","-2.14223374607586","-4.87750949237133","0.000676458212681133","-9.78268180439306","0.250622724059334","0.241899394430442","0","1942.41522806022","-952.36642651323","19"
"62","-1","-2","-2e-04","-6.25","0.2","0.2","NaN","-1.91231943725969","-4.79159863318694","0.000484607713437042","-5.57455017036729","0.239990238620408","0.24265625784142","0","1903.16948432798","-932.743554647111","445"
"63","-3","-4","-0.00035","-5","0.2","0.2","NaN","-1.98284242134693","-5.48746279123552","0.000518321586937151","-5.67529712379752","0.242452975044119","0.242917705664638","0","1910.23207438135","-936.274849673793","531"
"64","-2.5","-4","1e-04","-10","0.2","0.2","NaN","-2.12508892281159","-4.39081724741532","0.000288535211353186","-5.69069580544595","0.235847355901401","0.262723739313799","0","1922.92548848987","-942.621556728056","107"
"65","-2.5","-3","-2e-04","-6.25","0.2","0.2","NaN","-2.14737514889523","-5.00422526628842","0.000692449339037482","-13.0908757862874","0.251108862092448","0.242039634653267","0","1944.13143355127","-953.224529258756","437"
"66","-1.5","-5","-2e-04","-6.25","0.2","0.2","NaN","-2.13872161668181","-6.69883950529621","0.000660980176390321","-7.29641757693518","0.244498392926025","0.2410869751582","0","1932.09829204512","-947.207958505681","429"
"67","-2.5","-4","-5e-05","-7.5","0.2","0.2","NaN","-1.74720709501586","-3.71992829460397","0.000243888635063052","-4.96919071931747","0.23939245854887","0.241990090295397","0","1893.01273717258","-927.66518106941","332"
"68","-2.5","-5","1e-04","-5","0.2","0.2","NaN","-2.03572527174506","-676.450101936034","0.000580747465361241","-5.80652675504496","0.245808295652858","0.242027434045884","0","1921.1591544156","-941.738389690919","602"
"69","-2.5","-4","-2e-04","-8.75","0.2","0.2","NaN","-2.19590035260037","-4.00278851713755","0.00020389225227269","-5.6730153076394","0.249315392265389","0.23536111639258","0","1929.09585838145","-945.706741673843","182"
"70","-2.5","-1","-2e-04","-8.75","0.2","0.2","NaN","-2.00126004400768","-5.06507507895072","0.000533471227149178","-6.0319107884097","0.241059962642124","0.241132351932519","0","1909.51200265618","-935.914813811208","197"
"71","-2","-3","-5e-04","-5","0.2","0.2","NaN","-2.01206559272549","-4.08572921696148","0.000715972458851277","-9.71059455515579","0.248372783658557","0.240704089575449","0","1949.85306053513","-956.085342750685","513"
"72","-1.5","-5","-0.00035","-6.25","0.2","0.2","NaN","-2.15081201463987","-5.55546301267005","0.000699655089997628","-9.07519571782001","0.250431259681897","0.242077736288511","0","1941.36587477151","-951.841749868875","404"
"73","-2.5","-5","-0.00035","-7.5","0.2","0.2","NaN","-2.52425916714476","-5.43364817814229","0.000423906035917037","-8.55748357923567","0.26004778005616","0.234200614274713","0","1979.72770006039","-971.022662513316","277"
