"","a_log","a12","h12","h_log","kr_log","sigma","sigma2","error","a_log.est","a12.est","h_log.est","h12.est","kr_log.est","sigma.est","sigma2.est","converge","BIC","logLik","strtpt"
"53","-3","-5e-05","-5e-04","-4","-2.375","0.2","0.2","NaN","-3.07654613336132","-0.00012504133547633","-4.01706320248335","-0.21511320347329","-2.32735639964349","0.347877902197363","0.242438776709096","0","2299.16288808121","-1127.60005860424","766"
"54","-2","1e-04","-5e-05","-3","-0.5","0.2","0.2","NaN","-1.62882777406068","-0.0004299164812683","-2.69875648782364","3.94404213770276e-07","-0.0220078588358613","0.23530463877747","0.24912122577334","0","1876.6868985878","-916.362063857541","2848"
"55","-1.5","-2e-04","-5e-05","-5","-3","0.2","0.2","NaN","NaN","NaN","NaN","NA","NaN","NaN","NaN","NaN","NaN","NaN","89"
"56","-1.5","-5e-04","-2e-04","-1","-0.5","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3054"
"57","-2","-5e-05","-2e-04","-4","-3","0.2","0.2","NaN","-1.81208089444812","-0.00036387715443879","-2.86763387518854","-2.78245844148088e-05","-3.17019700236942","0.238226523733113","0.251087247691988","0","1878.1684556859","-917.10284240659","193"
"58","-1","-0.00035","1e-04","-1","-3","0.2","0.2","NaN","NaN","NaN","NaN","NA","NaN","NaN","NaN","NaN","NaN","NaN","610"
"59","-3","-5e-04","-5e-04","-1","-2.375","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1126"
"60","-3","-2e-04","1e-04","-5","-1.125","0.2","0.2","NaN","-1.89540227556983","-0.000325414927825285","-4.98348766400815","0.000478561927866463","-1.13544315496006","0.233853165547207","0.241950523861913","0","1874.02909575496","-915.03316244112","1986"
"61","-2","-5e-05","-5e-05","-2","-1.125","0.2","0.2","NaN","-1.69685727328514","-0.000399843608531735","-3.33765451858779","0.000230144487210991","-0.519899077060224","0.230380342843238","0.242082933105789","0","1856.77004462216","-906.40363687472","2343"
"62","-1.5","1e-04","-2e-04","-2","-1.125","0.2","0.2","NaN","-1.70908410544764","-0.000400811480114808","-2.27892834948227","-0.000259175345054588","-0.911300808217908","0.236047389872854","0.225163228006447","0","1912.50888336887","-934.273056248076","2324"
"63","-2","-2e-04","-2e-04","-2","-0.5","0.2","0.2","NaN","-1.68683951203778","-0.000403686455614782","-3.34723400872797","0.000232066010222465","-0.133917155576561","0.230282110454486","0.242145764725369","0","1858.95142876746","-907.494328947368","2938"
"64","-1","1e-04","1e-04","-2","-0.5","0.2","0.2","NaN","-0.9826597465293","-0.00115468752201741","-2.68871366827626","0.00177848724801286","1.2592823115034","0.2665481030073","0.243217259992577","0","2009.63060635415","-982.833917740716","3000"
"65","-3","-5e-05","-0.00035","-3","-3","0.2","0.2","NaN","-1.87404264335313","-0.000339566481591676","-3.70019942565686","0.00021574335705069","-3.95856831567336","0.230894675029797","0.242015689898834","0","1860.63890491336","-908.33806702032","291"
"66","-3","-2e-04","-5e-05","-2","-1.75","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1711"
"67","-3","-2e-04","1e-04","-2","-1.125","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2361"
"68","-1","-5e-04","-5e-04","-2","-3","0.2","0.2","NaN","-1.7361504226938","-0.000399040876602577","-1.77800467048904","-0.000605346328049559","-2.91462423605228","0.256244863555798","0.245337966802694","0","1969.76664950029","-962.901939313787","380"
"69","-3","-2e-04","-5e-04","-5","-1.125","0.2","0.2","NaN","-1.85615139393538","-0.000345184689957545","-3.65602434241977","0.000215260394068055","-2.85932307902329","0.230662842791945","0.23835840229384","0","1859.40462348434","-907.72092630581","1886"
"70","-2","-5e-04","-0.00035","-5","-3","0.2","0.2","NaN","NaN","NaN","NaN","NA","NaN","NaN","NaN","NaN","NaN","NaN","28"
"71","-2.5","-5e-04","-5e-04","-5","-1.125","0.2","0.2","NaN","-2.44033396993681","-0.0608534642557104","-5.31387423641905","-0.595848421801706","-0.461776725711154","0.365488344636419","0.241661705889332","0","2347.7532127921","-1151.89522095969","1877"
"72","-2.5","-0.00035","-2e-04","-4","-0.5","0.2","0.2","NaN","-1.79912200745633","-0.000360186956945766","-4.05445555010656","0.00035567673922587","-0.132730470751478","0.232197241161407","0.242011791407937","0","1864.33595986858","-910.186594497929","2682"
"73","-2.5","-2e-04","-5e-04","-5","-3","0.2","0.2","NaN","-2.34804577387132","-0.000193118304825835","-3.33524699165018","-5.82499626940558e-05","-4.60210957707874","0.249183521863705","0.242269937486682","0","1941.85927164355","-948.948250385412","12"
"74","-2","-2e-04","-5e-04","-1","-0.5","0.2","0.2","NaN","-1.26424610841229","-0.000588923009282654","-1.74785810144803","0.000189021596069729","-0.407777157524952","0.252994769745744","0.244463305240508","0","1977.29180909305","-966.664519110166","3013"
"75","-3","-0.00035","-5e-05","-2","-0.5","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2956"
"76","-3","-5e-04","-2e-04","-2","-3","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","426"
"77","-3","-2e-04","-0.00035","-4","-1.125","0.2","0.2","NaN","-1.77623097598148","-0.00037004556594878","-3.68709272788308","0.000285354928422408","-0.731726264201612","0.229781463930008","0.24227535208138","0","1855.58742536673","-905.812327247007","2036"
"78","-3","-0.00035","-5e-04","-2","-3","0.2","0.2","NaN","-2.85499958544985","-0.000175761263512684","-1.98744186657384","-0.179848525890733","-2.85212576658475","0.348413431595081","0.242277819213711","0","2301.74151349264","-1128.88937130996","381"
