"","r2_log","alpha11","alpha22","alpha12","alpha21","sigma","sigma2","error","r2_log.est","alpha11.est","alpha12.est","alpha22.est","alpha21.est","sigma.est","sigma2.est","converge","BIC","logLik","strtpt"
"47","-0.5","0.001","5e-04","0.005","5e-04","0.2","0.2","NaN","-1.85142376390743","0.00159159839305389","0.0020142230531553","0.00194627956335961","0.000898770247788568","0.269611819556332","0.231522709709581","0","58.452314502541","-10.5112808937594","136"
"48","-5","5e-04","0.001","0.001","0.001","0.2","0.2","NaN","-1.78438598204414","0.00168416519940702","0.00202416202726762","0.0020252286765107","0.000995131526813985","0.268304692207906","0.229066865886177","0","59.1460205456475","-10.8581339153126","1009"
"49","-5","5e-04","0.001","0.001","5e-04","0.2","0.2","NaN","-1.80469292462145","0.00167887066978089","0.00200808243129049","0.00205452845277251","0.00100598127188814","0.26880873244081","0.229400819467895","0","59.1209539119706","-10.8456005984741","241"
"50","-3","0.005","0.005","0.005","0.001","0.2","0.2","NaN","-1.85970114072508","0.00163979387396846","0.00209287588187762","0.00199157070641916","0.0009202476758943","0.267610172315511","0.228416622142225","0","58.7963732595916","-10.6833102722847","426"
"51","-1","0.005","0.001","0.001","0.001","0.2","0.2","NaN","-1.81287229276256","0.0016774878327248","0.0020306976726502","0.00201268609563456","0.000984326901443146","0.269881590665999","0.229168116201972","0","59.0471574525141","-10.8087023687459","1019"
"52","-5","5e-04","0.001","5e-04","5e-04","0.2","0.2","NaN","-1.79794972146023","0.00168681292385125","0.0020253295632769","0.00197875506604641","0.000949848665951501","0.268501211396645","0.228989520087606","0","59.1673076319452","-10.8687774584615","17"
"53","-3","5e-04","5e-04","0.005","0.001","0.2","0.2","NaN","-1.8010105528024","0.00167706207464057","0.00205247843025835","0.00204903274303663","0.000999448785947808","0.274402754801343","0.231059742062087","0","59.2693455282468","-10.9197964066123","386"
"54","-3","0.001","0.001","0.005","0.001","0.2","0.2","NaN","-1.79729767130248","0.00156025849492357","0.00208573659241656","0.00200967996069051","0.000947732352462632","0.265760733994225","0.22923831395428","0","58.1911652513294","-10.3807062681536","414"
"55","-1","0.001","0.001","0.001","0.001","0.2","0.2","NaN","-1.8100125880548","0.00168840478652984","0.00202214578013183","0.00203378791770122","0.000971357355141769","0.269105452397653","0.229685519104268","0","59.1972941178639","-10.8837707014208","471"
"56","-5","0.001","0.001","0.005","0.005","0.2","0.2","NaN","-1.81176025379008","0.00167900523756523","0.00202419410126735","0.00205381369614743","0.000919340811382452","0.270784035200986","0.228278623341089","0","59.1226588148513","-10.8464530499145","661"
"57","-3","0.005","0.005","0.001","0.005","0.2","0.2","NaN","-1.83713011744442","0.00165785464938381","0.00205343656016866","0.00195934504869892","0.000965375952881761","0.273575569157659","0.230549464680138","0","58.9775335118427","-10.7738903984102","746"
