"","a_log","h12","h_log","sigma","sigma2","error","a_log.est","h_log.est","h12.est","sigma.est","sigma2.est","converge","BIC","logLik","strtpt"
"77","-2.5","-2e-04","-4","0.2","0.2","NaN","-2.10397850414237","-4.1720449284334","0.000655755249010381","0.25165638644249","0.24314792183583","0","1941.32781707705","-954.962918941125","37"
"78","-3","-5e-04","-2","0.2","0.2","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","76"
"79","-3","-5e-04","-5","0.2","0.2","NaN","-2.18920193179208","-15.1227775792679","0.000735974297980105","0.251915081111289","0.242050095892031","0","1941.38429890911","-954.991159857153","1"
"80","-3","-0.00035","-5","0.2","0.2","NaN","-2.13431028635742","-4.64239248552545","0.000674941338466544","0.251268707579247","0.242204600806514","0","1938.35710754686","-953.47756417603","6"
"81","-1.5","-5e-05","-1","0.2","0.2","NaN","-2.14594169748368","-4.99553045391403","0.000693209161226816","0.251124910691062","0.242032776165773","0","1937.91804546767","-953.258033136436","119"
"82","-1","-0.00035","-3","0.2","0.2","NaN","-1.98657380554083","-2.18025314062396","0.000470016879313885","0.302704703191337","0.25206812565741","0","2048.70742223635","-1008.65272152078","60"
"83","-1","-2e-04","-5","0.2","0.2","NaN","-2.14608919553242","-4.99747885607242","0.000692868122584641","0.251044024823034","0.241979121906149","0","1937.91819034326","-953.25810557423","15"
"84","-2","-5e-05","-4","0.2","0.2","NaN","-2.12916623881996","-3.69358157881845","0.000578929869252572","0.255647542337374","0.240476291285943","0","1949.50978089341","-959.053900849303","43"
"85","-1","-2e-04","-3","0.2","0.2","NaN","-2.14625633954611","-4.99919515475522","0.0006921457351777","0.251132530886748","0.24208087669546","0","1937.91817763671","-953.258099220952","65"
"86","-2.5","1e-04","-4","0.2","0.2","NaN","-2.14602216831967","-4.9951155788823","0.000693138713218766","0.251110026092795","0.242036048145299","0","1937.91804523708","-953.258033021139","47"
"87","-1.5","-2e-04","-3","0.2","0.2","NaN","-2.00737572920142","-2.61997546275036","0.000522588873401839","0.269763796874615","0.252669879175205","0","2003.09928731886","-985.84865406203","64"
"88","-1.5","-0.00035","-4","0.2","0.2","NaN","-2.04164495484526","-2.97538303792386","0.000548819790908407","0.268546233833775","0.244097777844618","0","1978.4526522432","-973.525336524201","34"
"89","-1","-5e-04","-4","0.2","0.2","NaN","-2.14612819230723","-4.99408104062066","0.000693086786527944","0.251188237132656","0.242001770028057","0","1937.91815781121","-953.258089308203","30"
"90","-1","1e-04","-4","0.2","0.2","NaN","-1.95374799821998","-2.89050710325348","0.000602895173268133","0.262767103805871","0.228340849972556","0","1990.02816096418","-979.313090884688","50"
"91","-1.5","-0.00035","-3","0.2","0.2","NaN","-2.14603375319631","-4.99821415864128","0.000693156028145492","0.251122895051122","0.242023532444005","0","1937.9180550717","-953.258037938451","59"
"92","-3","-5e-05","-1","0.2","0.2","NaN","-3.20121615719804","-1.7881715716521","-0.175012499194866","0.352949034165764","0.24230767534893","0","2302.43503009156","-1135.51652544838","116"
"93","-2","-5e-04","-3","0.2","0.2","NaN","-1.98121363574153","-3.01879442354181","0.000603157587639868","0.259242808959609","0.238801852304504","0","1977.71400508174","-973.156012943471","53"
"94","-3","-2e-04","-4","0.2","0.2","NaN","-2.14680452350889","-5.00280847640526","0.00069204785714844","0.251214509592711","0.242050872718052","0","1937.91845986215","-953.258240333676","36"
"95","-1","-2e-04","-4","0.2","0.2","NaN","-2.14608489196099","-4.99473568325785","0.000692297006027025","0.251095628062777","0.242016095966807","0","1937.91807643173","-953.258048618464","40"
"96","-2.5","-0.00035","-3","0.2","0.2","NaN","-2.1802218983132","-5.74663990086279","0.000702436535730417","0.251435746064874","0.242183527092082","0","1938.85353961531","-953.725780210256","57"
"97","-1","1e-04","-3","0.2","0.2","NaN","-2.14576829261081","-4.99215183893267","0.000692026642600946","0.251170646416377","0.242030721815746","0","1937.91820077219","-953.258110788695","75"
"98","-3","-2e-04","-1","0.2","0.2","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","111"
