"","a_log","h_log","sigma","sigma2","error","a_log.est","h_log.est","sigma.est","sigma2.est","converge","BIC","logLik","strtpt"
"20","-2.55555555555556","-4.55555555555556","0.2","0.2","NaN","-2.70904150182781","-3.24480569784227","0.229904258076198","0.242720189839968","0","1840.3078686431","-907.593142643631","13"
"21","-2.77777777777778","-2.33333333333333","0.2","0.2","NaN","-2.70926480681561","-3.24528769083872","0.229874018654487","0.242721231085341","0","1840.30787055545","-907.593143599805","62"
"22","-1.88888888888889","-5","0.2","0.2","NaN","-2.70985607686011","-3.2455782968377","0.229910851113947","0.242760122034633","0","1840.3080091025","-907.593212873331","6"
"23","-2.33333333333333","-5","0.2","0.2","NaN","-2.70934718765594","-3.24498066987662","0.229922142503392","0.242675301164405","0","1840.3079113429","-907.593163993531","4"
"24","-2.77777777777778","-3.22222222222222","0.2","0.2","NaN","-2.70924199935246","-3.24536600599531","0.22987449092629","0.242711000670519","0","1840.30786947712","-907.593143060638","42"
"25","-1.88888888888889","-1.44444444444444","0.2","0.2","NaN","-2.7092299746021","-3.24529373217272","0.229875662971051","0.242725807440355","0","1840.30787108564","-907.5931438649","86"
"26","-1.66666666666667","-4.11111111111111","0.2","0.2","NaN","-2.7091270595787","-3.24478692612676","0.229875453360918","0.242672582115884","0","1840.3078945349","-907.59315558953","27"
"27","-2.55555555555556","-1.88888888888889","0.2","0.2","NaN","-2.70886578626498","-3.24428829309694","0.229897303884677","0.24269928428957","0","1840.30788228195","-907.593149463052","73"
"28","-1","-2.33333333333333","0.2","0.2","NaN","-2.70932556137818","-3.24495410342192","0.229906422715609","0.242667810648953","0","1840.30790642904","-907.593161536602","70"
"29","-2.11111111111111","-5","0.2","0.2","NaN","-2.70922696879362","-3.24489490638447","0.229927937479139","0.242701955208508","0","1840.30788982168","-907.593153232922","5"
"30","-2.77777777777778","-1","0.2","0.2","NaN","-2.70918017425948","-3.24511318019662","0.229877499875064","0.24271166138987","0","1840.3078651859","-907.59314091503","92"
"31","-2.33333333333333","-3.66666666666667","0.2","0.2","NaN","-2.70876004272575","-3.24474247484226","0.229782620531307","0.24282866167999","0","1840.30838817338","-907.593402408769","34"
"32","-1.44444444444444","-1","0.2","0.2","NaN","-2.70918423958874","-3.24466351779296","0.22985519244584","0.242715273833248","0","1840.30788872922","-907.593152686689","98"
"33","-3","-2.33333333333333","0.2","0.2","NaN","-2.70929382875243","-3.24544760224504","0.229917515165985","0.242735265283362","0","1840.30788837703","-907.593152510597","61"
"34","-2.11111111111111","-3.66666666666667","0.2","0.2","NaN","-2.70933137317095","-3.24482294546109","0.229920750206252","0.242723053680208","0","1840.30788778708","-907.593152215619","35"
"35","-2.33333333333333","-2.33333333333333","0.2","0.2","NaN","-2.70936134498086","-3.24560476815986","0.229890857697968","0.242740043194834","0","1840.30788355604","-907.5931501001","64"
"36","-1.44444444444444","-5","0.2","0.2","NaN","-2.7100695804402","-3.24796975938726","0.229879154526187","0.242730890795646","0","1840.30806092406","-907.593238784111","8"
"37","-1.88888888888889","-3.66666666666667","0.2","0.2","NaN","-2.70902805511324","-3.24437601422096","0.229900474265049","0.242705047104856","0","1840.30786817483","-907.593142409494","36"
"38","-2.77777777777778","-1.44444444444444","0.2","0.2","NaN","-2.70936084910673","-3.24569557578377","0.229900609757506","0.242708676153411","0","1840.30787284266","-907.593144743409","82"
"39","-3","-3.22222222222222","0.2","0.2","NaN","-2.70922104755842","-3.24484526377361","0.229880551402989","0.242728360258155","0","1840.3078684412","-907.593142542682","41"
"40","-1.44444444444444","-2.77777777777778","0.2","0.2","NaN","-2.70921959991264","-3.24447991378157","0.229874078227038","0.242686186850737","0","1840.3078849019","-907.59315077303","58"
"41","-3","-1.44444444444444","0.2","0.2","NaN","-2.70895385406253","-3.24454063693484","0.229884499770954","0.242747511695942","0","1840.30789328532","-907.59315496474","81"
"42","-2.11111111111111","-2.33333333333333","0.2","0.2","NaN","-2.7089880446488","-3.2449266568672","0.229890356137418","0.242715798210687","0","1840.30787044122","-907.593143542692","65"
"43","-2.55555555555556","-2.77777777777778","0.2","0.2","NaN","-2.70908231934008","-3.24474724924948","0.229888365311947","0.242731572143831","0","1840.30786892345","-907.593142783803","53"
"44","-2.77777777777778","-4.11111111111111","0.2","0.2","NaN","-2.70938621190403","-3.24548129193877","0.229858441251831","0.242718903822022","0","1840.30789265552","-907.593154649837","22"
"45","-1.88888888888889","-4.55555555555556","0.2","0.2","NaN","-2.7093051211473","-3.24643265615183","0.229900031408059","0.242693800536087","0","1840.30790566235","-907.593161153253","16"
"46","-1","-3.66666666666667","0.2","0.2","NaN","-2.70879808056499","-3.24360594020811","0.229913672447532","0.242683107064258","0","1840.30791939126","-907.593168017708","40"
"47","-1.44444444444444","-3.66666666666667","0.2","0.2","NaN","-2.7093887483007","-3.24225662586405","0.229855250710978","0.242668456898839","0","1840.30813207917","-907.593274361664","38"
"48","-1","-1.44444444444444","0.2","0.2","NaN","-2.70936836695022","-3.24501696049508","0.22988687741295","0.242776678037434","0","1840.30794495586","-907.593180800011","90"
"49","-1.66666666666667","-1.44444444444444","0.2","0.2","NaN","-2.70930952473013","-3.24561103377987","0.229872805956918","0.242738617416563","0","1840.30788780091","-907.593152222536","87"
"50","-3","-4.55555555555556","0.2","0.2","NaN","-2.70911284272939","-3.24501143245237","0.229859279268913","0.242717306892796","0","1840.30788369535","-907.593150169752","11"
"51","-1.66666666666667","-3.22222222222222","0.2","0.2","NaN","-2.70922781927971","-3.2455595437467","0.229882837291436","0.24267801229261","0","1840.30789012814","-907.593153386149","47"
"52","-3","-1","0.2","0.2","NaN","-2.70909267910431","-3.24531156688531","0.229878152645006","0.242716932344353","0","1840.30787250728","-907.593144575721","91"
"53","-1.44444444444444","-4.55555555555556","0.2","0.2","NaN","-2.70898317013244","-3.24418168950245","0.229892115366459","0.242734079693536","0","1840.30787850529","-907.593147574726","18"
"54","-1.22222222222222","-5","0.2","0.2","NaN","-2.70583328584995","-3.22910984829761","0.22979450710902","0.242795996429791","0","1840.31216343038","-907.595290037268","9"
"55","-1.88888888888889","-4.11111111111111","0.2","0.2","NaN","-2.70906336955071","-3.24456444481202","0.229871159225426","0.242728831710294","0","1840.30787638562","-907.593146514891","26"
"56","-1.44444444444444","-1.88888888888889","0.2","0.2","NaN","-2.70928164957262","-3.24506253767038","0.229898738172086","0.242701612872624","0","1840.30786577155","-907.593141207854","78"
"57","-1.88888888888889","-1.88888888888889","0.2","0.2","NaN","-2.70906519254015","-3.24493153274191","0.229878017247553","0.242716073926837","0","1840.3078678162","-907.593142230178","76"
"58","-1.22222222222222","-2.77777777777778","0.2","0.2","NaN","-2.70898283919799","-3.24465331538069","0.229903928678004","0.242709150931457","0","1840.30787092214","-907.593143783152","59"
"59","-2.11111111111111","-4.11111111111111","0.2","0.2","NaN","-2.70907695056422","-3.24428922658974","0.229874757236307","0.242712757189275","0","1840.30787166628","-907.593144155218","25"
