"","a_log","h12","h_log","kr_log","sigma","sigma2","error","a_log.est","h_log.est","h12.est","kr_log.est","sigma.est","sigma2.est","converge","BIC","logLik","strtpt"
"82","-2","-2e-04","-5","-1.125","0.2","0.2","NaN","-2.37173609639671","-4.61078807796626","0.000784093652492676","-0.685491899544256","0.218688884538154","0.242907557266005","0","1799.00871150394","-880.66316823509","388"
"83","-1.5","-0.00035","-1","-2.375","0.2","0.2","NaN","-2.50612275289647","-4.65617081677359","0.000646335151619771","-3.70426965673733","0.220995635405511","0.242668287543139","0","1810.54603192033","-886.431828443285","234"
"84","-1.5","-5e-04","-5","-0.5","0.2","0.2","NaN","-2.30426455930815","-4.29698167394637","0.000821688021596817","-0.210451385897508","0.218276958075103","0.24257873365602","0","1797.24327026378","-879.780447615007","504"
"85","-2.5","-5e-04","-4","-2.375","0.2","0.2","NaN","-2.43176510790837","-3.62441063840535","0.000595479696508039","-2.33635801512747","0.221705218240701","0.243289410505885","0","1812.02455070699","-887.171087836614","152"
"86","-1","-5e-05","-5","-0.5","0.2","0.2","NaN","-2.25985314553041","-4.15540841846639","0.000849053455940019","0.124722751182375","0.218333289293699","0.242481173849136","0","1797.25121876327","-879.784421864754","520"
"87","-2","-2e-04","-4","-1.75","0.2","0.2","NaN","-1.9890888743643","-3.6530035355024","0.0011225484371067","0.760576104968461","0.219371528315776","0.252679916738945","0","1806.42110264801","-884.369363807123","288"
"88","-2","1e-04","-3","-1.75","0.2","0.2","NaN","-2.35461737646962","-5.01924864204892","0.000846192139520918","-0.555536270970742","0.218717482143178","0.242297339698236","0","1799.62176406225","-880.969694514247","323"
"89","-2.5","-0.00035","-5","-0.5","0.2","0.2","NaN","-2.34743654283132","-4.67357285129495","0.000816685822822872","-0.406919020958986","0.218535996382048","0.242525965320645","0","1798.27445721143","-880.296041088836","507"
"90","-2","-2e-04","-3","-2.375","0.2","0.2","NaN","-2.44658645032674","-4.04889922028125","0.000632893489215331","-1.41717378981192","0.219144774133586","0.241268389182939","0","1804.05163352193","-883.184629244083","188"
"91","-1.5","1e-04","-3","-1.75","0.2","0.2","NaN","-2.26145989383559","-4.03617932665209","0.000830645591482307","0.0160764413470338","0.218206567776803","0.242751167106712","0","1797.09113866291","-879.704381814575","324"
"92","-2","-5e-05","-3","-2.375","0.2","0.2","NaN","-2.226867102539","-3.83232631953145","0.000835956218342778","0.144345453534419","0.218411629599642","0.242622311836198","0","1797.54986098914","-879.933742977688","193"
"93","-1","-2e-04","-4","-2.375","0.2","0.2","NaN","-2.39917291105332","-5.59413676896719","0.000827062771210043","-0.609053714359782","0.219278475008248","0.242197323708431","0","1801.19126037503","-881.754442670632","165"
"94","-2.5","-0.00035","-4","-0.5","0.2","0.2","NaN","-2.29875270253222","-4.01055410676483","0.000782619031022607","-0.142072035703267","0.217808900523862","0.241329785600104","0","1797.30216680164","-879.809895883939","532"
"95","-1","-5e-05","-2","-1.125","0.2","0.2","NaN","-0.256567072335747","-2.87453939435637","0.000845910682178194","5.2461989283875","0.22332438217829","0.242823284205383","0","1822.45482731906","-892.386226142652","470"
"96","-1.5","-5e-05","-2","-1.125","0.2","0.2","NaN","-2.15394173191182","-3.63681518098855","0.000867508443623054","0.636998856449356","0.219229173106242","0.242968603668927","0","1800.07941888668","-881.198521926461","469"
"97","-1","-5e-05","-5","-3","0.2","0.2","NaN","-2.38274469812088","-5.32595104768291","0.000827863155617627","-0.46777882571053","0.218861928838849","0.242656466626641","0","1800.2253260746","-881.271475520418","20"
"98","-2","-0.00035","-2","-1.75","0.2","0.2","NaN","-2.52259861639645","-4.82302992950489","0.000643760180962565","-7.92703819042001","0.221270553567294","0.242639891080178","0","1811.78885609883","-887.053240532532","333"
