"","a_log","h_log","log_w","kr_log","sigma","sigma2","error","a_log.est","h_log.est","log_w.est","kr_log.est","sigma.est","sigma2.est","converge","BIC","logLik","strtpt"
"89","-2.5","-5","-10","-3","0.2","0.2","NaN","-2.09478475134546","-3.27246912422502","-4.776423686941","-4.89771050537873","0.214881655631724","0.242639873932363","0","1780.64945319641","-871.483539081323","2"
"90","-1","-1","-5","-3","0.2","0.2","NaN","-2.10763383450745","-3.25207794613456","-2.06583573463518","-5.01244802643589","0.214146482335671","0.2458686817662","0","1779.34558172382","-870.831603345028","125"
"91","-1.5","-3","-6.25","-1.75","0.2","0.2","NaN","-2.05398859315848","-3.20334893546969","-1.78164644695762","-4.90678391803727","0.214478261526097","0.242464741185849","0","1778.59775230929","-870.457688637764","339"
"92","-1","-4","-7.5","-1.75","0.2","0.2","NaN","-2.03969477843132","-3.16709483743365","-1.41723298463644","-4.91918130231467","0.21451450027123","0.242631134872838","0","1778.28459899911","-870.301111982673","310"
"93","-1","-1","-8.75","-1.125","0.2","0.2","NaN","-1.83723453536561","-2.93586225269983","-0.123241230661587","-4.63713876804451","0.215229662167395","0.24361390523378","0","1782.61993499526","-872.468779980752","425"
"94","-1","-1","-6.25","-1.75","0.2","0.2","NaN","-2.00008334273032","-3.11136698604246","-0.84183354027489","-4.88094061285527","0.214331318699775","0.242581932054608","0","1778.45006751691","-870.383846241577","350"
"95","-3","-5","-6.25","-1.75","0.2","0.2","NaN","-2.09639444788079","-3.27285348119878","-4.40446146668542","-4.90530480037297","0.214947292943849","0.242605868685128","0","1780.57113761433","-871.444381290282","326"
"96","-2","-2","-6.25","-1.125","0.2","0.2","NaN","-2.02674709816801","-3.15905735601041","-1.1920119597888","-4.902135842181","0.214407495107636","0.242646413041007","0","1778.20348770546","-870.260556335849","468"
"97","-2","-1","-7.5","-0.5","0.2","0.2","NaN","-2.02677887900536","-3.15813796161889","-1.18331773575131","-4.90306109828042","0.21444778713022","0.24264526884071","0","1778.20351880098","-870.26057188361","573"
"98","-1.5","-3","-5","-1.75","0.2","0.2","NaN","-2.05398859315848","-3.20334893546969","-1.78164644695762","-4.90678391803727","0.214478261526097","0.242464741185849","0","1778.59775230929","-870.457688637764","364"
