"","a_log","h_log","h12","log_w","sigma","sigma2","error","a_log.est","h_log.est","h12.est","log_w.est","sigma.est","sigma2.est","converge","BIC","logLik","strtpt"
"68","-2.5","-5","1e-04","-5","0.2","0.2","NaN","-2.4552765962178","-8.59059124702299","0.000503177808856065","-6.04996588095573","0.218275646717999","0.242319252398707","0","1797.85697852472","-880.087301745479","602"
"69","-2.5","-4","-2e-04","-8.75","0.2","0.2","NaN","-2.46021383289637","-3.876330111105","0.000578296049242495","-9.15119619031655","0.220568862084164","0.243842679532352","0","1812.39204592832","-887.354835447279","182"
"70","-2.5","-1","-2e-04","-8.75","0.2","0.2","NaN","-2.8662881856513","-2.20554463707597","-0.00019118188330856","-6.39794472867614","0.236431275095582","0.25167715002795","0","1885.76226177667","-924.039943371454","197"
"71","-2","-3","-5e-04","-5","0.2","0.2","NaN","-2.42014080629347","-8.45633665003977","0.000531586854352742","-5.96669014538348","0.218330040097897","0.242583157497658","0","1797.53398682767","-879.925805896952","513"
"72","-1.5","-5","-0.00035","-6.25","0.2","0.2","NaN","-2.44051590471997","-3.37645358354248","0.00054137301356889","-10.3121800949616","0.221843536256808","0.24977061016393","0","1821.46113665409","-891.889380810164","404"
"73","-2.5","-5","-0.00035","-7.5","0.2","0.2","NaN","-2.41986692989699","-8.56976894811525","0.000530513320033543","-5.95533666708683","0.218332287895622","0.242670818505119","0","1797.56366315227","-879.940644059252","277"
"74","-2","-3","-2e-04","-8.75","0.2","0.2","NaN","-2.41177344072537","-6.1074635126684","0.00051243068849006","-6.02935567895536","0.21786952488789","0.242454592485198","0","1794.90504715662","-878.611336061431","188"
"75","-1","-2","-0.00035","-10","0.2","0.2","NaN","-2.30845937165616","-4.26409785270928","0.000344388252887565","-5.68187228858969","0.215759366177429","0.242181625638954","0","1784.62154160995","-873.469583288092","45"
"76","-1.5","-4","-5e-04","-6.25","0.2","0.2","NaN","-2.44681481081246","-2.90137656832592","0.000455661657327846","-10.186151042579","0.224847211157679","0.245152511813115","0","1832.57926219177","-897.448443579005","384"
"77","-1.5","-5","-5e-04","-10","0.2","0.2","NaN","-2.47223571544705","-3.65817492861702","0.000549635543454013","-9.9470395074321","0.221697828904039","0.245460909246162","0","1815.90678284749","-889.112203906863","4"
"78","-1","-5","-2e-04","-6.25","0.2","0.2","NaN","-2.41151247974827","-2.88270717412919","0.000492243817223311","-11.0471569719616","0.232453408120215","0.254787516287753","0","1837.27358277662","-899.795603871429","430"
