"","a_log","a12","h12","h_log","kr_log","sigma","sigma2","error","a_log.est","a12.est","h_log.est","h12.est","kr_log.est","sigma.est","sigma2.est","converge","BIC","logLik","strtpt"
"40","-1","-0.00035","-5e-05","-3","-3","0.2","0.2","NaN","NaN","NaN","NaN","NA","NaN","NaN","NaN","NaN","NaN","NaN","335"
"41","-2.5","-2e-04","-2e-04","-4","-1.125","0.2","0.2","NaN","-2.2809780565723","-0.000202249779087967","-3.47646176660192","0.00012204251406732","-13.4209804604476","0.21211727546877","0.242523894403121","0","1772.94291567913","-864.490072403206","2062"
"42","-2.5","1e-04","-5e-04","-2","-1.125","0.2","0.2","NaN","-1.941937527973","-0.000284934740141769","-2.43729524961917","-0.00014993031575241","1.96609837734473","0.215859533858113","0.248435707416948","0","1804.03041793644","-880.033823531858","2272"
"43","-1.5","-5e-04","-5e-04","-5","-1.75","0.2","0.2","NaN","-1.85600805049343","-0.000322324684144214","-4.37101189699029","0.00132884181939165","-1.93061278913268","0.210316731323272","0.2261036921143","0","1846.59118255221","-901.314205839742","1254"
"44","-3","-5e-04","-2e-04","-1","-1.125","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2426"
"45","-1.5","-5e-05","-5e-04","-2","-1.125","0.2","0.2","NaN","-2.20318601743486","-0.000219057736845383","-2.75353732065111","-9.06727262824726e-05","-1.17262191159287","0.212388660944996","0.233828301298768","0","1776.82611117894","-866.431670153108","2269"
"46","-2.5","-2e-04","-2e-04","-4","-2.375","0.2","0.2","NaN","-2.47101478469652","-0.000154058666244528","-4.01896043521451","0.000147377421147781","-2.28193911277999","0.214389682025755","0.24341230055891","0","1781.48554852606","-868.761388826669","812"
"47","-2","-5e-05","-5e-05","-4","-1.75","0.2","0.2","NaN","-2.23908694514391","-0.000209735742912972","-3.51983891875022","0.000165988660132409","-1.55343090435975","0.211358822288949","0.242787213105595","0","1769.57127272564","-862.804250926459","1468"
"48","-3","1e-04","-0.00035","-4","-2.375","0.2","0.2","NaN","-2.28136404900661","-0.000198977510535647","-4.23500855087207","0.000330103100522402","-2.4692185930398","0.214422037961785","0.246481922232505","0","1776.20449847291","-866.120863800092","796"
"49","-1","1e-04","-2e-04","-3","-0.5","0.2","0.2","NaN","-1.88111712932135","-0.000310273932956167","-2.08752818184077","-0.000251654291603396","-0.319992099499632","0.216181388709809","0.240364622666566","0","1796.58662406176","-876.311926594519","2825"
"50","-1.5","-0.00035","-5e-04","-4","-0.5","0.2","0.2","NaN","-2.16233635791473","-0.000222940019436","-3.73843057365804","0.000291563696334744","0.487846213939237","0.214720819132281","0.23823468574371","0","1779.42445159024","-867.73084035876","2634"
"51","-1","-5e-04","1e-04","-1","-0.5","0.2","0.2","NaN","-1.92101521827428","-0.00029385833362114","-2.86135053516608","0.000115636139252327","1.52280266869555","0.214863605749185","0.241436241293784","0","1789.25076832481","-872.643998726044","3105"
"52","-3","-0.00035","1e-04","-5","-1.125","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1981"
"53","-3","-5e-05","-5e-04","-4","-2.375","0.2","0.2","NaN","-2.41788994979681","-0.000163543033621295","-99.4326565509548","0.000485949340491751","-4.97541104637952","0.216160340115246","0.242574470077527","0","1793.01655180981","-874.526890468542","766"
"54","-2","1e-04","-5e-05","-3","-0.5","0.2","0.2","NaN","-2.25454994638083","-0.000203919421859891","-2.73847959208577","-0.000121162298661732","-0.333349665424898","0.216788600944317","0.249693799235446","0","1781.87379767329","-868.955513400284","2848"
"55","-1.5","-2e-04","-5e-05","-5","-3","0.2","0.2","NaN","-2.02539476043619","-0.000269582574904769","-3.7072728478113","0.000487961521616082","-3.05179804852436","0.30003187840232","0.27476387226498","0","1901.51647337784","-928.776851252558","89"
"56","-1.5","-5e-04","-2e-04","-1","-0.5","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3054"
"57","-2","-5e-05","-2e-04","-4","-3","0.2","0.2","NaN","-2.28330367160066","-0.000199359757832938","-3.68391658781845","0.000182719125208484","-2.23354481908812","0.212183309604675","0.24335762817937","0","1771.32217081272","-863.67969997","193"
"58","-1","-0.00035","1e-04","-1","-3","0.2","0.2","NaN","NaN","NaN","NaN","NA","NaN","NaN","NaN","NaN","NaN","NaN","610"
"59","-3","-5e-04","-5e-04","-1","-2.375","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1126"
"60","-3","-2e-04","1e-04","-5","-1.125","0.2","0.2","NaN","-2.31449602763716","-0.000185330785210026","-5.00005078722464","0.000440120498365686","-1.12500455576709","0.214021467697269","0.242621063390439","0","1782.30334555239","-869.170287339835","1986"
"61","-2","-5e-05","-5e-05","-2","-1.125","0.2","0.2","NaN","-2.03546771594955","-0.000261404690837436","-2.84535023159621","5.80789796956031e-05","0.209353949610061","0.212761409974929","0.242967331356703","0","1775.36362842942","-865.700428778351","2343"
"62","-1.5","1e-04","-2e-04","-2","-1.125","0.2","0.2","NaN","-1.93006389993716","-0.000295008149808854","-1.86045283182204","-0.000464449560537478","-0.342261957753662","0.216602078883083","0.241536975928746","0","1807.95788495936","-881.99755704332","2324"
"63","-2","-2e-04","-2e-04","-2","-0.5","0.2","0.2","NaN","-1.97110006837135","-0.000280578925048818","-2.80463694586775","9.97914475615168e-05","0.290958952297152","0.212925137926792","0.241970539214508","0","1777.48761624504","-866.762422686161","2938"
"64","-1","1e-04","1e-04","-2","-0.5","0.2","0.2","NaN","-1.84718926132581","-0.00031992887285307","-1.84024368481327","-0.000429379206818012","0.0997318017898084","0.225216768479589","0.238172510725467","0","1810.19156346851","-883.114396297895","3000"
"65","-3","-5e-05","-0.00035","-3","-3","0.2","0.2","NaN","-2.25912542158409","-0.000206822528587649","-3.4233355859916","0.000120774856448589","-2.89828348083171","0.211864042548145","0.242648814612346","0","1771.54307589445","-863.790152510862","291"
"66","-3","-2e-04","-5e-05","-2","-1.75","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1711"
"67","-3","-2e-04","1e-04","-2","-1.125","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2361"
"68","-1","-5e-04","-5e-04","-2","-3","0.2","0.2","NaN","-1.09474333111657","-0.00324846678802322","-2.01170337978575","0.138263444953784","-3.35099467306782","0.286865099548446","0.24266733524088","0","2081.44625906994","-1018.74174409861","380"
"69","-3","-2e-04","-5e-04","-5","-1.125","0.2","0.2","NaN","-2.20093824597129","-0.00021478073350103","-3.35435246599641","0.000123329373251599","0.52411039732768","0.213650221243726","0.247831505889679","0","1778.97286887711","-867.505049002193","1886"
"70","-2","-5e-04","-0.00035","-5","-3","0.2","0.2","NaN","-2.36372424626001","-0.000178383547547508","-4.99129908037304","0.000388843796696762","-3.72605045827113","0.214601568718141","0.242082759994934","0","1782.90419618746","-869.47071265737","28"
"71","-2.5","-5e-04","-5e-04","-5","-1.125","0.2","0.2","NaN","-2.35529107143034","-0.000174719165620142","-5.07950325951474","0.000410770259707933","-1.07711814839748","0.212776647751896","0.241122678270241","0","1783.5152141884","-869.776221657841","1877"
"72","-2.5","-0.00035","-2e-04","-4","-0.5","0.2","0.2","NaN","-2.20886612844393","-0.000212999630960101","-3.78536162954803","0.000273261076420724","-0.342387273701613","0.211959497618388","0.24240496993271","0","1772.51779388504","-864.277511506159","2682"
"73","-2.5","-2e-04","-5e-04","-5","-3","0.2","0.2","NaN","-2.34923241531677","-0.000179985890888984","-5.07192508496307","0.000414128390947575","-2.21319098546253","0.214598222651098","0.241007801965503","0","1782.81101106409","-869.424120095682","12"
"74","-2","-2e-04","-5e-04","-1","-0.5","0.2","0.2","NaN","-2.25274640242887","-0.000208578981802955","-3.37540074258666","0.000110281343103688","-2.81512947098164","0.211725539203261","0.242673602967055","0","1771.48784875473","-863.762538941004","3013"
"75","-3","-0.00035","-5e-05","-2","-0.5","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2956"
"76","-3","-5e-04","-2e-04","-2","-3","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","426"
"77","-3","-2e-04","-0.00035","-4","-1.125","0.2","0.2","NaN","-2.2492737133045","-0.000208381589045261","-3.47364301876736","0.000144474269147076","-2.07988038313167","0.211322809935494","0.242588897126924","0","1770.33246308396","-863.184846105619","2036"
"78","-3","-0.00035","-5e-04","-2","-3","0.2","0.2","NaN","-2.43231756086009","-0.000159742046047744","-7.56110458098977","0.000459550059962958","-3.6213581658693","0.215718845204147","0.242212902429596","0","1792.05172493301","-874.044477030144","381"
"79","-1","-0.00035","-2e-04","-1","-1.75","0.2","0.2","NaN","-1.26456471264904","-0.0005598937679859","-2.95283074989124","0.000369336404719552","3.67331186233222","0.221758911387307","0.249198012065759","0","1805.93254969649","-880.984889411883","1810"
"80","-2.5","-2e-04","-0.00035","-3","-0.5","0.2","0.2","NaN","-2.18776626508691","-0.000222452155863364","-3.08552014765567","5.29955467019025e-05","-1.40731875099588","0.212724995646155","0.242933735172093","0","1770.19376835701","-863.115498742144","2787"
"81","-3","-2e-04","-5e-04","-2","-3","0.2","0.2","NaN","-2.26325004460956","-0.000205928492559388","-3.44033510533935","0.000122672103920346","-3.03681619748578","0.211860869715932","0.242605741847064","0","1771.69699139216","-863.867110259719","386"
"82","-1.5","-2e-04","-5e-04","-2","-1.125","0.2","0.2","NaN","-1.83354695101528","-0.000327122683602227","-1.73843705625596","-0.000502590987231588","-0.675453177961037","0.218903370119928","0.249351238791497","0","1819.35700007098","-887.697114599129","2264"
"83","-3","-0.00035","-5e-04","-5","-0.5","0.2","0.2","NaN","-2.2812079138206","-0.000202129512813577","-3.4822600364522","0.000124028981614361","-6.89096737319921","0.212138352266117","0.242626356865913","0","1772.91323272461","-864.475230925942","2506"
"84","-3","-5e-04","-5e-05","-5","-0.5","0.2","0.2","NaN","-2.35172738026123","-0.000172147407106022","-5.46684903378065","0.000456860847190954","-0.519792394895569","0.214521403481228","0.24087325170798","0","1788.32881818909","-872.183023658186","2576"
"85","-2.5","1e-04","-5e-04","-2","-3","0.2","0.2","NaN","-1.99377918526315","-0.000279463859572411","-1.92125510118738","-0.000451673468411399","-1.64408853180971","0.22301280830743","0.246490021820183","0","1811.08615672881","-883.561692928044","397"
