"","a_log","h_log","kr_log","sigma","sigma2","error","a_log.est","h_log.est","kr_log.est","sigma.est","sigma2.est","converge","BIC","logLik","strtpt"
"13","-2.77777777777778","-2.77777777777778","-0.5","0.2","0.2","NaN","-2.61769699041346","-3.07988378992568","-0.921567376043301","0.229170142785379","0.242704853477886","0","1843.34656738568","-905.97229409544","452"
"14","-1.66666666666667","-3.22222222222222","-0.5","0.2","0.2","NaN","-2.61968173727105","-3.09698433615731","-0.865238058774617","0.229206086234474","0.242697944642636","0","1843.36108102873","-905.979550916964","447"
"15","-2.55555555555556","-1","-0.5","0.2","0.2","NaN","-2.61771109126846","-3.0791717325694","-0.921461091642007","0.229198933003507","0.242758946039867","0","1843.34659216511","-905.972306485152","493"
"16","-3","-1.88888888888889","-3","0.2","0.2","NaN","-2.61800483494458","-3.08037929428263","-0.923610440536807","0.229200038216255","0.242728929400554","0","1843.34657010759","-905.972295456396","71"
"17","-1.22222222222222","-3.22222222222222","-1.75","0.2","0.2","NaN","-2.62826499998807","-3.09622764039233","-1.07926107239282","0.229230296121168","0.242710342842929","0","1843.38741990798","-905.992720356592","249"
"18","-1","-4.55555555555556","-3","0.2","0.2","NaN","-2.61678423623322","-3.07819112423684","-0.912111858371853","0.229165709759072","0.242678609902631","0","1843.34676054365","-905.972390674423","20"
"19","-3","-3.22222222222222","-1.75","0.2","0.2","NaN","-2.61744356614082","-3.07886872142461","-0.918605165236198","0.22913573216853","0.242713227778589","0","1843.34663454133","-905.972327673265","241"
"20","-2.55555555555556","-3.66666666666667","-1.75","0.2","0.2","NaN","-2.6178189772004","-3.07963461431736","-0.919401867731236","0.229199760103286","0.242703404372633","0","1843.34656136077","-905.972291082983","233"
"21","-2.77777777777778","-1","-1.75","0.2","0.2","NaN","-2.61823139979111","-3.07994574096358","-0.925139706677736","0.229152402668303","0.242673691415353","0","1843.34665828598","-905.972339545592","292"
"22","-2.77777777777778","-3.22222222222222","-2.375","0.2","0.2","NaN","-2.61782705243742","-3.07977785694768","-0.923940211294836","0.229217207135266","0.242689590499303","0","1843.34658441695","-905.972302611076","142"
"23","-1.66666666666667","-1.44444444444444","-0.5","0.2","0.2","NaN","-2.61763899454376","-3.07937369536351","-0.918258206913472","0.229173362918279","0.242696438916481","0","1843.3465774801","-905.972299142651","487"
"24","-2.55555555555556","-3.66666666666667","-2.375","0.2","0.2","NaN","-2.61774255937998","-3.07901436084764","-0.921965914087457","0.229189812459327","0.242700159642206","0","1843.3465622554","-905.972291530298","133"
"25","-1.44444444444444","-1","-1.125","0.2","0.2","NaN","-2.61792917052101","-3.08066625230675","-0.921004871598013","0.229213063931402","0.242741282173774","0","1843.34659039024","-905.972305597719","398"
"26","-1","-3.66666666666667","-1.75","0.2","0.2","NaN","-2.61276051355676","-3.06758326696191","-0.858853768039365","0.229175739137957","0.242757653010732","0","1843.35409067044","-905.976055737822","240"
"27","-2.55555555555556","-1","-2.375","0.2","0.2","NaN","-2.61782148775338","-3.07984190916071","-0.922730071439051","0.229216431630945","0.242677150488094","0","1843.34658657196","-905.97230368858","193"
"28","-2.55555555555556","-1.44444444444444","-1.125","0.2","0.2","NaN","-2.61789448786226","-3.07782411167499","-0.911148527861698","0.229139496555628","0.24269310978136","0","1843.34700603774","-905.972513421469","383"
