"","a_log","h_log","log_w","kr_log","sigma","sigma2","error","a_log.est","h_log.est","log_w.est","kr_log.est","sigma.est","sigma2.est","converge","BIC","logLik","strtpt"
"65","-2.5","-5","-5","-0.5","0.2","0.2","NaN","-1.51915726235953","-3.77073023578339","0.830821068217586","-7.52464955176046","0.413809759067004","0.280272614888971","0","2836.86063997651","-1399.68039426148","602"
"66","-1","-1","-10","-2.375","0.2","0.2","NaN","-1.56028890795914","-3.8103398317709","0.784641997624153","-8.0166641531384","0.414674817268786","0.279959347709379","0","2837.13142592349","-1399.81578723497","150"
"67","-1.5","-1","-5","-0.5","0.2","0.2","NaN","-1.52625647246992","-3.79170916338279","0.73840525234995","-7.48398715735361","0.416118398398883","0.279221657209665","0","2836.96684767806","-1399.73349811225","624"
"68","-1.5","-2","-6.25","-0.5","0.2","0.2","NaN","-1.60854658073966","-3.82606956838867","0.832932810200643","-12.8188421025335","0.414506714144522","0.280090703807648","0","2838.78374349557","-1400.64194602101","594"
"69","-2","-1","-10","-1.75","0.2","0.2","NaN","-1.31384271596574","-3.48641751793283","1.22623387786795","-6.65066013717149","0.416138821272643","0.279797504484745","0","2840.24685576551","-1401.37350215597","273"
"70","-1.5","-4","-10","-2.375","0.2","0.2","NaN","-1.52663391177285","-3.76981892666345","0.797176832372185","-7.51943570288298","0.413998948490805","0.280141410921365","0","2836.87005182186","-1399.68510018415","134"
"71","-2","-4","-8.75","-1.75","0.2","0.2","NaN","-1.52085332413119","-3.77607101052741","0.838351049296089","-7.5256510019183","0.413901944096644","0.279864534758756","0","2836.86042568426","-1399.68028711535","283"
"72","-1","-3","-10","-3","0.2","0.2","NaN","-1.60796607441164","-3.83102336086794","0.812962749831834","-10.509818030126","0.414407274697579","0.28011642099883","0","2838.59213628868","-1400.54614241756","15"
"73","-1","-2","-8.75","-3","0.2","0.2","NaN","-1.6088685175887","-3.82666765606394","0.838491144144365","-16.1096902664957","0.414546249300409","0.280227004630026","0","2838.80513383839","-1400.65264119242","45"
"74","-1.5","-2","-8.75","-0.5","0.2","0.2","NaN","-1.60854658073966","-3.82606956838867","0.832932810200643","-12.8188421025335","0.414506714144522","0.280090703807648","0","2838.78374349557","-1400.64194602101","544"
"75","-3","-2","-6.25","-0.5","0.2","0.2","NaN","-1.52052929006928","-3.77158597736129","0.834297584325354","-7.50985819260802","0.413686385002626","0.280064156930354","0","2836.85773243355","-1399.67894049","591"
"76","-1","-3","-7.5","-1.125","0.2","0.2","NaN","-1.52315070968427","-3.77669206487393","0.830068413163512","-7.51516629869815","0.413866289905704","0.280212380291529","0","2836.85837088538","-1399.67925971591","440"
"77","-2","-2","-6.25","-0.5","0.2","0.2","NaN","-1.51623600807853","-3.76576318308968","0.847354800991751","-7.50380572259789","0.413638531152099","0.280033353404616","0","2836.86024281243","-1399.68019567944","593"
"78","-3","-5","-7.5","-3","0.2","0.2","NaN","-1.57189142638744","-3.81155390526544","0.795129954385657","-8.35824454727116","0.413965590517607","0.280440340413568","0","2837.42501997755","-1399.96258426199","51"
"79","-3","-4","-5","-1.125","0.2","0.2","NaN","-1.56952299005953","-3.82211859443729","0.774187665323533","-8.12774492899582","0.413993332924406","0.280147172204773","0","2837.2309751569","-1399.86556185167","481"
"80","-2","-1","-10","-2.375","0.2","0.2","NaN","-1.5234038608448","-3.77588556975813","0.831637667478898","-7.52071060089168","0.413863069869319","0.279895080070594","0","2836.85889915569","-1399.67952385107","148"
"81","-2.5","-2","-5","-2.375","0.2","0.2","NaN","-1.52779922609309","-3.79307914688131","0.793645883843113","-7.5412654507153","0.413140683770518","0.280592387108834","0","2836.88160843334","-1399.69087848989","242"
"82","-2.5","-1","-6.25","-1.75","0.2","0.2","NaN","-1.4524544084986","-3.68097252935032","0.983079431221743","-7.12192215320508","0.414645769841064","0.279820859395641","0","2837.3221786929","-1399.91116361967","347"
"83","-1","-1","-8.75","-2.375","0.2","0.2","NaN","-1.27923045330947","-3.50623508634208","1.33713411284419","-6.38127566068577","0.416846501590571","0.280052873770049","0","2842.16962656459","-1402.33488755551","175"
"84","-3","-2","-5","-1.125","0.2","0.2","NaN","-1.52115301374909","-3.77137336697577","0.832446258663738","-7.52178176575941","0.413743002343959","0.280124528754574","0","2836.85782624027","-1399.67898739336","491"
"85","-1.5","-3","-10","-3","0.2","0.2","NaN","-1.5904232573957","-3.81919108017125","0.775790114767884","-8.8360922741754","0.414068120271285","0.279794087209927","0","2837.84465817087","-1400.17240335866","14"
"86","-1","-2","-6.25","-3","0.2","0.2","NaN","-1.50047968347851","-3.76236899119669","0.854920204266528","-7.30243858611422","0.413816862586312","0.28007828576333","0","2836.93792244845","-1399.71903549744","95"
"87","-3","-2","-5","-2.375","0.2","0.2","NaN","-1.60855483121176","-3.82663051869231","0.839173034903062","-31.4708250119596","0.414506981760678","0.280108994419604","0","2838.80586067358","-1400.65300461001","241"
"88","-2","-1","-8.75","-3","0.2","0.2","NaN","-1.58879333127341","-3.80673970820687","0.828900696434652","-9.59393267265035","0.416343693013301","0.280349271496377","0","2838.334439454","-1400.41729400022","48"
"89","-2.5","-5","-10","-3","0.2","0.2","NaN","-1.58886791193584","-4.04391657771204","0.390731240251481","-6.98213289942367","0.398304093202846","0.274806054116437","0","2842.22295517305","-1402.36155185975","2"
"90","-1","-1","-5","-3","0.2","0.2","NaN","-1.81727540489998","-4.3066171912284","-3.8638206744254","-7.22694742426836","0.430450566323906","0.280205939820891","0","2877.25230229502","-1419.87622542073","125"
"91","-1.5","-3","-6.25","-1.75","0.2","0.2","NaN","-1.52083904704893","-3.77169252135019","0.829734120331357","-7.51118851651438","0.413876159805396","0.280171411159811","0","2836.85787828655","-1399.6790134165","339"
"92","-1","-4","-7.5","-1.75","0.2","0.2","NaN","-1.49225209124759","-3.73375289817455","0.881392916839602","-7.30445155271334","0.4138762333923","0.280189862439711","0","2836.95272218858","-1399.72643536751","310"
"93","-1","-1","-8.75","-1.125","0.2","0.2","NaN","-1.48285598207174","-3.71843446922496","0.979072272475812","-7.3450485058432","0.414034680845238","0.280249890525943","0","2837.03363180938","-1399.76689017791","425"
"94","-1","-1","-6.25","-1.75","0.2","0.2","NaN","-1.52161849571038","-3.77178104033968","0.837781696087412","-7.50914885921376","0.413617105467224","0.280135461321673","0","2836.85853982615","-1399.6793441863","350"
"95","-3","-5","-6.25","-1.75","0.2","0.2","NaN","-1.60914337949134","-3.82876750887026","0.826408387834121","-11.9636255938315","0.414575201880755","0.280082901849965","0","2838.75444135925","-1400.62729495284","326"
"96","-2","-2","-6.25","-1.125","0.2","0.2","NaN","-1.5259178779311","-3.78033513938211","0.820623051378797","-7.53620998112937","0.413722609158075","0.280079664201819","0","2836.85979965118","-1399.67997409881","468"
"97","-2","-1","-7.5","-0.5","0.2","0.2","NaN","-1.52093529976138","-3.77164363878696","0.829752862949565","-7.50130337165643","0.413763491797179","0.280161883305396","0","2836.85801277531","-1399.67908066087","573"
"98","-1.5","-3","-5","-1.75","0.2","0.2","NaN","-1.52083904704893","-3.77169252135019","0.829734120331357","-7.51118851651438","0.413876159805396","0.280171411159811","0","2836.85787828655","-1399.6790134165","364"
