"","a_log","h_log","sigma","sigma2","error","a_log.est","h_log.est","sigma.est","sigma2.est","converge","BIC","logLik","strtpt"
"12","-2.77777777777778","-4.55555555555556","0.2","0.2","NaN","-1.93677269140167","-4.42310945643332","0.431598971915644","0.280210838758104","0","2868.57302579396","-1421.78656241246","12"
"13","-2.11111111111111","-1.88888888888889","0.2","0.2","NaN","-1.9368758247547","-4.42536415543277","0.431662946083684","0.280218849874685","0","2868.57299583023","-1421.7865474306","75"
"14","-1","-1","0.2","0.2","NaN","-1.93655640170431","-4.42388962446037","0.4316353401017","0.280186487914556","0","2868.5729926789","-1421.78654585493","100"
"15","-3","-5","0.2","0.2","NaN","-1.93696651222148","-4.4251481791501","0.431585761726723","0.28020367302714","0","2868.57300410622","-1421.78655156859","1"
"16","-1.66666666666667","-2.77777777777778","0.2","0.2","NaN","-1.93671900307505","-4.42488114355217","0.431777445096689","0.28024655752457","0","2868.57311141125","-1421.78660522111","57"
"17","-1.66666666666667","-1","0.2","0.2","NaN","-1.93665248863355","-4.42408515519607","0.431617706781128","0.280219200568797","0","2868.57297258841","-1421.78653580969","97"
"18","-2.33333333333333","-2.77777777777778","0.2","0.2","NaN","-1.9366025495784","-4.42430243886018","0.431621581576395","0.280232283482857","0","2868.57297573048","-1421.78653738072","54"
"19","-2.11111111111111","-1","0.2","0.2","NaN","-1.93662014105284","-4.42427673365309","0.431661777672081","0.280203845990354","0","2868.57298284781","-1421.78654093939","95"
"20","-2.55555555555556","-4.55555555555556","0.2","0.2","NaN","-1.9369267276496","-4.42476420077178","0.43162555676293","0.280243807099926","0","2868.57299200415","-1421.78654551756","13"
"21","-2.77777777777778","-2.33333333333333","0.2","0.2","NaN","-1.93705385529041","-4.42367285980444","0.431587074846891","0.280177733623285","0","2868.5730866993","-1421.78659286513","62"
"22","-1.88888888888889","-5","0.2","0.2","NaN","-1.93671700212224","-4.42401879123621","0.43165306154627","0.280211525201097","0","2868.57297910857","-1421.78653906977","6"
"23","-2.33333333333333","-5","0.2","0.2","NaN","-1.93681670468858","-4.42405917852957","0.431601785764525","0.280193276909574","0","2868.57299466456","-1421.78654684776","4"
"24","-2.77777777777778","-3.22222222222222","0.2","0.2","NaN","-1.93652263283435","-4.42385542833498","0.431581307214305","0.280185639180116","0","2868.57300734628","-1421.78655318862","42"
