"","r2_log","alpha11","alpha22","alpha12","alpha21","sigma","sigma2","error","r2_log.est","alpha11.est","alpha12.est","alpha22.est","alpha21.est","sigma.est","sigma2.est","converge","BIC","logLik","strtpt"
"11","-1","5e-04","5e-04","5e-04","0.001","-1.6094379124341","-1.6094379124341","NaN","-3.34551043851627","0.000483896102241617","0.00189883212875655","0.0133743140193507","-0.000749921459878521","-0.000749921459878521","-1.18929253471668","0","135.776230734965","-49.2575804404982","771"
"12","-5","0.005","0.001","5e-04","0.005","-1.6094379124341","-1.6094379124341","NaN","-6.0489012511052","0.000480309739474961","0.00172954390075427","0.1880327582952","-0.0314704048096371","-0.0314704048096371","-1.18182277161669","0","128.899268718054","-45.8190994320426","569"
"13","-5","5e-04","0.005","0.005","0.005","-1.6094379124341","-1.6094379124341","NaN","-5.5931267346008","0.000480478190218455","0.00173072600547945","0.120783007477689","-0.0197035445976277","-0.0197035445976277","-1.18325197454658","0","128.95870778552","-45.8488189657754","673"
"14","-1","0.005","0.001","0.005","0.001","-1.6094379124341","-1.6094379124341","NaN","-1.57144808640234","0.000416543101998918","0.00132675186852986","0.00523523454392956","1.80041732909617e-06","1.80041732909617e-06","-1.09577205342857","0","207.019750815238","-84.8793404806346","443"
"15","-0.5","0.005","0.001","0.001","5e-04","-1.6094379124341","-1.6094379124341","NaN","-6.42365958085826","0.000469005337097374","0.00176798832001469","0.302328751678333","-0.0197867087915218","-0.0197867087915218","-1.18336604464665","0","136.41279144865","-49.5758607973404","252"
"16","-5","5e-04","0.005","0.001","0.001","-1.6094379124341","-1.6094379124341","NaN","-6.81841967373906","0.00048068742781716","0.00154030016207951","0.233233411898605","-0.0765640028902097","-0.0765640028902097","-1.17739840335151","0","133.753371941078","-48.2461510435547","353"
"17","-0.5","0.001","0.005","0.001","5e-04","-1.6094379124341","-1.6094379124341","NaN","-4.47938540091035","0.00050717373954749","0.00157961920804937","0.0415785606491847","-0.00587537527343797","-0.00587537527343797","-1.17160658174321","0","129.915874327894","-46.3274022369625","240"
"18","-0.5","0.001","5e-04","5e-04","0.001","-1.6094379124341","-1.6094379124341","NaN","-21.1447925555774","0.000482769080571481","0.00163497089368385","0.0184595280032239","0.0149553313411883","0.0149553313411883","-1.18425879736843","0","160.877644108083","-61.8082871270572","776"
"19","-5","0.001","5e-04","5e-04","0.001","-1.6094379124341","-1.6094379124341","NaN","-5.631345792515","0.000473786488528741","0.00172356367819458","0.124726610650568","-0.0201614310721477","-0.0201614310721477","-1.18333851947572","0","128.966951100973","-45.8529406235022","269"
"20","-0.5","5e-04","0.001","0.001","0.001","-1.6094379124341","-1.6094379124341","NaN","-2.19717480384898","0.00062535026251855","-0.000795296721319204","0.00564934590827275","0.000291078124614381","0.000291078124614381","-1.06227527230053","0","192.431639810815","-77.5852849784232","468"
"21","-3","0.001","0.001","5e-04","0.001","-1.6094379124341","-1.6094379124341","NaN","-5.86143476100401","0.000477965866864878","0.00173822668976999","0.161443839048295","-0.0251160920504866","-0.0251160920504866","-1.18286550886335","0","128.969174200361","-45.8540521731962","286"
"22","-1","0.001","0.005","0.001","5e-04","-1.6094379124341","-1.6094379124341","NaN","-10.0234384065128","0.000481118999716016","0.00172810505868716","7.52060481390126","-0.00050207835520455","-0.00050207835520455","-1.18264214169489","0","148.227535169707","-55.4832326578688","239"
"23","-0.5","0.001","0.001","0.005","0.005","-1.6094379124341","-1.6094379124341","NaN","-1.3812318680121","0.000478696986673662","0.00176372458076082","0.00518127179189938","0.000167940165765785","0.000167940165765785","-1.16721383905964","0","223.378698399272","-93.0588142726516","704"
"24","-5","0.001","0.001","0.001","0.001","-1.6094379124341","-1.6094379124341","NaN","-6.21407450904945","0.000479354321750165","0.00172535319518439","0.222897933715919","-0.0365165620996798","-0.0365165620996798","-1.18202237907184","0","128.892420596786","-45.8156753714084","1013"
"25","-5","0.001","0.005","0.005","0.001","-1.6094379124341","-1.6094379124341","NaN","-7.57600872803431","0.000480389154989631","0.00173677644853349","0.862711391060788","-0.145914349315085","-0.145914349315085","-1.18300313699733","0","128.826444170198","-45.7826871581145","941"
"26","-1","5e-04","5e-04","0.005","0.005","-1.6094379124341","-1.6094379124341","NaN","-0.939600693349768","0.000488309308419981","0.00170635121964198","0.00479840293911609","0.000279870614926747","0.000279870614926747","-1.21816442150199","0","280.977061571598","-121.857995858815","643"
"27","-0.5","0.001","0.005","0.001","5e-04","-1.6094379124341","-1.6094379124341","NaN","-4.47938540091035","0.00050717373954749","0.00157961920804937","0.0415785606491847","-0.00587537527343797","-0.00587537527343797","-1.17160658174321","0","129.915874327894","-46.3274022369625","104"
"28","-5","5e-04","5e-04","0.001","0.005","-1.6094379124341","-1.6094379124341","NaN","-6.34024034009284","0.000480588270793274","0.001744733283036","0.251666745635979","-0.0422124665953717","-0.0422124665953717","-1.18298065625889","0","128.87395771336","-45.8064439296958","705"
"29","-0.5","5e-04","5e-04","5e-04","5e-04","-1.6094379124341","-1.6094379124341","NaN","-4.09057847289341","0.000478632002389702","0.00164266006667499","0.031674739788849","-0.00191179967229732","-0.00191179967229732","-1.18385698410796","0","135.093482190521","-48.9162061682761","4"
"30","-3","0.005","0.005","0.001","5e-04","-1.6094379124341","-1.6094379124341","NaN","-5.29459537613348","0.000480773977711114","0.00173328056552533","0.0883203624211463","-0.0146273834593674","-0.0146273834593674","-1.18402946644692","0","129.036356519451","-45.8876433327411","106"
"31","-1","5e-04","5e-04","0.001","5e-04","-1.6094379124341","-1.6094379124341","NaN","-1.54627906435768","0.000590148929521245","-0.00116126301077827","0.00686924662606064","0.000330690100182865","0.000330690100182865","-1.18457075882718","0","242.614196927982","-102.676563537007","67"
"32","-1","5e-04","0.005","0.001","0.001","-1.6094379124341","-1.6094379124341","NaN","-10.3764820473407","0.000483452052284166","0.00171907238358025","10.4077290026929","0.0316800653726986","0.0316800653726986","-1.18322815791342","0","148.73883267647","-55.7388814112505","355"
"33","-1","0.001","0.005","0.001","0.005","-1.6094379124341","-1.6094379124341","NaN","-2.08177108560245","0.000476610013054295","0.00169472335815147","0.00677374525472821","-0.00017210231792034","-0.00017210231792034","-1.12754249288126","0","158.08055495128","-60.4097425486558","751"
"34","-1","0.001","0.001","0.001","0.001","-1.6094379124341","-1.6094379124341","NaN","-3.64178016384683","0.00050386257045397","0.00130204562049628","0.0151271909978189","-0.00020220905820118","-0.00020220905820118","-1.18099938218753","0","143.243460319826","-52.9911952329285","503"
"35","-0.5","0.001","0.005","0.005","0.005","-1.6094379124341","-1.6094379124341","NaN","-1.29187843260455","0.000571532958384937","0.00206022715238999","0.00541673670194107","0.000197518961805402","0.000197518961805402","-0.655123719279952","0","453.052539304169","-207.8957347251","688"
"36","-1","0.001","0.005","0.001","0.001","-1.6094379124341","-1.6094379124341","NaN","-10.4831150747966","0.000484860547552074","0.00170802851143579","10.0326652859194","0.186439794471886","0.186439794471886","-1.18324252452956","0","151.103431103134","-56.9211806245827","871"
"37","-5","0.001","5e-04","0.001","0.001","-1.6094379124341","-1.6094379124341","NaN","-4.90021073762523","0.000480108005872541","0.00174344403822459","0.0616672913783959","-0.00958502766209378","-0.00958502766209378","-1.18469014812002","0","129.15396177181","-45.9464459589206","461"
"38","-3","0.005","0.001","0.001","0.005","-1.6094379124341","-1.6094379124341","NaN","-3.60782741056968","0.000472645636143665","0.00178995361670755","0.018708678910193","-0.00228271316227141","-0.00228271316227141","-1.17919655617186","0","130.899666044834","-46.8192980954327","634"
"39","-1","0.001","0.001","0.005","0.005","-1.6094379124341","-1.6094379124341","NaN","-1.91314910030025","0.000493201105348888","0.0014458450005162","0.00641300630754102","-4.06490956744346e-05","-4.06490956744346e-05","-1.00210381848916","0","174.721472127117","-68.730201136574","663"
"40","-3","0.001","0.001","0.005","5e-04","-1.6094379124341","-1.6094379124341","NaN","-4.32746003332209","0.000504836136790571","0.00167559882458353","0.0339171306232377","-0.00534815859578168","-0.00534815859578168","-1.17625043278104","0","129.764796160623","-46.2518631533268","182"
