"","a_log","h_log","log_w","kr_log","sigma","sigma2","error","a_log.est","h_log.est","log_w.est","kr_log.est","sigma.est","sigma2.est","converge","BIC","logLik","strtpt"
"31","-1","-2","-6.25","-2.375","0.2","0.2","NaN","-1.58231975617092","-3.83138712715391","0.831996662287168","-8.77804606682961","0.414376207195271","0.280063635989233","0","2838.34747766584","-1400.42381310614","220"
"32","-1","-2","-8.75","-3","0.2","0.2","NaN","-1.57552430057546","-3.83089238320852","0.828774243258818","-8.53601721316333","0.414329968439474","0.280202958964322","0","2838.3248923074","-1400.41252042692","45"
"33","-1.5","-3","-5","-2.375","0.2","0.2","NaN","-1.6079901343657","-3.83482658669126","0.821155864352235","-10.5532146643961","0.414493330004587","0.280169199567182","0","2838.68426670798","-1400.59220762721","239"
"34","-1","-1","-5","-0.5","0.2","0.2","NaN","-1.5727499069543","-3.82491120412823","0.82219752352623","-8.48796952731653","0.41398597832141","0.280023726986823","0","2838.32765844948","-1400.41390349796","625"
"35","-2","-4","-7.5","-3","0.2","0.2","NaN","-1.57945146821474","-3.83401679214511","0.828510645762339","-8.63696148751788","0.4140543991467","0.280112327788973","0","2838.3306271924","-1400.41538786942","58"
"36","-1.5","-3","-10","-2.375","0.2","0.2","NaN","-1.6079901343657","-3.83482658669126","0.821155864352235","-10.5532146643961","0.414493330004587","0.280169199567182","0","2838.68426670798","-1400.59220762721","139"
"37","-1.5","-3","-7.5","-3","0.2","0.2","NaN","-1.57523647498814","-3.83182181042448","0.829261494288063","-8.51924894704857","0.414254449886719","0.280051123615357","0","2838.32479632015","-1400.4124724333","64"
"38","-3","-3","-7.5","-3","0.2","0.2","NaN","-1.59982085100433","-3.83337796212327","0.825154061655494","-9.67735037887689","0.414444621994961","0.280126505476427","0","2838.54309903305","-1400.52162378975","61"
"39","-2.5","-4","-5","-2.375","0.2","0.2","NaN","-1.59522065867156","-3.83485470487102","0.82888023354648","-9.28323786886084","0.414388099163504","0.280222773157403","0","2838.45522890358","-1400.47768872501","232"
"40","-1.5","-5","-10","-0.5","0.2","0.2","NaN","-1.60757556298768","-3.83642722089193","0.826549552934966","-10.5578958260798","0.414389376363797","0.280060035107839","0","2838.68466723681","-1400.59240789163","504"
"41","-1.5","-5","-8.75","-2.375","0.2","0.2","NaN","-1.57460554307145","-3.82944086443406","0.835706996629097","-8.46375325126519","0.413844750275","0.280247484441373","0","2838.33006953538","-1400.41510904091","154"
"42","-1","-4","-8.75","-0.5","0.2","0.2","NaN","-1.54666622816102","-3.8040345226403","0.86376127162748","-8.07345917971251","0.414962541626309","0.280188843494406","0","2838.47531231127","-1400.48773042885","535"
"43","-2.5","-1","-5","-0.5","0.2","0.2","NaN","-1.57671581817841","-3.83429547123198","0.829404165613439","-8.53362154506171","0.414365634913129","0.280176448996998","0","2838.32510200343","-1400.41262527493","622"
