"","a_log","h_log","h12","log_w","sigma","sigma2","error","a_log.est","h_log.est","h12.est","log_w.est","sigma.est","sigma2.est","converge","BIC","logLik","strtpt"
"84","-2","-5","-5e-05","-5","0.2","0.2","NaN","-1.94077727121364","-4.26171368937954","-2.13180650646462e-05","-10.0763234644481","0.430038599089549","0.280790218325378","0","2877.76677037493","-1420.13345946069","578"
"85","-1.5","-3","-2e-04","-10","0.2","0.2","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","64"
"86","-1","-5","-0.00035","-5","0.2","0.2","NaN","-1.83992415344667","-3.26302460664956","-7.28809636823406e-05","-9.28791999403387","0.443561161362845","0.265559471757007","0","2895.89057786632","-1429.19536320638","530"
"87","-1.5","-2","-5e-04","-7.5","0.2","0.2","NaN","-3.40332995410272","-0.610254585360995","-0.843751545687271","-13.6540548498656","0.593314114634785","0.282630889763684","0","3206.93294105283","-1584.71654479964","269"
"88","-3","-3","1e-04","-6.25","0.2","0.2","NaN","-4.13893152168255","-7.01538652635754","-2.6094620379076","-3.2266853624186","0.595168931543421","0.277757152862417","0","3209.12734982434","-1585.81374918539","486"
"89","-2.5","-4","-0.00035","-10","0.2","0.2","NaN","-1.96570539434138","-4.4550800592079","-1.52521266222502e-05","-10.859435310792","0.433874808574596","0.28345461228793","0","2879.27564306501","-1420.88789580573","32"
"90","-1","-2","-2e-04","-7.5","0.2","0.2","NaN","-1.96339883808051","-2.65869469610454","-0.000143528971849068","-11.8608618174743","0.444237441382362","0.277016580521808","0","2930.3606607267","-1446.43040463657","320"
"91","-2","-4","-5e-04","-10","0.2","0.2","NaN","-4.20328539985821","-1.90332213962026","-1.48706662110694","-9.19460761427411","0.591185648363993","0.280765823316352","0","3210.5852289205","-1586.54268873347","8"
"92","-1.5","-5","-5e-05","-10","0.2","0.2","NaN","-1.91386390610422","-3.99729900893566","-3.06781252482305e-05","-10.2242479528","0.431082433350494","0.280500006164727","0","2878.08797634341","-1420.29406244493","79"
"93","-1","-2","-5e-05","-8.75","0.2","0.2","NaN","-1.64209177237935","-2.20916482394682","-0.000215870026327241","-9.02846849021691","0.573466074274352","0.288525720132911","0","3003.32487610926","-1482.91251232785","220"
"94","-2","-1","1e-04","-10","0.2","0.2","NaN","-2.84783511725807","-0.641764232569936","-0.437087836963673","-9.69145978103503","0.60607557626783","0.284990089885941","0","3214.80575043475","-1588.6529494906","123"
"95","-1","-3","-2e-04","-7.5","0.2","0.2","NaN","-1.6414486087041","-2.64180068459669","-0.000132729346355399","-9.66078450276266","0.425743992964717","0.319510751265036","0","2956.40690691618","-1459.45352773131","315"
"96","-2","-4","-5e-04","-8.75","0.2","0.2","NaN","-4.20328539985821","-1.90332213962026","-1.48706662110694","-9.19460761427411","0.591185648363993","0.280765823316352","0","3210.5852289205","-1586.54268873347","133"
"97","-1","-1","-5e-04","-10","0.2","0.2","NaN","-1.65209421264619","-2.59320713019123","-0.00015876823988238","-6.67691701794734","0.407783695550607","0.254645921067503","0","2938.68947375982","-1450.59481115313","25"
"98","-3","-5","-5e-04","-10","0.2","0.2","NaN","-3.39653374084737","-5.03999935208391","-8.51122184413291e-05","-9.62124431795389","0.495484091422841","0.265873774759152","0","3080.73277924695","-1521.6164638967","1"
