"","a_log","h12","h_log","sigma","sigma2","error","a_log.est","h_log.est","h12.est","sigma.est","sigma2.est","converge","BIC","logLik","strtpt"
"14","-2.5","-0.00035","-4","0.2","0.2","NaN","-1.94005070078292","-4.18252154547876","-2.35328076718841e-05","0.430448414077796","0.280187305626794","0","2871.85921469577","-1420.30466924224","32"
"15","-3","-0.00035","-1","0.2","0.2","NaN","-2.99251002225316","-1.03676622997495","-0.284517744286072","0.603558714456852","0.281205025086648","0","3207.48840492172","-1588.11926435521","106"
"16","-2.5","-5e-04","-4","0.2","0.2","NaN","-2.3462991843973","-3.7710880925252","-5.89683898707007e-05","0.433616575671289","0.262488022189572","0","2924.83969228694","-1446.79490803782","27"
"17","-2","1e-04","-4","0.2","0.2","NaN","-1.9393353663643","-4.1665969352438","-2.40807186484011e-05","0.430218274341323","0.28012000812954","0","2871.8559908664","-1420.30305732755","48"
"18","-2.5","-5e-05","-5","0.2","0.2","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","17"
"19","-1","-0.00035","-5","0.2","0.2","NaN","-1.98540575078781","-4.45262777091197","-1.61893581641854e-05","0.434489655865992","0.283856877913977","0","2873.37213331146","-1421.06112855008","10"
"20","-3","-2e-04","-5","0.2","0.2","NaN","-4.06719117978139","-3.70048449773739","-1.19229522502106","0.594511682835769","0.281588410435301","0","3204.91921350708","-1586.83466864789","11"
"21","-2.5","-5e-05","-2","0.2","0.2","NaN","-2.6562915878079","-2.14209095640747","-0.000265875773116112","0.476652915202428","0.27706333641366","0","3028.05241616075","-1498.40126997473","92"
"22","-2","1e-04","-1","0.2","0.2","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","123"
"23","-2","-5e-05","-5","0.2","0.2","NaN","-2.32465242267597","-3.72540071278798","-6.02873213763035e-05","0.473634243542727","0.268234798298169","0","2921.23896867492","-1444.99454623181","18"
"24","-3","-5e-04","-1","0.2","0.2","NaN","-3.46309252478345","-0.506436471922293","-0.483030371961549","0.593969190306237","0.278700135328071","0","3205.88476789838","-1587.31744584354","101"
"25","-2","-5e-04","-1","0.2","0.2","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","103"
"26","-1.5","-0.00035","-2","0.2","0.2","NaN","-1.52366253374904","-2.17721146458205","-0.000210071993036908","0.483338814536131","0.286335531485398","0","2981.17920059191","-1474.9646621903","84"
"27","-2","1e-04","-5","0.2","0.2","NaN","-1.98770076803058","-4.76421423285697","-5.91865869551818e-06","0.431380048012443","0.280647858818257","0","2876.3267153467","-1422.5384195677","23"
"28","-3","-0.00035","-3","0.2","0.2","NaN","-3.08534320744657","-2.92719622706007","-0.272177632930322","0.584864192210222","0.279587157158992","0","3203.07508590263","-1585.91260484567","56"
"29","-2.5","-0.00035","-2","0.2","0.2","NaN","-1.74013402918146","-2.82602372642876","-0.000111190892301618","0.448856265581839","0.282053276177296","0","2912.21927394544","-1440.48469886707","82"
"30","-3","1e-04","-2","0.2","0.2","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","96"
"31","-1.5","-0.00035","-1","0.2","0.2","NaN","-1.76707855517359","-1.01269450745816","-0.000739525358520449","0.520265455850263","0.286798219773234","0","3064.79083424947","-1516.77047901909","109"
"32","-2.5","-5e-05","-4","0.2","0.2","NaN","-1.94038250546499","-4.17351052286077","-2.38782769102003e-05","0.430458831335041","0.280307474743615","0","2871.85661124621","-1420.30336751746","42"
"33","-2","-2e-04","-1","0.2","0.2","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","113"
"34","-2.5","-0.00035","-1","0.2","0.2","NaN","-2.83464796214071","-0.853786273171737","-0.339067226657443","0.601518139294168","0.279507432735344","0","3209.09641686891","-1588.92327032881","107"
