a_log,h_log,log_w,kr_log,sigma,sigma2,error,a_log.est,h_log.est,log_w.est,kr_log.est,sigma.est,sigma2.est,converge,BIC,logLik,strtpt
-1.5,-5,-7.5,-2.375,0.2,0.2,,-1.25179291050616,-3.98465495975768,0.546008032395007,-6.24547138315809,0.400047379953483,0.280291983850273,0,2802.5385069124,-1382.51932772942,179
-1,-3,-10,-1.125,0.2,0.2,,-1.25232164732924,-3.98367174444899,0.546523948948625,-6.24937478071797,0.399993456453451,0.280243344339748,0,2802.53833437908,-1382.51924146276,390
-2,-2,-8.75,-1.125,0.2,0.2,,-1.28536479393157,-4.02128012703125,0.442181766625085,-6.37763219392152,0.399188955254877,0.280548716581452,0,2802.8143445552,-1382.65724655082,418
-2.5,-2,-5,-3,0.2,0.2,,-1.2523341410629,-3.98269170780729,0.545756877219625,-6.24865738491137,0.399819140283912,0.280437394815244,0,2802.53895968429,-1382.51955411537,117
-2,-1,-10,-0.5,0.2,0.2,,-1.25029849008763,-3.97390912419828,0.559247562453597,-6.25692860978066,0.400323567619067,0.280346917062521,0,2802.54391610316,-1382.5220323248,523
-2,-3,-10,-1.125,0.2,0.2,,-1.25189287164649,-3.98313264395721,0.546419657552432,-6.24907390167337,0.399986794028986,0.280290040547354,0,2802.53833890882,-1382.51924372763,388
-1.5,-3,-7.5,-1.125,0.2,0.2,,-1.24995723746202,-3.97689520187763,0.540030662277398,-6.22735604367765,0.399173140447194,0.280447562346345,0,2802.5523118826,-1382.52623021452,439
-2,-3,-7.5,-2.375,0.2,0.2,,-1.25187150037879,-3.98367716097594,0.549617673911771,-6.24731549189117,0.400082589139336,0.280210851299131,0,2802.53856811479,-1382.51935833062,188
-2,-5,-10,-1.125,0.2,0.2,,-1.25362610057102,-3.98468940987951,0.539207611948832,-6.24950869214476,0.399996463785745,0.280395249064187,0,2802.53891945543,-1382.51953400094,378
-1,-3,-6.25,-2.375,0.2,0.2,,-1.25199098822498,-3.98287439159014,0.546313105240926,-6.246522596947,0.399943318488276,0.28034920328887,0,2802.5384640066,-1382.51930627652,215
-1,-1,-5,-2.375,0.2,0.2,,-1.2522870932544,-3.98290492477381,0.544233602075018,-6.24884140190078,0.400022022753843,0.28026503709903,0,2802.5382844476,-1382.51921649702,250
-1,-3,-10,-1.75,0.2,0.2,,-1.44285064151277,-4.15382380766947,-0.228897066493024,-7.14973164100117,0.4027783343196,0.279891673313051,0,2813.15992531989,-1387.83003693316,265
-2,-3,-5,-1.75,0.2,0.2,,-1.25183296828133,-3.98126307972172,0.545265120712835,-6.2495677954457,0.399942088132619,0.280231932100858,0,2802.53852866414,-1382.51933860529,363
-1,-5,-7.5,-3,0.2,0.2,,-1.24982700122859,-3.98211859850837,0.534243958675938,-6.24244057946305,0.399775903484932,0.280412382706318,0,2802.54254666483,-1382.52134760564,55
-2,-2,-10,-2.375,0.2,0.2,,-1.25260517283676,-3.98528716574422,0.546499606079542,-6.24827764705637,0.400033574375204,0.280513076188803,0,2802.53922168176,-1382.5196851141,143
-2,-3,-7.5,-0.5,0.2,0.2,,-1.25227564661921,-3.98150723486247,0.542878148143258,-6.25040570585578,0.400017265736983,0.280230157748313,0,2802.53857852501,-1382.51936353572,563
-1.5,-5,-8.75,-2.375,0.2,0.2,,-1.25128370419639,-3.99050643309271,0.547228832081751,-6.23894268557354,0.401525226393485,0.280824320991184,0,2802.56091604162,-1382.53053229403,154
-2,-4,-8.75,-0.5,0.2,0.2,,-1.34561689185572,-4.11524078585732,0.31491960761981,-6.59664804510419,0.400430683095991,0.281695004121668,0,2804.36703536956,-1383.433591958,533
-3,-2,-10,-3,0.2,0.2,,-1.25240256453345,-3.98510203294547,0.54958913638687,-6.25006836595341,0.400067303944491,0.280181305435361,0,2802.53884397049,-1382.51949625847,16
-1.5,-4,-7.5,-1.75,0.2,0.2,,-1.25249621505418,-3.9837704508411,0.546709709159296,-6.24903659661028,0.400074616784432,0.2802942813708,0,2802.53835409728,-1382.51925132186,309
-1.5,-1,-8.75,-1.75,0.2,0.2,,-1.25232779666485,-3.98286153817819,0.547775661101618,-6.253535149066,0.400053124962132,0.280187620384469,0,2802.53881968691,-1382.51948411667,299
