a_log,h_log,log_w,sigma,sigma2,error,a_log.est,h_log.est,log_w.est,sigma.est,sigma2.est,converge,BIC,logLik,strtpt
-1.5,-2,-6.25,0.2,0.2,,-1.50768608939823,-4.42387976412681,-6.17717845705142,0.41905300874057,0.280445662560891,0,2844.56675324726,-1406.65843851798,94
-1,-1,-10,0.2,0.2,,-1.50747624399936,-4.42267939778028,-6.17575663357599,0.419034308614256,0.28038526337466,0,2844.56662210975,-1406.65837294922,25
-2,-3,-10,0.2,0.2,,-1.50770730240167,-4.42369572954946,-6.17837759261048,0.419002106094585,0.280433316182258,0,2844.5668002266,-1406.65846200765,13
-3,-1,-5,0.2,0.2,,-1.50791657579788,-4.42370342050199,-6.17641219346319,0.418983491489998,0.280344797906478,0,2844.56658726278,-1406.65835552574,121
-1.5,-4,-7.5,0.2,0.2,,-1.50199932959714,-4.41719212462473,-6.15103789923064,0.41915411230695,0.280413444933893,0,2844.57472675756,-1406.66242527313,59
-3,-3,-10,0.2,0.2,,-1.50678925561213,-4.41858705574055,-6.16552459176408,0.418967740061407,0.280229599324229,0,2844.56976310316,-1406.65994344593,11
-1,-1,-8.75,0.2,0.2,,-1.50747624399936,-4.42267939778028,-6.17575663357599,0.419034308614256,0.28038526337466,0,2844.56662210975,-1406.65837294922,50
-2,-5,-5,0.2,0.2,,-1.50746600574244,-4.42329687659839,-6.17630861454089,0.418948217423425,0.280363045358072,0,2844.56663851617,-1406.65838115243,103
-1,-3,-10,0.2,0.2,,-1.50745425526653,-4.42312964732034,-6.17506960771942,0.418941818178105,0.280313189734095,0,2844.56664212004,-1406.65838295437,15
-2,-2,-6.25,0.2,0.2,,-1.50775600492506,-4.42413058317668,-6.1770114375941,0.418945708358825,0.280394041370895,0,2844.56665892033,-1406.65839135451,93
-3,-2,-5,0.2,0.2,,-1.50787698838781,-4.4228830013452,-6.17739875142728,0.419015900973259,0.280364451112386,0,2844.56660508405,-1406.65836443637,116
-2.5,-2,-10,0.2,0.2,,-1.50830007479604,-4.42551790292308,-6.17882185524729,0.418972081150791,0.280358657166973,0,2844.56676272525,-1406.65844325697,17
-2,-1,-5,0.2,0.2,,-1.50957851295643,-4.42688103114214,-6.18590162619215,0.417988801223908,0.280043909092528,0,2844.57517188485,-1406.66264783678,123
-1.5,-1,-6.25,0.2,0.2,,-1.50749506214321,-4.42358288100662,-6.17640360736554,0.418929177623216,0.280308198172347,0,2844.5666828487,-1406.6584033187,99
-1.5,-3,-8.75,0.2,0.2,,-1.50711613714779,-4.4215758236445,-6.17470056894137,0.419049130243072,0.28031892186083,0,2844.56674237279,-1406.65843308075,39
-3,-2,-7.5,0.2,0.2,,-1.50787698838781,-4.4228830013452,-6.17739875142728,0.419015900973259,0.280364451112386,0,2844.56660508405,-1406.65836443637,66
-1.5,-2,-10,0.2,0.2,,-1.50768608939823,-4.42387976412681,-6.17717845705142,0.41905300874057,0.280445662560891,0,2844.56675324726,-1406.65843851798,19
-2,-4,-8.75,0.2,0.2,,-1.50728896132176,-4.42322063021322,-6.17449084735501,0.419033572436914,0.280331708503336,0,2844.56663419837,-1406.65837899354,33
-1,-3,-6.25,0.2,0.2,,-1.50745425526653,-4.42312964732034,-6.17506960771942,0.418941818178105,0.280313189734095,0,2844.56664212004,-1406.65838295437,90
-3,-5,-7.5,0.2,0.2,,-1.50754719542431,-4.4210805536842,-6.17686314217134,0.419076961829555,0.280352884580513,0,2844.56680586931,-1406.658464829,51
-2.5,-2,-5,0.2,0.2,,-1.50830007479604,-4.42551790292308,-6.17882185524729,0.418972081150791,0.280358657166973,0,2844.56676272525,-1406.65844325697,117
-1,-1,-7.5,0.2,0.2,,-1.50747624399936,-4.42267939778028,-6.17575663357599,0.419034308614256,0.28038526337466,0,2844.56662210975,-1406.65837294922,75
-3,-5,-5,0.2,0.2,,-1.50754719542431,-4.4210805536842,-6.17686314217134,0.419076961829555,0.280352884580513,0,2844.56680586931,-1406.658464829,101
