a_log,a12,h_log,sigma,sigma2,error,a_log.est,a12.est,h_log.est,sigma.est,sigma2.est,converge,BIC,logLik,strtpt
-1.5,-5e-04,-3,0.2,0.2,,-1.53838265595819,-0.000256706816202964,-4.42145059726365,0.417996779439125,0.280341206443271,0,2841.99833581088,-1405.37422979979,54
-2,-2e-04,-3,0.2,0.2,,-1.53808402264142,-0.000256821008987455,-4.41876329719536,0.417950426940817,0.280422308844966,0,2841.99855444728,-1405.37433911799,63
-2.5,1e-04,-3,0.2,0.2,,-1.5381319599015,-0.00025685788445734,-4.4205173564925,0.417987837544863,0.280340056845695,0,2841.99833417164,-1405.37422898017,72
-2,-5e-04,-2,0.2,0.2,function cannot be evaluated at initial parameters,,,,,,,,,78
-2,-0.00035,-5,0.2,0.2,,-1.53810247062333,-0.0002569080615718,-4.42002079292608,0.417984601367312,0.280432982313376,0,2841.99844951129,-1405.37428665,8
-2.5,-2e-04,-4,0.2,0.2,,-1.64044055345265,-0.000208367097306288,-4.87139745696146,0.414559892130457,0.281628345240989,0,2848.40803918802,-1408.57908148836,37
-1.5,-2e-04,-2,0.2,0.2,,-1.53845138834855,-0.000256763987991693,-4.42125144740156,0.417959648091415,0.280342964082275,0,2841.99833708972,-1405.37423043921,89
-2,1e-04,-2,0.2,0.2,,-1.53772782410867,-0.00025685460539356,-4.4201732391765,0.417815639633042,0.280362591040825,0,2841.99866480487,-1405.37439429679,98
-2,1e-04,-1,0.2,0.2,,,,,,,,,,123
-2.5,-5e-04,-1,0.2,0.2,function cannot be evaluated at initial parameters,,,,,,,,,102
-1,-0.00035,-2,0.2,0.2,,-1.53874694810206,-0.000256518523138514,-4.42004870985975,0.41793956897084,0.280303205892963,0,2841.99850952261,-1405.37431665565,85
-1,1e-04,-3,0.2,0.2,,-1.53806869700874,-0.000256896495790613,-4.42020273652966,0.418024727130103,0.280313143009538,0,2841.99837268181,-1405.37424823526,75
-3,1e-04,-5,0.2,0.2,,-1.53847734491365,-0.000256495226464714,-4.42089518179998,0.417990655083878,0.280351247103969,0,2841.99835175465,-1405.37423777167,21
-3,-5e-05,-5,0.2,0.2,,-1.53888275696244,-0.00025655729458934,-4.42163877664355,0.418020383075191,0.280342028837962,0,2841.99845438767,-1405.37428908819,16
-2.5,-0.00035,-1,0.2,0.2,,,,,,,,,,107
-1,-2e-04,-2,0.2,0.2,,-1.53852441259472,-0.000256553970001839,-4.4212950599681,0.418083261920728,0.280336779897215,0,2841.99840692575,-1405.37426535722,90
-2,-2e-04,-1,0.2,0.2,,-1.53850942057554,-0.000256655788894501,-4.42104563851322,0.418028110235996,0.280389571554747,0,2841.99837328448,-1405.37424853659,113
-2,-5e-05,-5,0.2,0.2,,-1.53835400532779,-0.000256771462193141,-4.42110904784651,0.417968830267083,0.280330418186272,0,2841.99832801544,-1405.37422590207,18
