a_log,a12,h12,h_log,sigma,sigma2,error,a_log.est,a12.est,h_log.est,h12.est,sigma.est,sigma2.est,converge,BIC,logLik,strtpt
-3,-0.00035,-2e-04,-4,0.2,0.2,,-2.89320771374284,-0.0249810409704503,-3.87841813394551,-0.349362414324639,0.642357073986782,0.280332583359351,0,3290.69136101367,-1626.59575478006,181
-1,-0.00035,-0.00035,-2,0.2,0.2,,-1.01596903852811,0.00949231049373372,-1.24482944993765,-0.231399960610618,0.650094225244977,0.296317793929622,0,3294.65318569517,-1628.57666712081,410
-2,-0.00035,-5e-05,-3,0.2,0.2,function cannot be evaluated at initial parameters,,,,,,,,,,333
-1,1e-04,-5e-05,-3,0.2,0.2,,-1.42294592079894,-0.00033985661936247,-5.2340167045202,5.9027435930833e-05,0.42058396455602,0.275718332336088,0,2881.31404448028,-1421.90709651336,350
-2,-5e-04,-5e-04,-4,0.2,0.2,,-2.27303758542119,0.000124664656725844,-6.01254721487931,2.76788471876644e-05,0.478634984850397,0.272089735677322,0,2942.79157300313,-1452.64586077478,128
-2,1e-04,1e-04,-4,0.2,0.2,,-1.50944310539342,-0.00029994217408883,-4.15592642213987,-3.56795107007415e-05,0.416640431778903,0.280313966524505,0,2844.98357856169,-1403.74186355406,248
-3,-2e-04,-5e-05,-2,0.2,0.2,function cannot be evaluated at initial parameters,,,,,,,,,,461
-2.5,-5e-04,-0.00035,-2,0.2,0.2,function cannot be evaluated at initial parameters,,,,,,,,,,402
-1.5,-0.00035,-5e-04,-4,0.2,0.2,,243.383002482937,8.68689957455122,3.88474588412256,-247.86451223812,0.64443916803144,0.280202004578546,0,3296.27673068749,-1629.38843961697,134
-1,-5e-04,-2e-04,-4,0.2,0.2,,,,,,,,,,,180
-1,1e-04,-0.00035,-4,0.2,0.2,,-1.10688390283663,-0.000610095278919752,-3.62174434051168,-7.15524461275113e-05,0.426731199936286,0.333491277366971,0,2934.73317045563,-1448.61665950104,175
-1,1e-04,-5e-04,-1,0.2,0.2,,-1.12094514107125,-0.00121894954530188,-1.12503940513003,-0.00222319113459997,0.556171784253442,0.292144586894634,0,3120.11677943804,-1541.30846399224,525
-2.5,-0.00035,1e-04,-2,0.2,0.2,function cannot be evaluated at initial parameters,,,,,,,,,,482
-3,-5e-05,1e-04,-3,0.2,0.2,,-1.72306439597636,-0.000136010520175982,-5.46852722030102,3.06846089747291e-05,0.422002633319771,0.277974877795105,0,2868.12771997341,-1415.31393425993,366
-2,-5e-05,-2e-04,-2,0.2,0.2,,,,,,,,,,,443
-2,-0.00035,-0.00035,-5,0.2,0.2,,-1.8065339866386,-0.137758779700626,-4.52412878760476,-0.766387717451858,0.658721588035833,0.276436201570124,0,3294.03931984843,-1628.26973419744,33
-1.5,-0.00035,1e-04,-3,0.2,0.2,,-1.35080696493144,-0.000457186690152567,-3.01023649137607,-0.000212595991712322,0.433078704183367,0.280373317934978,0,2884.91191928189,-1423.70603391417,359
-2.5,-5e-04,-5e-04,-1,0.2,0.2,function cannot be evaluated at initial parameters,,,,,,,,,,502
-1,1e-04,1e-04,-5,0.2,0.2,,-1.17651260843131,-0.0121486665481213,-4.90038756012916,-0.345446550428698,0.633739576845376,0.282627181490562,0,3268.95386121601,-1615.72700488123,125
-2,1e-04,-5e-05,-3,0.2,0.2,,-1.31977624706948,-0.000519763919477406,-2.95036678412705,-0.000215564285398172,0.436113195229623,0.28020691223472,0,2891.77330523939,-1427.13672689292,348
-2,-0.00035,-2e-04,-3,0.2,0.2,,-2.16090552399772,-0.000187740496009988,-2.85257557384083,-0.000335265392702635,0.457066135612651,0.218655268599873,0,3100.36453717046,-1531.43234285845,308
-1.5,-5e-05,-5e-04,-1,0.2,0.2,,-1.69528501686278,-0.00415665585072493,-0.737113445156525,-0.416376725279488,0.658993694136026,0.298458606990822,0,3282.44972482355,-1622.474936685,519
