a_log,h_log,log_w,kr_log,sigma,sigma2,error,a_log.est,h_log.est,log_w.est,kr_log.est,sigma.est,sigma2.est,converge,BIC,logLik,strtpt
-1.5,-5,-6.25,-2.375,0.2,0.2,,-1.31574551840305,-4.16502791258793,-6.5800976969022,0.489646725878224,0.401056124287048,0.280187370349341,0,2805.9459905253,-1384.22306953587,204
-1,-3,-8.75,-2.375,0.2,0.2,,-1.30849683013208,-4.12317530695546,-6.62030383325968,0.549321605477321,0.401401842209669,0.280211633447669,0,2805.86816615454,-1384.18415735049,165
-2,-1,-5,-1.125,0.2,0.2,,-1.30903378761418,-4.12623216301304,-6.62107283898012,0.548333554756577,0.401228587327012,0.28028146724057,0,2805.86824199492,-1384.18419527068,498
-1,-2,-8.75,-0.5,0.2,0.2,,-1.47608104955828,-4.03505041257194,-12.0522690241517,0.641061951140919,0.40856973481934,0.280310113010017,0,2824.61425253991,-1393.55720054318,545
-3,-5,-7.5,-2.375,0.2,0.2,,-1.47782097895624,-4.0380500521046,-16.730239443146,0.650579555472209,0.408679014246296,0.280291375832111,0,2824.83370922209,-1393.66692888427,176
-1.5,-1,-8.75,-0.5,0.2,0.2,,-1.30808343622934,-4.11294915664502,-6.61201378585417,0.543922515806328,0.400720816277484,0.280509707964068,0,2805.88333187037,-1384.19174020841,549
-1.5,-4,-6.25,-0.5,0.2,0.2,,-1.38278219958534,-3.74211490065303,-7.53969736298288,0.261472288923635,0.412696830775951,0.286576643263186,0,2819.59660134069,-1391.04837494357,584
-1,-3,-5,-2.375,0.2,0.2,,-1.30849683013208,-4.12317530695546,-6.62030383325968,0.549321605477321,0.401401842209669,0.280211633447669,0,2805.86816615454,-1384.18415735049,240
-1,-5,-7.5,-1.75,0.2,0.2,,-1.47882819153399,-4.04198220825902,-13.2004490620929,0.639748095361913,0.408534063052498,0.280289295031959,0,2824.76587040478,-1393.63300947561,305
-2,-1,-10,-0.5,0.2,0.2,,-1.30861282469004,-4.12486322610329,-6.61946010560842,0.549912753061655,0.401390455821549,0.280287240100982,0,2805.86807254326,-1384.18411054485,523
-3,-4,-6.25,-0.5,0.2,0.2,,-1.48281556551073,-4.05507481379484,-11.4870220067314,0.593262482866912,0.408585953074679,0.280294366313364,0,2824.46954037579,-1393.48484446112,581
-2.5,-3,-10,-1.75,0.2,0.2,,-1.30854865959578,-4.12419024611803,-6.62118880897158,0.548399539011986,0.401329953647634,0.280330538413103,0,2805.86811558638,-1384.18413206641,262
-2,-1,-10,-1.75,0.2,0.2,,-1.18831298314206,-3.90955605507372,-6.39636709847558,0.766458649345529,0.403066251303992,0.280120430595096,0,2808.6447732266,-1385.57246088652,273
-3,-5,-6.25,-3,0.2,0.2,,-1.47887827565296,-4.0377170060744,-12.9537887739033,0.640503474322225,0.408820441971723,0.280394075430463,0,2824.74662290766,-1393.62338572705,76
-2,-5,-7.5,-1.75,0.2,0.2,,-1.45708982101647,-4.09465495864032,-8.93602550390563,0.606323773587404,0.407555312338992,0.280639037274655,0,2820.39551881278,-1391.44783367961,303
-2,-4,-10,-3,0.2,0.2,,-1.19683731624561,-4.11459841150014,-6.52969657882502,0.854059650062379,0.391638673461029,0.277227641748002,0,2810.9157137113,-1386.70793112887,8
-1,-5,-10,-1.75,0.2,0.2,,-1.48281486193104,-4.0832996396953,-9.73764550743721,0.557026110617911,0.408053454496833,0.28027698520379,0,2822.7508559144,-1392.62550223042,255
-1.5,-3,-7.5,-2.375,0.2,0.2,,-1.30774997260462,-4.12322873398327,-6.62478794965307,0.547122727996651,0.401154069406968,0.280337956839005,0,2805.8697659754,-1384.18495726092,189
-1,-2,-6.25,-2.375,0.2,0.2,,-1.30615632373293,-4.11983149591153,-6.61376061384098,0.559527415209822,0.401393549199227,0.280229851657546,0,2805.87009923668,-1384.18512389156,220
-1,-2,-8.75,-3,0.2,0.2,,-1.55318830517078,-4.58372374033983,-6.44861989540596,-7.19934122014644,0.420249341780979,0.280360461882663,0,2853.81353146985,-1408.15684000815,45
