r1_log,r2_log,alpha11,alpha22,alpha12,alpha21,sigma,sigma2,error,r1_log.est,r2_log.est,alpha11.est,alpha12.est,alpha22.est,alpha21.est,sigma.est,sigma2.est,converge,BIC,logLik,strtpt
-0.5,-3,5e-04,0.005,5e-04,0.005,0.2,0.2,non-finite finite-difference value [2],,,,,,,,,,,,2183
-1,-5,0.005,0.001,0.001,0.001,0.2,0.2,,-0.290491496540201,-4.47734905640872,0.0007380237071598,0.00089607912609661,-0.021262862182184,-0.0101387774246733,0.252767611284953,0.315461838758633,0,367.744668529921,-162.580294348407,1378
-1,-1,5e-04,0.001,0.001,0.005,0.2,0.2,,-21.6270906448936,-11.3142675346416,32.2491580200345,15.0270409124965,36.2226140158371,-6.04513571943257,0.426776004525224,0.239078308172725,0,270.297677435858,-113.856798801375,2378
-1,-1,5e-04,0.005,5e-04,0.005,0.2,0.2,,-0.697136060676525,-6.26726956477766,0.000522283409558863,0.00250884241710851,0.236084584366887,-0.0389115863121975,0.274068933104608,0.231672708989865,0,87.7670558801779,-22.5914880235353,2186
-2,-0.5,0.001,0.001,0.001,5e-04,0.2,0.2,,-1.99999782656722,-0.500021272356273,0.000623424231828002,0.000859283572651398,0.00492268297525601,0.000328926567111421,0.200049092795137,0.200131850063456,0,1138.06560982549,-547.74076499619,1021
-0.5,-5,0.005,5e-04,5e-04,5e-04,0.2,0.2,non-finite finite-difference value [2],,,,,,,,,,,,35
0.5,-0.5,0.001,0.001,0.001,0.001,0.2,0.2,,-0.896154771373239,-4.45571595061407,0.000698511758419489,0.00166373539897528,-0.00460513402296663,-0.00226601631808613,0.316212070529886,0.260247504065956,0,142.83274055646,-50.1243303616763,1376
0.5,-5,0.001,0.001,0.001,0.001,0.2,0.2,,-23.6260980215141,-8.45942249279037,3.74939312593882,3.96288861092601,2.0867413263694,-0.34736819648141,0.426771301564947,0.239059028736426,0,270.301540460701,-113.858730313797,3572
-1,-1,0.005,5e-04,0.005,0.005,0.2,0.2,non-finite finite-difference value [2],,,,,,,,,,,,2602
-2,-5,0.001,0.001,0.001,5e-04,0.2,0.2,non-finite finite-difference value [2],,,,,,,,,,,,497
-0.5,-1,0.005,5e-04,0.001,0.005,0.2,0.2,non-finite finite-difference value [2],,,,,,,,,,,,2859
0.5,-1,0.005,0.001,5e-04,0.005,0.2,0.2,non-finite finite-difference value [2],,,,,,,,,,,,2156
-2,-3,0.005,0.005,0.005,5e-04,0.2,0.2,,-0.915843118596246,-4.81925400211394,0.000738436879232438,0.00179666335910558,0.0539714344062905,-0.00552121970509117,0.307534824603833,0.241447907541103,0,116.156850316342,-36.7863852416172,677
-0.5,-0.5,5e-04,0.001,0.001,0.005,0.2,0.2,non-finite finite-difference value [2],,,,,,,,,,,,2511
0.5,-5,5e-04,5e-04,0.005,0.001,0.2,0.2,non-finite finite-difference value [2],,,,,,,,,,,,3588
-0.5,-3,0.001,0.005,5e-04,0.001,0.2,0.2,,-0.500007772866499,-3.00000019651533,0.000701349790173993,0.00228668487735773,0.00502827648021837,0.000663122547805508,0.200050334952001,0.200014836688819,0,256.428106930384,-106.922013548638,1207
