a_log,a12,h12,h_log,kr_log,sigma,sigma2,error,a_log.est,a12.est,h_log.est,h12.est,kr_log.est,sigma.est,sigma2.est,converge,BIC,logLik,strtpt
-1,-5e-04,-2e-04,-4,-3,0.2,0.2,,-1.55701257551853,-0.000275893695277076,-3.68529922609737,-6.48576592170459e-05,-3.30889554740198,0.465908221940865,0.288772862246386,0,2870.78167564664,-1413.51592447541,180
-2,1e-04,-5e-05,-5,-2.375,0.2,0.2,,-2.11016111734901,6.26706647696701e-05,-4.48804502538801,-6.50910226718172e-06,-2.42625778602232,0.454300722156474,0.276756305295566,0,2921.44657947239,-1438.84837638828,723
-1.5,-2e-04,-2e-04,-5,-1.75,0.2,0.2,,701.428736496939,547.039002716315,-9011.5562827818,-12044.3720898242,-12576.3735401907,0.644491377233727,0.280157578924068,0,3302.49001261651,-1629.37009296035,1314
-3,-5e-05,-5e-05,-1,-0.5,0.2,0.2,,-2.92122829333476,-0.000578614957650048,-1.09172663584062,-0.257771248323643,-0.494714490102212,0.650966427449815,0.282912787674334,0,3274.73085054259,-1615.49051192339,3091
-2,-5e-04,1e-04,-1,-2.375,0.2,0.2,function cannot be evaluated at initial parameters,,,,,,,,,,,1228
-1,-5e-04,-2e-04,-2,-0.5,0.2,0.2,,-1.15619672261976,-0.000461571039433895,-3.63757267887414,-5.02717656672239e-05,0.771716567826592,0.398492702586336,0.279725877142174,0,2801.71167779174,-1378.98092554796,2930
-2,-0.00035,1e-04,-4,-2.375,0.2,0.2,function cannot be evaluated at initial parameters,,,,,,,,,,,858
-3,-0.00035,-2e-04,-4,-1.125,0.2,0.2,,-2.76546642614494,-0.00142721193475317,-4.17434741609556,-0.173353204079419,-1.09805503860952,0.653913233840712,0.287895679307236,0,3274.6036815394,-1615.42692742179,2056
-1,-5e-04,-5e-05,-2,-1.75,0.2,0.2,,,,,,,,,,,,1705
-3,-5e-04,-5e-05,-1,-2.375,0.2,0.2,function cannot be evaluated at initial parameters,,,,,,,,,,,1201
-2.5,-5e-04,-2e-04,-2,-1.125,0.2,0.2,function cannot be evaluated at initial parameters,,,,,,,,,,,2302
-2.5,1e-04,1e-04,-5,-1.125,0.2,0.2,,-1.46580058472472,-0.000300496636656724,-4.18889586467652,-2.75864151693478e-05,-1.87473230396224,0.409655568587127,0.280376160299593,0,2832.9408768802,-1394.59552509219,1997
-1,-0.00035,-2e-04,-4,-1.125,0.2,0.2,,,,,,,,,,,,2060
-1.5,1e-04,1e-04,-1,-2.375,0.2,0.2,,,,,,,,,,,,1249
-3,-2e-04,-5e-04,-4,-0.5,0.2,0.2,,-2.89280537373697,-0.00186487483459178,-3.98557245246419,-0.187026990138152,-0.491900928462208,0.656392325777969,0.278802982488576,0,3246.0421530772,-1601.14616319069,2636
-1,-5e-05,-5e-04,-1,-0.5,0.2,0.2,,,,,,,,,,,,3020
-2,-5e-04,-5e-05,-3,-2.375,0.2,0.2,function cannot be evaluated at initial parameters,,,,,,,,,,,953
-2.5,-5e-04,-0.00035,-1,-1.75,0.2,0.2,function cannot be evaluated at initial parameters,,,,,,,,,,,1777
-1.5,-5e-04,-2e-04,-2,-2.375,0.2,0.2,,,,,,,,,,,,1054
-1,1e-04,-0.00035,-5,-2.375,0.2,0.2,,-1.55092948204352,-0.0002451830236745,-4.80181013470926,8.13632116445581e-06,-2.80670248734718,0.413148604569053,0.279839162145279,0,2851.85251401821,-1404.0513436612,675
