a_log,h_log,kr_log,sigma,sigma2,error,a_log.est,h_log.est,kr_log.est,sigma.est,sigma2.est,converge,BIC,logLik,strtpt
-1.44444444444444,-4.11111111111111,-1.125,0.2,0.2,,-1.47797838520189,-4.03861317818339,0.650642920755211,0.40863716809803,0.280248966064833,0,2818.58587353334,-1393.66799866102,328
-2.33333333333333,-1.44444444444444,-3,0.2,0.2,,-1.47780020775389,-4.03846907387311,0.65124711212506,0.408654688108026,0.280309137951995,0,2818.58582828508,-1393.66797603689,84
-1,-3.22222222222222,-1.75,0.2,0.2,,-1.47778534547709,-4.0383769421846,0.652619289056049,0.408746849478231,0.280259803066335,0,2818.58586330189,-1393.6679935453,250
-1,-1.44444444444444,-3,0.2,0.2,,-1.4787205237,-4.03860814211398,0.652707796384942,0.409065680459026,0.280262283929719,0,2818.58719044903,-1393.66865711886,90
-1.22222222222222,-4.11111111111111,-1.75,0.2,0.2,,-1.47809411826862,-4.03978431175935,0.648378572110744,0.408668497748181,0.280335024538338,0,2818.58592801565,-1393.66802590218,229
-2.55555555555556,-1.44444444444444,-2.375,0.2,0.2,,-1.47742533211064,-4.03797564021555,0.652428892886392,0.40892338327144,0.280210656891237,0,2818.58619587899,-1393.66815983385,183
-2.33333333333333,-4.55555555555556,-0.5,0.2,0.2,,-1.47821473451,-4.03988496658324,0.648310215982796,0.408741640377061,0.280373700891375,0,2818.58597763797,-1393.66805071334,414
-2.77777777777778,-1.44444444444444,-2.375,0.2,0.2,,-1.47777734043758,-4.03851770198277,0.651075409491871,0.408692699755718,0.280304021874591,0,2818.58580576088,-1393.66796477479,182
-3,-1.44444444444444,-3,0.2,0.2,,-1.47941746901676,-4.04017650430033,0.650615582598341,0.408612454626565,0.280475615745253,0,2818.58720675473,-1393.66866527171,81
-1.22222222222222,-4.55555555555556,-1.75,0.2,0.2,,-1.47843606058052,-4.03820636265322,0.650041498006819,0.408721265013498,0.280273792817846,0,2818.58603216141,-1393.66807797505,219
-1.22222222222222,-3.66666666666667,-0.5,0.2,0.2,,-1.47759849507441,-4.0380080993604,0.650473599664093,0.408782221545564,0.280293936814375,0,2818.58584118097,-1393.66798248484,439
-1.22222222222222,-4.11111111111111,-2.375,0.2,0.2,,-1.47888890323611,-4.04020022502087,0.643062122305287,0.408771304280961,0.280318424145906,0,2818.58626112362,-1393.66819245616,129
-2.55555555555556,-3.22222222222222,-1.75,0.2,0.2,,-1.47705803076806,-4.03747981386511,0.648946378182899,0.408557079803747,0.280316110485224,0,2818.58625487759,-1393.66818933314,243
-2.55555555555556,-4.11111111111111,-1.75,0.2,0.2,,-1.47783152100836,-4.03847498859903,0.650429602453238,0.408659469617566,0.28031759493955,0,2818.58582498034,-1393.66797438452,223
-2.11111111111111,-2.33333333333333,-2.375,0.2,0.2,,-1.47818005476762,-4.03957749672274,0.647661297371779,0.4087690717451,0.280297249424823,0,2818.58590565817,-1393.66801472343,165
-1.66666666666667,-1.88888888888889,-0.5,0.2,0.2,,-1.47787076908914,-4.03881297100024,0.650100948981635,0.408732700235979,0.280289605164021,0,2818.58580866993,-1393.66796622932,477
-3,-1,-2.375,0.2,0.2,,-1.47625943415438,-4.03526529577658,0.655601726044515,0.408884919192745,0.280327898698342,0,2818.58649516155,-1393.66830947513,191
-1.44444444444444,-1.88888888888889,-2.375,0.2,0.2,,-1.47810701982464,-4.03816851235209,0.646447461088215,0.408904547730344,0.280357252704823,0,2818.58622792697,-1393.66817585784,178
-1.88888888888889,-4.55555555555556,-1.125,0.2,0.2,,-1.47734161406078,-4.03759155142915,0.65104618532554,0.408645408632702,0.28035755623812,0,2818.58593410748,-1393.66802894809,316
-1.66666666666667,-5,-1.75,0.2,0.2,,-1.47810784061929,-4.03897448169622,0.652534621339257,0.408716491847776,0.280333431373126,0,2818.58592869061,-1393.66802623966,207
-1,-3.22222222222222,-3,0.2,0.2,,-1.47774319236624,-4.03814340096882,0.651523744151244,0.408821934659326,0.280232157555183,0,2818.58593026944,-1393.66802702907,50
-2.33333333333333,-1,-1.125,0.2,0.2,,-1.47710069843669,-4.03537625417804,0.654308214578249,0.408719911727629,0.280264840054127,0,2818.58617679408,-1393.66815029139,394
-1,-2.33333333333333,-2.375,0.2,0.2,,-1.47768348706282,-4.0387226769855,0.650981310054175,0.408739285528406,0.280338901259192,0,2818.58584907603,-1393.66798643237,170
-1,-2.77777777777778,-2.375,0.2,0.2,,-1.47824398271958,-4.0397952490412,0.649368446438217,0.408581294756415,0.280268810195298,0,2818.58598141683,-1393.66805260277,160
-2.55555555555556,-4.55555555555556,-1.125,0.2,0.2,,-1.47798244726812,-4.03848906083836,0.648368038655749,0.408741590593418,0.280311046871445,0,2818.58584517296,-1393.66798448083,313
-2.77777777777778,-1.44444444444444,-0.5,0.2,0.2,,-1.47798706386141,-4.03901478324973,0.64886074645245,0.408754101468254,0.280310624390411,0,2818.58584199305,-1393.66798289088,482
-2.77777777777778,-1.88888888888889,-1.125,0.2,0.2,,-1.47786242761445,-4.03835392222634,0.650609205437966,0.408728041739005,0.280332167673912,0,2818.58582274877,-1393.66797326874,372
-1.88888888888889,-4.11111111111111,-1.75,0.2,0.2,,-1.47794540190506,-4.03889149072777,0.651099034599677,0.408686104550938,0.280278548687537,0,2818.5858226611,-1393.6679732249,226
-1.22222222222222,-2.77777777777778,-1.125,0.2,0.2,,-1.47813264158005,-4.03758248237348,0.652139569274566,0.408669230797564,0.280405021387496,0,2818.58622417207,-1393.66817398039,359
-2.11111111111111,-1,-1.125,0.2,0.2,,-1.47764454914823,-4.03839485131499,0.65211951902902,0.40879551057792,0.280261280835352,0,2818.58587252799,-1393.66799815835,395
-1,-5,-1.125,0.2,0.2,,-1.47737359193315,-4.0389840027812,0.651142409250257,0.408694034570247,0.280351628544529,0,2818.58600665603,-1393.66806522237,310
-3,-1.44444444444444,-1.125,0.2,0.2,,-1.47936691341114,-4.04186229734592,0.646819774934003,0.408662079774092,0.280448102815514,0,2818.58667425668,-1393.66839902269,381
-1.44444444444444,-1.88888888888889,-1.125,0.2,0.2,,-1.47805779820123,-4.03835374819764,0.648458079502014,0.408694204519836,0.280303407091197,0,2818.58584724875,-1393.66798551872,378
-2.55555555555556,-1.88888888888889,-3,0.2,0.2,,-1.47791239709067,-4.03860743490237,0.651029184971999,0.408687197648431,0.280301748984761,0,2818.58581329411,-1393.66796854141,73
-1.44444444444444,-5,-1.125,0.2,0.2,,-1.47777179470604,-4.03821078370632,0.650190899574864,0.408699386075718,0.280299662880823,0,2818.58580414803,-1393.66796396837,308
-3,-1.88888888888889,-0.5,0.2,0.2,,-1.47764558214093,-4.03877133205476,0.650551629418067,0.408832753685125,0.280283113778651,0,2818.58592300549,-1393.66802339709,471
-1.22222222222222,-1.88888888888889,-0.5,0.2,0.2,,-1.47745183813656,-4.03797828834784,0.651188540988033,0.408672259931652,0.280226790047438,0,2818.58589767157,-1393.66801073014,479
-1.88888888888889,-3.22222222222222,-3,0.2,0.2,,-1.4778807356796,-4.03840170742887,0.650428859983062,0.40869931090394,0.280316904337205,0,2818.58581015207,-1393.66796697039,46
-1,-1.88888888888889,-2.375,0.2,0.2,,-1.55477691855061,-4.23491358998547,0.112635567567153,0.40972639915049,0.280154266082814,0,2821.1955236206,-1394.97282370465,180
-1.44444444444444,-2.77777777777778,-0.5,0.2,0.2,,-1.47516750707054,-4.03161161590334,0.663913374610671,0.40869278515506,0.280259236543795,0,2818.58796126945,-1393.66904252908,458
-2.77777777777778,-4.55555555555556,-3,0.2,0.2,,-1.47758876336017,-4.03774838357313,0.651074229710997,0.40874501166222,0.280289825397184,0,2818.58581938999,-1393.66797158935,12
-2.77777777777778,-4.11111111111111,-1.125,0.2,0.2,,-1.48325749330958,-4.05081031853905,0.626008894757483,0.408605723203613,0.280321803457591,0,2818.5934587706,-1393.67179127965,322
-1,-2.77777777777778,-1.75,0.2,0.2,,-1.47800704092052,-4.03865151521111,0.649364885792099,0.408694901672943,0.280253705828308,0,2818.58583529462,-1393.66797954166,260
