a_log,h_log,log_w,sigma,sigma2,error,a_log.est,h_log.est,log_w.est,sigma.est,sigma2.est,converge,BIC,logLik,strtpt
-1,-5,-7.5,0.2,0.2,,-1.55384762329836,-4.58869281582798,-6.44304995876239,0.420351530445172,0.280395759065548,0,2847.67888745146,-1408.21450562008,55
-3,-1,-7.5,0.2,0.2,,-1.55430648693302,-4.58805446684895,-6.44747008148778,0.420368535804766,0.280402156435821,0,2847.67888795338,-1408.21450587104,71
-2,-1,-7.5,0.2,0.2,,-1.55388276020338,-4.58747677738045,-6.44591657111025,0.420290207649706,0.280366571283774,0,2847.67874747929,-1408.214435634,73
-3,-2,-10,0.2,0.2,,-1.55426350045799,-4.58553865420786,-6.45547676842034,0.420188096515733,0.28017974653478,0,2847.68061256121,-1408.21536817495,16
-2,-3,-8.75,0.2,0.2,,-1.5536031034396,-4.58765201645756,-6.44552357231683,0.420202010086792,0.280353155685141,0,2847.67876663811,-1408.21444521341,38
-1,-3,-5,0.2,0.2,,-1.55384023303915,-4.5887473073423,-6.4441773997167,0.420005837423453,0.280330899798547,0,2847.67916722594,-1408.21464550732,115
-1.5,-3,-5,0.2,0.2,,-1.5536855074525,-4.58768218096336,-6.44532476278871,0.420288940690881,0.28033782228884,0,2847.67872461528,-1408.21442420199,114
-1,-3,-7.5,0.2,0.2,,-1.55384023303915,-4.5887473073423,-6.4441773997167,0.420005837423453,0.280330899798547,0,2847.67916722594,-1408.21464550732,65
-3,-3,-6.25,0.2,0.2,,-1.55360467216912,-4.58918529496557,-6.44341271501643,0.420225750152277,0.280326787507639,0,2847.67878555523,-1408.21445467197,86
-2.5,-2,-6.25,0.2,0.2,,-1.55375870210915,-4.58746360966977,-6.44710559489853,0.420301856694814,0.280319368266938,0,2847.67880083482,-1408.21446231176,92
-2,-4,-10,0.2,0.2,,-1.55419414751105,-4.58771646159083,-6.44737385894302,0.420321101926872,0.280319065596816,0,2847.67880728377,-1408.21446553623,8
-3,-4,-5,0.2,0.2,,-1.55406494383282,-4.58641080739234,-6.44880372545502,0.420345051601333,0.280343660664935,0,2847.67896309972,-1408.21454344421,106
-1.5,-3,-8.75,0.2,0.2,,-1.55390085353073,-4.58839051402931,-6.44446308644215,0.420221421545399,0.280340822427469,0,2847.67875961909,-1408.2144417039,39
-3,-2,-5,0.2,0.2,,-1.55348635525884,-4.58626588357935,-6.44644165956501,0.42030646059168,0.280336893211691,0,2847.67887555489,-1408.21449967179,116
-2.5,-4,-8.75,0.2,0.2,,-1.55628559894013,-4.58645396085487,-6.45283968841358,0.42062455146043,0.280385056950848,0,2847.68163211426,-1408.21587795148,32
-2,-4,-8.75,0.2,0.2,,-1.55419414751105,-4.58771646159083,-6.44737385894302,0.420321101926872,0.280319065596816,0,2847.67880728377,-1408.21446553623,33
-2,-4,-6.25,0.2,0.2,,-1.55419414751105,-4.58771646159083,-6.44737385894302,0.420321101926872,0.280319065596816,0,2847.67880728377,-1408.21446553623,83
-1,-4,-8.75,0.2,0.2,,-1.55397621555073,-4.58903165713215,-6.44496233556046,0.420235818731567,0.280360097577042,0,2847.67875141146,-1408.21443760008,35
-1.5,-5,-6.25,0.2,0.2,,-1.55503469992061,-4.59306433416685,-6.45033914155497,0.420393782415353,0.280585399645857,0,2847.68067888899,-1408.21540133885,79
-3,-3,-5,0.2,0.2,,-1.55363726959624,-4.58750313905404,-6.44418415809513,0.420324117469226,0.280324714542786,0,2847.6787693911,-1408.2144465899,111
-3,-4,-10,0.2,0.2,,-1.55406494383282,-4.58641080739234,-6.44880372545502,0.420345051601333,0.280343660664935,0,2847.67896309972,-1408.21454344421,6
-2,-3,-7.5,0.2,0.2,,-1.55313545820528,-4.58820790241812,-6.44002553358145,0.420269587607457,0.280419404486344,0,2847.67906915759,-1408.21459647315,63
-2,-5,-6.25,0.2,0.2,,-1.55419125695163,-4.58810507273601,-6.44560591766256,0.420282619394579,0.280387789955962,0,2847.67881630979,-1408.21447004925,78
-1.5,-4,-10,0.2,0.2,,-1.55491323032218,-4.59201556233952,-6.44587665627528,0.420061813219663,0.28039192533272,0,2847.67962793246,-1408.21487586058,9
-2.5,-1,-7.5,0.2,0.2,,-1.55420063640288,-4.58937364885247,-6.44706370539967,0.420327383249587,0.280474665929755,0,2847.67903074346,-1408.21457726608,72
-1,-1,-7.5,0.2,0.2,,-1.55380636543588,-4.58871523723227,-6.44525646632648,0.420201821333218,0.280320655269537,0,2847.67876023561,-1408.21444201215,75
