a_log,h_log,sigma,sigma2,error,a_log.est,h_log.est,sigma.est,sigma2.est,converge,BIC,logLik,strtpt
-1.44444444444444,-5,0.2,0.2,,-1.75646050595008,-4.51394864060128,0.428539063453439,0.280370061154059,0,2861.59638920033,-1418.29824411564,8
-1.88888888888889,-3.66666666666667,0.2,0.2,,-1.75716621821936,-4.51528189369941,0.428571090583387,0.280376610076668,0,2861.59656973454,-1418.29833438275,36
-2.77777777777778,-1.44444444444444,0.2,0.2,,-1.7565164539859,-4.51444356184834,0.428482334163365,0.28037533547334,0,2861.59636184143,-1418.29823043619,82
-3,-3.22222222222222,0.2,0.2,,-1.7557523622673,-4.51663584489528,0.428558235803863,0.280309854403974,0,2861.59717696195,-1418.29863799646,41
-1.44444444444444,-2.77777777777778,0.2,0.2,,-1.75673084967606,-4.51486737829543,0.428447075388139,0.280391272967498,0,2861.59638556552,-1418.29824229824,58
-3,-1.44444444444444,0.2,0.2,,-1.75675919428737,-4.51534062459046,0.42852606214696,0.280386777018662,0,2861.59639557371,-1418.29824730233,81
-2.11111111111111,-2.33333333333333,0.2,0.2,,-1.75604042810331,-4.51515766335724,0.428445557241027,0.280449721041149,0,2861.5966218611,-1418.29836044603,65
-2.55555555555556,-2.77777777777778,0.2,0.2,,-1.7568495787949,-4.51510695118177,0.428467291538855,0.280464669191955,0,2861.59649531748,-1418.29829717422,53
-2.77777777777778,-4.11111111111111,0.2,0.2,,-1.75624400627196,-4.51184851187076,0.428492442256843,0.280439520497495,0,2861.59661615153,-1418.29835759125,22
-1.88888888888889,-4.55555555555556,0.2,0.2,,-1.75670972277753,-4.51564725520679,0.428480484185919,0.280406888886403,0,2861.59640371952,-1418.29825137524,16
-1,-3.66666666666667,0.2,0.2,,-1.75666451864954,-4.51496978518304,0.428529245131978,0.280362740198689,0,2861.59638353386,-1418.29824128241,40
-1.44444444444444,-3.66666666666667,0.2,0.2,,-1.75662695750557,-4.51464894366882,0.428506848313038,0.28041778107734,0,2861.59638550062,-1418.29824226579,38
-1,-1.44444444444444,0.2,0.2,,-1.75643227378661,-4.51464352088153,0.428474180396754,0.280401734509546,0,2861.59637557219,-1418.29823730158,90
-1.66666666666667,-1.44444444444444,0.2,0.2,,-1.75479056629058,-4.5075508116196,0.428587609381282,0.280235498254101,0,2861.59845009404,-1418.2992745625,87
-3,-4.55555555555556,0.2,0.2,,-1.7554376007907,-4.51000522356766,0.428653511349915,0.280626277645397,0,2861.59804477323,-1418.29907190209,11
