a_log,h_log,h12,log_w,sigma,sigma2,error,a_log.est,h_log.est,h12.est,log_w.est,sigma.est,sigma2.est,converge,BIC,logLik,strtpt
-2,-2,-0.00035,-6.25,0.2,0.2,,-2.48059674644232,-1.28700696338631,-0.000577818694983706,-9.98278512062482,0.578046368344253,0.27513142442323,0,3153.87787567012,-1558.18901210828,418
-1,-3,-0.00035,-6.25,0.2,0.2,,-1.73744036758017,-4.68483615792951,1.79853669884977e-05,-9.85703776697386,0.427056556742867,0.280336339551386,0,2871.0516455726,-1416.77589705952,415
-2,-2,1e-04,-7.5,0.2,0.2,,-4.11004756587754,0.189445556557536,-3.64636032046753,-9.61746132401197,0.639652864608849,0.284427822365785,0,3292.26979093435,-1627.3849697404,368
-2.5,-4,-5e-04,-10,0.2,0.2,,,,,,,,,,,7
-2.5,-1,-2e-04,-10,0.2,0.2,,-2.39387557686241,-0.224550808619371,-0.908090006443265,-10.6160018280573,0.63483772479803,0.280675556502048,0,3281.44430565726,-1621.97222710185,72
-1,-5,1e-04,-5,0.2,0.2,,-1.70109265013502,-4.52557095378755,-8.64080522114595e-07,-7.37901987324611,0.418482424827918,0.27643607857256,0,2860.58150433584,-1411.54082644114,605
-1,-1,-5e-05,-7.5,0.2,0.2,,-1.63762143208354,-1.41029616373857,-0.00114371764504826,-8.45080513141632,0.569612429742913,0.279477883480582,0,3140.27031403782,-1551.38523129213,350
-3,-5,-5e-04,-5,0.2,0.2,,-3.86463879392137,-3.19404680272301,-0.797265334480808,-9.7580058111291,0.639298318974284,0.280312950983809,0,3289.4262326895,-1625.96319061797,501
-1,-5,1e-04,-10,0.2,0.2,,-1.70109265013502,-4.52557095378755,-8.64080522114595e-07,-7.37901987324611,0.418482424827918,0.27643607857256,0,2860.58150433584,-1411.54082644114,105
-1.5,-5,-5e-05,-6.25,0.2,0.2,,-1.68775128597708,-4.41519873296082,1.17537563085622e-05,-9.67410346987748,0.429667432125895,0.286760714611625,0,2872.98189007797,-1417.74101931221,454
-2,-1,-5e-04,-5,0.2,0.2,,-2.14437522028801,1.04676909350354,-2.87533838376613,-11.7625163691285,0.632079723728123,0.280238743364679,0,3276.16878683696,-1619.3344676917,523
-2,-1,-0.00035,-10,0.2,0.2,,-2.14350630884291,1.01048583918869,-2.77388020817421,-7.72187153387561,0.63213258423779,0.280193735159821,0,3276.1743122885,-1619.33723041747,48
-3,-1,1e-04,-6.25,0.2,0.2,,-3.09980689877869,-0.797084656792435,-0.561307834347111,-11.5476114416292,0.635567573801185,0.279619134484913,0,3282.89069067641,-1622.69541961143,496
-3,-5,-5e-05,-5,0.2,0.2,,-3.84826028442863,-1.37031110581987,-1.88386379862934,-21.6970883545949,0.642482935804933,0.280856570224243,0,3292.93369507003,-1627.71692180824,576
-2,-5,1e-04,-7.5,0.2,0.2,,-4.21625209697019,-3.01707774940003,-2.76784867860881,-5.81277709111517,0.645860383192247,0.278458225675053,0,3290.1197322536,-1626.30994040002,353
-2.5,-5,-5e-05,-7.5,0.2,0.2,,-1.84717124690498,-8.71472083738111,8.64243782129323e-05,-10.6512861181048,0.440352769635627,0.28189458293542,0,2902.29291222686,-1432.39653038665,327
-1.5,-1,-0.00035,-8.75,0.2,0.2,,-2.44956600453103,-0.419955112056018,-0.00134284066833499,-9.21620051882074,0.615338352298285,0.28120921467328,0,3204.36932070323,-1583.43473462483,174
-1,-3,-5e-05,-8.75,0.2,0.2,,-1.32992503812853,-2.9485183823729,-3.4510809040606e-05,-9.10341630080119,0.469339627702346,0.276102679459684,0,2977.21148193537,-1469.8558152409,215
-3,-3,-5e-04,-7.5,0.2,0.2,,-4.74517775444468,-1.19532711850569,-4.61160427776439,-18.2266288261424,0.640682898911674,0.280129246346896,0,3290.50132526154,-1626.50073690399,261
-2,-2,-5e-05,-6.25,0.2,0.2,,-3.80954158465508,-0.0907773316995469,-2.71813343353143,-9.7205752661216,0.640050647055095,0.279868798666477,0,3293.02524330087,-1627.76269592366,468
-1.5,-2,-0.00035,-8.75,0.2,0.2,,-2.08901577261222,-1.59320054196387,-0.000418189173744264,-9.08453337695764,0.580370828712154,0.288542910065625,0,3111.66968703932,-1537.08491779288,169
-1.5,-2,-5e-04,-10,0.2,0.2,,-2.03891209608637,-2.78263091795538,-0.000125755009894211,-8.65756030060293,0.451111272597661,0.260286417330827,0,3003.92748318133,-1483.21381586389,19
-1,-2,-2e-04,-6.25,0.2,0.2,,-1.58213396605337,-2.25181344576194,-0.000187238728935626,-9.03605561813847,0.481006455080992,0.265959595234476,0,3022.74887120426,-1492.62450987535,445
-3,-4,-0.00035,-5,0.2,0.2,,-5.64791047470075,-4.2887278735067,-11.3621937652224,-9.46298248107825,0.639735668477214,0.281156566467299,0,3287.93591033734,-1625.21802944189,531
-2.5,-4,1e-04,-10,0.2,0.2,,-4.31310492637764,-4.85570916843851,-2.99521542763807,-8.09816692082676,0.642062082890975,0.281031361423095,0,3289.78398740889,-1626.14206797767,107
-2.5,-3,-2e-04,-6.25,0.2,0.2,,-4.41889906170037,-4.15988937724747,-3.34679724828322,-5.6788616296833,0.640783231279781,0.279922012498369,0,3289.53061750145,-1626.01538302395,437
-1.5,-5,-2e-04,-6.25,0.2,0.2,,-1.7469033256269,-4.75800604281544,2.01699318441028e-05,-10.0958603561394,0.427766030766016,0.280266792237015,0,2871.42921287941,-1416.96468071293,429
-2.5,-4,-5e-05,-7.5,0.2,0.2,,-4.79249795305487,-6.37062235983362,-4.83724000676616,-6.01485531910055,0.641903722340764,0.280179404047194,0,3288.82377312655,-1625.6619608365,332
-2.5,-5,1e-04,-5,0.2,0.2,,-4.44876108911821,-8.79305400972075,-3.4016403846573,-5.66720976588376,0.639911030099992,0.279529079382059,0,3290.2577780816,-1626.37896331402,602
-2.5,-4,-2e-04,-8.75,0.2,0.2,,-1.60755866685316,-3.76648251733087,-2.01519527690183e-05,-8.24268444561247,0.440695037854925,0.285792141810267,0,2883.7207989046,-1423.11047372552,182
-2.5,-1,-2e-04,-8.75,0.2,0.2,,-2.39387557686241,-0.224550808619371,-0.908090006443265,-10.6160018280573,0.63483772479803,0.280675556502048,0,3281.44430565726,-1621.97222710185,197
-2,-3,-5e-04,-5,0.2,0.2,,-1.72241458358197,-4.81547413936616,1.7637789655441e-05,-8.11845376062123,0.424948403432477,0.279741796866294,0,2865.92431420085,-1414.21223137365,513
-1.5,-5,-0.00035,-6.25,0.2,0.2,,-1.74640919868216,-4.75716234909935,2.0324139535658e-05,-10.1006829099248,0.427719897944491,0.280466044382532,0,2871.43138857851,-1416.96576856248,404
-2.5,-5,-0.00035,-7.5,0.2,0.2,,-1.73832955293981,-4.66362065711839,1.72791794644385e-05,-10.100721983967,0.427453523047806,0.280482070182606,0,2871.36999293198,-1416.93507073921,277
-2,-3,-2e-04,-8.75,0.2,0.2,,-1.71128562600495,-4.62431225706329,1.43680331269902e-05,-8.64696441745794,0.42573035298507,0.281075437040185,0,2867.94995905298,-1415.22505379971,188
