a_log,a12,h_log,kr_log,sigma,sigma2,error,a_log.est,a12.est,h_log.est,kr_log.est,sigma.est,sigma2.est,converge,BIC,logLik,strtpt
-1,-2e-04,-2,-1.125,0.2,0.2,,-1.26770754271866,-0.000333879712536022,-3.9693042312177,0.549867747293617,0.398668597666593,0.28025969627482,0,2798.8812602152,-1380.69070438082,465
-1,-5e-05,-2,-1.125,0.2,0.2,,-1.35199858752578,-0.000298708957464054,-4.11517898266877,-0.0333500871871078,0.399544514522285,0.280602742229335,0,2801.83805009579,-1382.16909932112,470
-2.5,1e-04,-1,-1.125,0.2,0.2,,-1.52636343761404,-0.000260091195853416,-4.36796855673372,-4.31756124425714,0.41719536406941,0.281428169676214,0,2846.23740706983,-1404.36877780814,497
-1.5,-5e-05,-3,-3,0.2,0.2,,-1.26782479645919,-0.000334106418243262,-3.97078550625209,0.54811590334025,0.39860497121496,0.280343032630045,0,2798.8812743211,-1380.69071143377,69
-3,-2e-04,-5,-1.75,0.2,0.2,,-1.26870186934692,-0.000333696078237644,-3.97179714177014,0.546007597710744,0.398721242743179,0.280343682941874,0,2798.88140249302,-1380.69077551973,261
-1,-5e-05,-5,-1.75,0.2,0.2,,-1.26848505502779,-0.000333861785984381,-3.97224953508249,0.548058536780892,0.398695736961657,0.280300725850075,0,2798.88123670506,-1380.69069262575,270
-1.5,-2e-04,-2,-3,0.2,0.2,,-1.26805406708703,-0.000333990917732269,-3.97103984889264,0.549594166566623,0.398627538999272,0.280300173997106,0,2798.88112788081,-1380.69063821363,89
-1.5,1e-04,-2,-1.125,0.2,0.2,,-1.26787595209387,-0.000334121713112126,-3.97106877424729,0.550588477158119,0.398627674759482,0.280279214830442,0,2798.8811250745,-1380.69063681047,474
-3,-2e-04,-3,-3,0.2,0.2,,-3.16569980194146,0.000428468592430278,-4.38577369950859,-0.641120950170434,0.513161433005306,0.28039628186306,0,3060.6797115778,-1511.58993006212,61
-2,-0.00035,-1,-2.375,0.2,0.2,,-1.5218098013087,-0.000261651875917577,-4.37740371075324,-3.79553724237491,0.416628863522344,0.28032379528432,0,2844.81918331415,-1403.6596659303,233
-1.5,-5e-05,-2,-2.375,0.2,0.2,,-1.2777162500478,-0.00033265052846547,-3.99010564479561,0.528603033129138,0.39919147368816,0.278125956882308,0,2798.97476980546,-1380.73745917595,219
-2.5,-2e-04,-5,-0.5,0.2,0.2,,-1.26820200839822,-0.000333582563004775,-3.97112700607863,0.552895748542717,0.398773247533605,0.280358255444359,0,2798.88142244654,-1380.69078549649,512
-1.5,-2e-04,-3,-0.5,0.2,0.2,,-1.26798296649443,-0.000334026337679998,-3.97108046482934,0.549744955026129,0.398665739123916,0.280232982745778,0,2798.88114473235,-1380.6906466394,564
-2,-0.00035,-4,-3,0.2,0.2,,-1.2662241315197,-0.000334871116253996,-3.96749013898451,0.557849047721927,0.398550272793497,0.280244133587427,0,2798.88190978401,-1380.69102916523,33
-1.5,-5e-05,-5,-1.75,0.2,0.2,,-1.26829742241038,-0.000333648714714273,-3.9709537418146,0.548145671742645,0.398652953333815,0.280269067462725,0,2798.8811628646,-1380.69065570552,269
-1,1e-04,-5,-0.5,0.2,0.2,,-1.26822245017999,-0.000332251751393602,-3.96831428175343,0.551146699269281,0.398499739160055,0.280351280555689,0,2798.88268328197,-1380.69141591421,525
-3,-2e-04,-5,-0.5,0.2,0.2,,-1.26791950956802,-0.00033392596543882,-3.97131616393568,0.549842076802675,0.398611843540163,0.280321842552779,0,2798.88117648312,-1380.69066251478,511
-3,-5e-04,-2,-0.5,0.2,0.2,function cannot be evaluated at initial parameters,,,,,,,,,,576
-1,-5e-04,-1,-1.125,0.2,0.2,,-0.738846520091675,-0.000998108756046592,-2.58159712871447,-1.2082763191566,0.447973303250611,0.279026951251311,0,2960.74537921705,-1461.62276388175,480
-3,-0.00035,-1,-1.75,0.2,0.2,function cannot be evaluated at initial parameters,,,,,,,,,,356
-2,-5e-04,-2,-0.5,0.2,0.2,function cannot be evaluated at initial parameters,,,,,,,,,,578
-3,-5e-05,-5,-0.5,0.2,0.2,,-1.26825096849041,-0.000334026634312912,-3.97165186874481,0.547835492117599,0.398625117795142,0.280267451211214,0,2798.88118797433,-1380.69066826039,516
