"","a_log","a12","h12","h_log","kr_log","r1_log","r2_log","alpha11","alpha22","alpha12","alpha21","c_log","sigma","sigma2","strtpt","error","a_log.est","a12.est","h_log.est","h12.est","kr_log.est","r1_log.est","r2_log.est","alpha11.est","alpha12.est","alpha22.est","alpha21.est","c_log.est","sigma.est","sigma2.est","converge","BIC","logLik"
"53","-2.5","-0.00035","-0.00035","-2","-0.5","-0.5","-1","5e-04","0.001","0.001","0.001","-10","0.2","0.2","3393532","NaN","-2.24749037295406","0.0605954079688085","-2.0046867828198","0.606873550474688","-1.62299843843056","-1.92747254186354","-1.64935068757992","0.0019476008617241","0.00238572441466077","0.0024637337456167","0.000857886943671122","-8.24940211417821","0.246553754141033","0.241509188798387","0","1969.36085739807","-940.717657826311"
"54","-1.5","-5e-05","-5e-04","-4","-1.75","-0.5","-3","0.005","0.001","0.001","0.001","-15","0.2","0.2","1160769","NaN","-1.50410354995616","-0.138936600860897","-3.92763419462714","0.659587161275518","-1.55050122576474","-1.93828542612748","-1.6618778497202","0.00196711774978679","0.00241425834109526","0.00247837099980119","0.000852427513622651","-14.5490656988525","0.245953891915134","0.240685768471668","0","1969.74745703782","-940.91095764619"
"55","-1.5","-0.00035","-5e-05","-4","-1.75","-1","-3","0.001","0.001","0.005","0.001","-5","0.2","0.2","5938959","NaN","NaN","NaN","NaN","NA","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"56","-1","-2e-04","-5e-04","-2","-2.375","-2","-1","0.005","0.001","0.005","0.001","-5","0.2","0.2","5972890","NaN","-0.349597911107978","0.00144844778742226","-3.39298008908394","0.600806333465152","-2.21198345286559","-1.91463390105406","-1.66064226685126","0.0019489564057378","0.00237394981579891","0.00245859725627219","0.000856242780916926","-4.49847501027483","0.245822874092809","0.241293653611595","0","1968.35484059502","-940.214649424788"
"57","-2.5","-0.00035","1e-04","-4","-1.125","-0.5","-1","0.001","0.005","5e-04","5e-04","-5","0.2","0.2","4770857","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"58","-2","-0.00035","1e-04","-2","-1.75","-2","-1","0.001","0.001","0.001","5e-04","-15","0.2","0.2","376733","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"59","-2","-5e-05","1e-04","-5","-1.75","-0.5","-1","0.005","0.001","0.005","5e-04","-10","0.2","0.2","2941993","NaN","-1.06951075445753","0.00785718190332202","-4.12507191873923","0.579492189383755","-1.81629341274132","-1.90950447460065","-1.654936129583","0.00194299868157254","0.00239014101161092","0.00246069301748688","0.00087008219213659","-9.25015578447854","0.246111419815267","0.241544625279197","0","1968.21740253224","-940.1459303934"
"60","-1","-2e-04","-0.00035","-2","-2.375","-2","-3","0.001","5e-04","5e-04","0.005","-10","0.2","0.2","3826040","NaN","0.0919530940343913","0.793742233034068","-10.4845343370411","3.78677329917","-5.38002975060348","-2.04123292381487","-1.67206528565358","0.00198712682586886","0.00243251221471477","0.00246191474564745","0.000844284114262852","-4.971319908882","0.24787166058854","0.241321560208017","0","1977.03982077699","-944.557139515772"
"61","-2","1e-04","-5e-04","-4","-2.375","-1","-0.5","0.001","5e-04","0.005","0.001","-15","0.2","0.2","1316398","NaN","NaN","NaN","NaN","NA","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"62","-1","-2e-04","1e-04","-5","-3","-2","-0.5","5e-04","5e-04","0.001","0.005","-15","0.2","0.2","1790740","NaN","-1.02486613015441","-0.0101884298627905","-4.85409039850339","0.305982600174663","-2.90967928431446","-2.12403988152746","-0.386923851594777","0.00314808334758414","0.000945273221001102","0.00295970887820463","0.00103589555876852","-14.8925949114245","0.670532553238423","0.493635711028043","0","3112.60586142585","-1512.3401598402"
"63","-3","-5e-05","-0.00035","-3","-1.125","-1","-1","0.001","5e-04","0.005","5e-04","-10","0.2","0.2","2827166","NaN","NaN","NaN","NaN","NA","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"64","-2.5","-5e-04","1e-04","-4","-1.75","-0.5","-1","5e-04","0.001","0.001","5e-04","-10","0.2","0.2","2632727","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"65","-2.5","-2e-04","-5e-04","-2","-3","-2","-1","0.001","5e-04","5e-04","0.001","-5","0.2","0.2","5353512","NaN","NaN","NaN","NaN","NA","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"66","-1","-5e-04","1e-04","-4","-0.5","-1","-0.5","5e-04","0.005","5e-04","0.001","-5","0.2","0.2","5508980","NaN","-0.250984954739978","0.0449294555707714","-2.77971673396983","0.646629856002708","0.257856829188311","-1.91775969407366","-1.6585008323763","0.00195179368528111","0.00237464725033923","0.0024582424210343","0.000853226558294068","-5.59598367012167","0.245937308633887","0.241289076323889","0","1968.76069477597","-940.417576515262"
"67","-3","1e-04","1e-04","-1","-1.125","-1","-0.5","0.001","0.001","0.005","5e-04","-5","0.2","0.2","5199371","NaN","-1.2425224484973","0.0152463345576414","-1.14909719885764","0.584285246565833","-2.7721126100587","-1.93587020873914","-1.66086471513568","0.00196167035443966","0.00235979312636875","0.00246803197807952","0.000850425383154661","-3.48143706755244","0.246226741569031","0.241268307255172","0","1969.28305303804","-940.6787556463"
"68","-1","-2e-04","-5e-05","-2","-0.5","-1","-0.5","0.001","0.001","0.005","0.001","-10","0.2","0.2","3681090","NaN","-0.55236058194587","0.319893617455161","-0.50084789655275","1.06055886470805","4.10546346309927","-1.97737675530231","-1.65869875784871","0.00196798140963097","0.00238047693554402","0.00243985231199891","0.000859333512734534","-8.09986125420428","0.246863346061017","0.241181395522062","0","1972.4056730498","-942.24006565218"
"69","-2","1e-04","-5e-04","-4","-2.375","-0.5","-1","5e-04","0.001","0.001","5e-04","-10","0.2","0.2","2632023","NaN","0.333985681793638","0.080091328011458","-3.50466563666019","0.667717739682786","-2.45489456269444","-1.92096617710569","-1.66046662927033","0.00195040269830206","0.00237797937994625","0.00246744556958862","0.000851404447261573","-10.2240701902639","0.245959107860205","0.241280728495962","0","1969.04251921523","-940.558488734895"
"70","-1","-0.00035","-0.00035","-3","-0.5","-1","-0.5","5e-04","0.005","5e-04","0.005","-5","0.2","0.2","6268410","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
