"","a_log","h_log","log_w","r1_log","r2_log","alpha11","alpha22","alpha12","alpha21","c_log","sigma","sigma2","strtpt","error","a_log.est","h_log.est","log_w.est","r1_log.est","r2_log.est","alpha11.est","alpha12.est","alpha22.est","alpha21.est","c_log.est","sigma.est","sigma2.est","converge","BIC","logLik"
"21","-2.5","-4","-6.25","-2","-0.5","0.005","0.001","0.001","0.005","-10","0.2","0.2","168457","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"22","-2","-1","-5","-2","-0.5","0.001","5e-04","0.001","5e-04","-15","0.2","0.2","12123","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"23","-1","-4","-8.75","-0.5","-3","5e-04","0.005","5e-04","5e-04","-5","0.2","0.2","189285","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"24","-2.5","-2","-8.75","-1","-3","5e-04","0.005","0.005","0.005","-10","0.2","0.2","179042","NaN","-2.8268809929152","-7.10150741180848","-6.30208171378447","-1.33702427045531","-1.63899936275593","0.000943830825380446","0.00137983408592439","0.00244969403026607","0.000885533182372504","-12.656523883666","0.218275567897859","0.240587584131532","0","1824.83353421841","-874.734392075443"
"25","-1","-3","-5","-2","-3","0.001","5e-04","0.001","0.001","-15","0.2","0.2","41740","NaN","-2.10626717549191","3.14323201283132","-19.5606140842271","-1.98274014943126","-4.64700314114766","0.00204912366667391","0.00206217473196436","0.00235508868050733","-0.00947432412855488","-15.8070566944486","0.247563737641574","0.264462940157181","0","2065.0629680449","-994.84910898869"
"26","-3","-1","-6.25","-1","-3","0.005","0.001","0.001","0.005","-5","0.2","0.2","258971","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"27","-1.5","-4","-5","-2","-0.5","0.001","5e-04","5e-04","0.005","-10","0.2","0.2","153859","NaN","-2.87693362335342","-3.5145718990845","-7.07152740916629","-1.60940101643989","-1.74020362814246","0.00122729600988606","0.000850990284087014","0.00250834757713471","0.000798944460720261","-10.073266569707","0.218699199844507","0.242538026176395","0","1837.7278999651","-881.181574948788"
"28","-1","-5","-5","-1","-0.5","0.005","0.005","5e-04","0.005","-15","0.2","0.2","70730","NaN","-2.7020876335909","-5.85375782371228","-6.04425233805109","-1.23589203967902","-1.69547167726926","0.000933245938535526","0.00150704270292203","0.0024442218099167","0.000831448255415401","-13.3282459068401","0.216742067553604","0.241495861982323","0","1819.05760292433","-871.846426428405"
"29","-1","-3","-7.5","-1","-0.5","5e-04","0.001","0.005","0.001","-5","0.2","0.2","237190","NaN","-2.66717549091026","-1.88490462303372","-12.3635441653161","-1.34284277269876","-1.62861006585664","0.0017593867735471","0.000987879504582636","0.00252977614395446","0.000839601436761256","-4.37575308639001","0.22385780314302","0.240171209929238","0","1860.42338137171","-892.529315652096"
"30","-1","-4","-8.75","-2","-1","5e-04","5e-04","5e-04","5e-04","-5","0.2","0.2","182660","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"31","-1","-4","-7.5","-1","-1","0.005","5e-04","5e-04","0.005","-15","0.2","0.2","63560","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"32","-2","-3","-7.5","-2","-3","0.005","5e-04","0.001","0.001","-5","0.2","0.2","225063","NaN","-2.59596646153577","-4.30869465349775","-6.62775227382609","-1.14404563624447","-1.64364817693751","0.00111419866310622","0.00128035453776144","0.00241897173755678","0.000908515611232276","-6.31635847428043","0.215267750109784","0.237533555924556","0","1815.55112959894","-870.093189765709"
"33","-2.5","-1","-10","-0.5","-1","0.001","0.001","0.001","0.001","-10","0.2","0.2","136772","NaN","-2.54690739969541","-1.98021039756926","-6.13913044572967","-1.60351029017368","-1.50021041419732","0.0018632464252442","0.00046554326958419","0.0022366567269084","0.00129151314514841","-13.1714295876075","0.225866831286771","0.240108619055719","0","1871.38008851192","-898.007669222196"
"34","-3","-4","-10","-1","-3","0.005","0.001","0.005","0.001","-5","0.2","0.2","238631","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"35","-1.5","-4","-8.75","-1","-3","5e-04","5e-04","0.001","5e-04","-15","0.2","0.2","10284","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"36","-2.5","-3","-8.75","-1","-1","5e-04","0.005","0.005","0.001","-15","0.2","0.2","57912","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"37","-1.5","-2","-5","-1","-0.5","0.001","5e-04","5e-04","0.001","-10","0.2","0.2","123619","NaN","-2.58556802926093","-1.46228314341842","-7.68946270143372","-1.77613277284873","-1.59436671988828","0.00194234747204852","1.22849666519181e-05","0.00271980718965939","0.000915452120645713","-5.80098661103679","0.238557156371045","0.240251424451886","0","1895.62128451836","-910.128267225418"
"38","-2.5","-3","-5","-1","-0.5","5e-04","5e-04","0.001","5e-04","-15","0.2","0.2","11112","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"39","-3","-1","-5","-2","-3","0.005","0.001","5e-04","5e-04","-10","0.2","0.2","96871","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
