"","a_log","h_log","log_w","r1_log","r2_log","alpha11","alpha22","alpha12","alpha21","c_log","sigma","sigma2","strtpt","error","a_log.est","h_log.est","log_w.est","r1_log.est","r2_log.est","alpha11.est","alpha12.est","alpha22.est","alpha21.est","c_log.est","sigma.est","sigma2.est","converge","BIC","logLik"
"41","-1.5","-1","-5","-1","-0.5","0.001","0.005","0.005","5e-04","-10","0.2","0.2","120249","NaN","-2.33626509524878","-3.37456677403172","-5.44767983695138","-1.14000892034972","-6.99631883157377","0.00129020221853219","0.00148413661303984","0.000834890877234474","-0.00157761138793809","-9.10319588793","0.212580099487061","0.271382077325272","0","1925.9260090554","-925.280629493941"
"42","-1.5","-5","-8.75","-2","-1","0.001","5e-04","0.001","5e-04","-15","0.2","0.2","11654","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"43","-1.5","-4","-5","-1","-1","0.005","0.005","0.001","5e-04","-15","0.2","0.2","19734","NaN","-2.47315254001596","-2.93001834212244","-9.18815828366168","-1.09780108019191","-1.11236561198224","0.0016683380111543","0.0006265728833977","0.00218280557908555","0.00152495569094777","-14.4816180474929","0.220809805256385","0.256641955202075","0","1904.39307599193","-914.514162962204"
"44","-2.5","-2","-7.5","-0.5","-1","0.005","0.005","0.001","5e-04","-15","0.2","0.2","19817","NaN","-2.7534562101738","-3.56062265941627","-10.5342558362695","-1.25778510826398","-1.65096004365836","0.0013301423957278","0.000854480743466876","0.00246005713916693","0.000864361057894447","-10.6678071422954","0.217695424672188","0.241552633344991","0","1825.25495190932","-874.9451009209"
"45","-1","-3","-7.5","-0.5","-0.5","0.005","0.001","5e-04","5e-04","-10","0.2","0.2","97815","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"46","-2.5","-5","-7.5","-0.5","-3","0.005","5e-04","0.005","0.005","-5","0.2","0.2","265802","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"47","-2","-3","-10","-1","-0.5","5e-04","0.005","0.001","0.001","-15","0.2","0.2","48138","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"48","-2","-1","-8.75","-0.5","-3","5e-04","0.005","0.001","5e-04","-15","0.2","0.2","17173","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"49","-2","-4","-5","-2","-3","0.001","0.005","0.001","5e-04","-5","0.2","0.2","200358","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"50","-2","-1","-7.5","-2","-1","0.001","0.001","5e-04","5e-04","-5","0.2","0.2","187198","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"51","-1","-3","-6.25","-2","-0.5","0.005","0.001","0.001","5e-04","-15","0.2","0.2","16590","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"52","-1.5","-3","-10","-0.5","-1","0.005","0.005","0.001","0.005","-10","0.2","0.2","171639","NaN","-3.64813164842009","6.31050227073862","-11.971931910944","-2.08246329554633","-1.65397109597042","0.00201637104297762","0.0023962361600624","0.0024672710227589","0.000866589504707268","-12.2956919799033","0.248868662281137","0.241200024397151","0","1967.4457221972","-946.04048606484"
"53","-1","-2","-5","-0.5","-1","5e-04","5e-04","5e-04","0.005","-5","0.2","0.2","243745","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"54","-3","-4","-6.25","-2","-1","0.005","0.001","5e-04","5e-04","-10","0.2","0.2","97206","NaN","-2.58976952187247","-3.47609094129192","-6.80870659778457","-1.20064467862359","-1.71021878441473","0.00128715767472","0.00116389980782654","0.00282091611326542","0.000755589206884976","-10.4665872999695","0.213040594597266","0.241849220503725","0","1813.05414443089","-868.844697181685"
"55","-1.5","-1","-8.75","-2","-1","0.005","0.005","0.001","0.001","-15","0.2","0.2","49924","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"56","-1","-4","-6.25","-1","-1","0.001","0.005","0.001","0.005","-15","0.2","0.2","79335","NaN","-2.72757168367101","-3.36872772340209","-13.2025082314442","-1.2569713714644","-5.98330786219934","0.00139049507898993","0.000830534944498409","0.0251481294353563","-0.00253647347314702","-22.3509740673011","0.217720013494193","0.271092974041667","0","1950.80448460583","-937.719867269153"
"57","-2.5","-4","-10","-0.5","-1","5e-04","0.005","0.005","0.001","-10","0.2","0.2","149132","NaN","-2.72594337309364","-6.33049980831062","-5.96833046535882","-1.24089585625334","-4.18731142290697","0.00090953166882085","0.00157902270913053","0.0159259422436425","-0.00889895342193015","-12.6033579932532","0.216818186023515","0.266709595945346","0","1928.62276847078","-926.629009201628"
"58","-3","-5","-7.5","-2","-3","0.001","0.001","0.001","0.001","-10","0.2","0.2","136176","NaN","-2.84881945351787","-4.06335052562798","-7.53648023115016","-1.30043571801082","-1.63665813657644","0.00114913645511601","0.00116990339945238","0.00243251049674887","0.000953945477740834","-6.77420899840302","0.217944984565028","0.240456108277566","0","1822.34442767317","-873.489838802825"
"59","-2","-3","-10","-2","-3","5e-04","0.005","0.005","0.005","-10","0.2","0.2","178888","NaN","-2.5524306998213","-2.53585704706441","-6.07738411848238","-1.28869588575949","-2.38254897425941","0.00147811218295246","0.00141313793552492","0.00243613447924076","-5.70956572662871e-05","-6.4006131003313","0.212795439604819","0.245100775591931","0","1850.75965480063","-887.697452366553"
"60","-1","-2","-6.25","-2","-0.5","0.001","5e-04","0.001","0.001","-10","0.2","0.2","133595","NaN","-2.56398136426401","-2.09362926073253","-6.70087799585862","-1.26215117892956","-1.51635710885942","0.00166397378555725","0.00133606416621884","0.00267800388000884","0.000752056963259215","-8.86893014196566","0.219364125566835","0.23968403470244","0","1841.85067251957","-883.242961226022"
"61","-1.5","-1","-6.25","-2","-1","0.005","0.005","0.005","0.005","-10","0.2","0.2","181599","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"62","-1","-1","-8.75","-0.5","-0.5","5e-04","5e-04","0.005","5e-04","-5","0.2","0.2","203550","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"63","-1","-3","-8.75","-0.5","-1","5e-04","5e-04","0.001","5e-04","-10","0.2","0.2","101915","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"64","-2","-2","-6.25","-1","-1","5e-04","0.005","5e-04","5e-04","-5","0.2","0.2","189593","NaN","-1.81022061925444","-1.62744782929456","-3.9283591413664","-1.45493013586972","-1.58812692385064","0.00152485253832821","0.00168846307477104","0.00290084355984245","0.00087603778817551","-7.11050392906775","0.227620765758555","0.243628150138675","0","1858.35375433107","-891.494502131774"
"65","-1.5","-5","-10","-0.5","-0.5","5e-04","5e-04","5e-04","0.001","-15","0.2","0.2","31379","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"66","-3","-5","-5","-2","-1","0.005","0.005","0.005","0.005","-15","0.2","0.2","90476","NaN","-3.00894529756866","-3.99550204598669","-6.13799793298255","-1.41072908114747","-1.60226284762232","0.00115328363753238","0.00163967395164737","0.00301810837148693","0.000792224570395942","-15.2104565353921","0.218228237210076","0.243378119736203","0","1833.41678987815","-879.026019905313"
"67","-2","-3","-6.25","-1","-1","0.005","5e-04","0.001","0.005","-5","0.2","0.2","255963","NaN","-2.50052533304618","-4.429372539952","-5.98945534885575","-1.09674411255152","-1.48428417835941","0.0010330270673294","0.00136540502900223","0.00239394940995821","0.00098992463020493","-5.24694967994902","0.214873356209759","0.243642208108923","0","1830.21780932073","-877.426529626603"
"68","-2.5","-2","-10","-2","-0.5","5e-04","0.001","0.005","0.001","-5","0.2","0.2","237017","NaN","-2.62684757303701","-2.47783683491731","-8.27020191993171","-1.22409913890397","-1.50317707149498","0.00159366922201862","0.00105101084515435","0.00249366930051138","0.000941307976688652","-4.05806671879867","0.219911645092664","0.243130138094297","0","1856.37944213675","-890.507346034613"
"69","-1","-5","-10","-2","-3","5e-04","5e-04","5e-04","0.005","-15","0.2","0.2","60755","NaN","-2.545755716031","-3.83721553265166","-5.6342678162739","-1.25077480480709","-8.62374237668892","0.00117121546482567","0.00146700324254286","-0.154979454939354","0.112371344890383","-21.9223668264198","0.213938558303008","0.272710432268585","0","1934.93905610879","-929.787153020634"
