"","a_log","h_log","log_w","kr_log","r1_log","r2_log","alpha11","alpha22","alpha12","alpha21","c_log","sigma","sigma2","strtpt","error","a_log.est","h_log.est","log_w.est","kr_log.est","r1_log.est","r2_log.est","alpha11.est","alpha12.est","alpha22.est","alpha21.est","c_log.est","sigma.est","sigma2.est","converge","BIC","logLik"
"29","-2","-1","-10","-1.125","-0.5","-3","5e-04","0.005","0.001","0.001","-5","0.2","0.2","1149148","NaN","-1.90420348069603","-1.46254480420646","-9.94171320443347","-0.332247791881055","-1.19965680332801","-1.53438325683649","0.00188027259786365","0.0010273204204631","0.00246031230368452","0.000998404782400129","-5.43198621683211","0.228812087116366","0.239974254014143","0","1889.38194494777","-903.868399520645"
"30","-1","-1","-5","-2.375","-2","-0.5","0.001","0.001","0.005","0.001","-10","0.2","0.2","735250","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"31","-2.5","-5","-5","-1.125","-1","-0.5","5e-04","5e-04","0.001","0.005","-5","0.2","0.2","1270477","NaN","-2.84897933799433","-3.7333388647126","-8.14103244693146","-0.00895151153042615","-1.39920356960928","-1.65363579605959","0.00119691503510587","0.000988077530704219","0.00238724654491691","0.000862552781220239","-5.13042561275654","0.218214797284873","0.240759768750104","0","1841.81630965651","-880.085581875013"
"32","-3","-1","-8.75","-1.125","-1","-3","0.005","5e-04","0.005","0.001","-10","0.2","0.2","721046","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"33","-1","-1","-6.25","-1.75","-2","-0.5","5e-04","0.001","0.005","0.001","-15","0.2","0.2","274100","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"34","-2.5","-5","-6.25","-2.375","-0.5","-0.5","0.001","0.005","5e-04","0.001","-5","0.2","0.2","1107702","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"35","-3","-1","-7.5","-0.5","-0.5","-1","0.001","0.005","0.001","0.005","-15","0.2","0.2","397446","NaN","-1.84426564401296","-1.46246194105347","-9.44462747900305","1.72544885474482","-1.35556972810323","-1.58322230607176","0.00173404597234343","0.00108135383534607","0.0024611913681738","0.0009544193255798","-14.3451886472414","0.225728200125069","0.23930759777897","0","1873.08071268381","-895.717783388665"
"36","-2","-2","-10","-1.75","-1","-3","0.005","0.005","0.001","0.005","-15","0.2","0.2","400268","NaN","-2.68676554108092","-3.35369368253143","-8.57385426700134","-2.00253967603453","-1.26246293777267","-1.66765604298428","0.00136164197162749","0.000870608195299484","0.00244731934416297","0.000837850265590613","-11.9280277048486","0.217094902042884","0.241496994363752","0","1826.85113391933","-872.602994006425"
"37","-2","-2","-7.5","-2.375","-1","-1","0.001","5e-04","0.001","0.001","-10","0.2","0.2","666443","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"38","-3","-3","-5","-0.5","-1","-0.5","5e-04","0.005","5e-04","5e-04","-10","0.2","0.2","494361","NaN","-2.67204325348435","-3.06043639032162","-8.62701673309145","-1.69746485251831","-1.2583990771877","-1.6804959190651","0.00142691385979425","0.000904266710754462","0.00257853404737747","0.000821475063500616","-10.4214017330078","0.215966023166755","0.239806936465931","0","1828.18386672972","-873.26936041162"
"39","-2","-4","-8.75","-1.125","-1","-3","0.005","0.005","5e-04","0.005","-10","0.2","0.2","805408","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"40","-3","-4","-10","-1.125","-2","-3","0.001","0.001","0.005","0.001","-5","0.2","0.2","1187256","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"41","-2.5","-2","-10","-3","-1","-0.5","0.001","0.005","5e-04","5e-04","-15","0.2","0.2","43767","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"42","-1","-1","-10","-2.375","-2","-0.5","0.005","0.001","0.001","0.005","-5","0.2","0.2","1297650","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"43","-1.5","-1","-7.5","-3","-0.5","-0.5","0.005","5e-04","0.001","0.005","-5","0.2","0.2","1281949","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"44","-1.5","-3","-7.5","-0.5","-2","-1","0.001","5e-04","0.005","0.001","-10","0.2","0.2","716814","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"45","-3","-4","-10","-1.75","-2","-0.5","0.001","0.001","5e-04","0.001","-5","0.2","0.2","1089631","NaN","-2.65378040988148","-3.03444245976667","-8.41655656068224","-2.20774275298522","-1.26252222209532","-1.64681874978193","0.00144480853245649","0.000922500867542795","0.00249011590719817","0.000845984005096791","-7.49709342998185","0.216728280630207","0.241195936576436","0","1828.18558949801","-873.270221795764"
