"","a_log","h_log","kr_log","r1_log","r2_log","alpha11","alpha22","alpha12","alpha21","c_log","sigma","sigma2","strtpt","error","a_log.est","h_log.est","kr_log.est","r1_log.est","r2_log.est","alpha11.est","alpha12.est","alpha22.est","alpha21.est","c_log.est","sigma.est","sigma2.est","converge","BIC","logLik"
"57","-1.66666666666667","-3.22222222222222","-1.125","-2","-3","0.005","0.001","5e-04","0.001","-5","0.2","0.2","873347","NaN","-2.72725846327704","-3.67207128518219","-0.548791346437446","-1.27929693559569","-1.68005885084862","0.00126886926615273","0.000856032820769434","0.00244533306992113","0.000848275151727661","-7.67994787227446","0.217489776733557","0.241171058119377","0","1825.4951695469","-875.065209739691"
"58","-1.44444444444444","-3.22222222222222","-0.5","-2","-1","5e-04","0.001","5e-04","5e-04","-15","0.2","0.2","15448","NaN","-2.11836466274138","-2.1615254092122","2.82923576630654","-1.34632762069495","-1.66638577865603","0.00160972746647213","0.00106367890046484","0.00259923756551263","0.000831727762734127","-14.9614833313323","0.222666891823778","0.243290742059467","0","1848.81584221366","-886.72554607307"
"59","-1.66666666666667","-1","-3","-2","-3","5e-04","0.001","5e-04","5e-04","-10","0.2","0.2","378097","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"60","-2.11111111111111","-2.77777777777778","-3","-2","-0.5","5e-04","0.005","0.001","5e-04","-15","0.2","0.2","70555","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"61","-2.77777777777778","-2.77777777777778","-2.375","-0.5","-3","5e-04","5e-04","0.001","0.001","-15","0.2","0.2","163152","NaN","-2.60582660331144","-2.33292290986087","-2.15799399609438","-1.33875425691749","-1.71462072128054","0.00160620966351987","0.000846121010024611","0.00241612316283804","0.000795427268092156","-12.6407073386235","0.220370533067756","0.241850045347495","0","1838.19976816755","-881.417509050012"
"62","-1.88888888888889","-4.11111111111111","-0.5","-2","-0.5","0.001","5e-04","5e-04","0.005","-5","0.2","0.2","979926","NaN","-3.15420102733426","-3.27596225337757","-0.000741990717641002","-1.8257053046543","-1.61540457628723","0.00130644864702123","0.000570695376434094","0.00240271622293674","0.000880103800732293","-4.37339540219176","0.226939067763166","0.238364656209669","0","1877.35087119427","-900.993060563373"
"63","-1.66666666666667","-4.55555555555556","-1.125","-2","-3","0.001","0.005","5e-04","0.001","-15","0.2","0.2","153317","NaN","-2.05583348251673","-1.91880277729382","0.755345441014411","-1.13992417109663","-1.78512613761472","0.0017167395873489","0.000979600655095676","0.00224713713136004","0.000868389512791827","-15.7657403597834","0.226195022563092","0.246771244682421","0","1859.69277634187","-892.164013137174"
"64","-1.88888888888889","-1.44444444444444","-0.5","-0.5","-3","5e-04","0.005","0.005","0.001","-5","0.2","0.2","959986","NaN","-2.30072112900522","-2.97070713254149","-0.526862342838338","-1.11157415619932","-1.63651954264457","0.00147647724301672","0.000588904546616428","0.00245880613660415","0.000867695810759853","-6.65503110958572","0.219521351369107","0.234650139547254","0","1839.78812851837","-882.211689225423"
"65","-1.22222222222222","-4.11111111111111","-2.375","-0.5","-0.5","5e-04","0.001","5e-04","0.001","-15","0.2","0.2","139129","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"66","-3","-5","-0.5","-2","-3","5e-04","0.001","5e-04","0.005","-15","0.2","0.2","256901","NaN","-2.75417803535686","-3.10943949356254","-0.704495267292844","-1.4214071665591","-2.91844753613343","0.0014058244603021","0.000792575659852341","0.00364735578015016","-0.0015077803391548","-6.07996534703451","0.218636802288074","0.252590563881183","0","1889.57138301695","-907.103316474712"
"67","-2.77777777777778","-2.77777777777778","-2.375","-2","-0.5","5e-04","0.005","0.001","5e-04","-15","0.2","0.2","70652","NaN","-2.6165825967481","-2.94166696258576","-0.802111059750356","-1.24324490591866","-1.70081032758987","0.00147605682550492","0.00096122460010568","0.00245269580561969","0.000832815219636941","-13.5828909190291","0.216746311980015","0.243645917960038","0","1824.99497628634","-874.815113109408"
"68","-2.11111111111111","-4.11111111111111","-1.125","-1","-1","0.001","0.005","0.005","0.001","-10","0.2","0.2","600825","NaN","-2.78010167915405","-3.89967826341188","-1.56518285887028","-1.27206235153114","-1.672672541576","0.00120430014485848","0.000880668927095039","0.00258184921221976","0.00078602411627516","-8.58062347231049","0.216637070991203","0.241357821166353","0","1825.77650412879","-875.205877030635"
"69","-1.88888888888889","-3.22222222222222","-3","-1","-0.5","0.005","5e-04","0.001","0.001","-15","0.2","0.2","174546","NaN","-2.38312722451424","-2.50150235603694","0.683699914878755","-1.23017829348513","-1.65345208662155","0.00160174547367756","0.000874945373066116","0.00249598884273225","0.000844682208566615","-12.5936965868912","0.219092102162285","0.242064745295659","0","1835.66142952312","-880.148339727797"
"70","-1.44444444444444","-4.55555555555556","-2.375","-1","-1","0.001","5e-04","5e-04","0.005","-5","0.2","0.2","978618","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"71","-2.55555555555556","-2.33333333333333","-0.5","-2","-1","5e-04","5e-04","0.005","5e-04","-10","0.2","0.2","447463","NaN","-2.40696993441393","-1.86949545338336","-0.303807306870525","-1.31398565803825","-1.6688937175747","0.00175006998089428","0.000969045958302786","0.00243919473870719","0.000851206108283757","-10.259819149113","0.220961069742183","0.240942705243586","0","1845.44974716697","-885.042498549724"
"72","-2.55555555555556","-1.88888888888889","-1.125","-1","-3","5e-04","0.005","0.001","0.001","-10","0.2","0.2","554373","NaN","-2.58461830347526","-3.33654677904312","-0.923738416465004","-1.1567857747047","-1.65134840851284","0.00136470208173872","0.000970312998510681","0.00250138926138139","0.000916070117085206","-9.67465465086283","0.220886344283335","0.243005600888386","0","1826.06062551085","-875.347937721665"
"73","-3","-1.44444444444444","-1.125","-2","-3","0.005","0.005","0.005","0.005","-5","0.2","0.2","1089381","NaN","-2.57386046598965","-2.87967810126193","0.303610237675267","-1.27147035422613","-1.67502673743805","0.00146661550578183","0.000903114034218285","0.00246254854022417","0.000851579725224121","-7.27350858143934","0.21839318691752","0.241344703660922","0","1828.61076317422","-876.623006553347"
