"","a_log","a12","h_log","kr_log","r1_log","r2_log","alpha11","alpha22","alpha12","alpha21","c_log","sigma","sigma2","strtpt","error","a_log.est","a12.est","h_log.est","kr_log.est","r1_log.est","r2_log.est","alpha11.est","alpha12.est","alpha22.est","alpha21.est","c_log.est","sigma.est","sigma2.est","converge","BIC","logLik"
"30","-1.5","1e-04","-4","-3","-1","-0.5","0.001","5e-04","0.005","5e-04","-10","0.2","0.2","566924","NaN","-1.59952858709744","-0.000522058859660179","-3.9255381886429","-2.69589143955876","-0.39254382361361","-0.811864731251066","0.00123203264727371","0.00228272275712855","0.00263081869415106","0.00121344043794605","-10.0132391305012","0.255101459647004","0.290463289889434","0","2145.16463575543","-1031.75974492447"
"31","-3","-2e-04","-3","-2.375","-2","-0.5","5e-04","0.005","0.001","5e-04","-15","0.2","0.2","88311","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"32","-2","1e-04","-1","-3","-0.5","-0.5","0.005","0.005","0.005","5e-04","-5","0.2","0.2","1062623","NaN","-1.48790785783065","-0.000506334158544778","-0.0558573375048247","-2.71374087192662","-2.32035223151822","-1.32518255768407","0.0053553174510776","0.00456194172837735","0.00516428909017626","0.00054870989592154","-3.96169349861771","0.303167604357115","0.269875299097663","0","2275.66440192337","-1097.00962800845"
"33","-2","1e-04","-3","-1.125","-0.5","-1","0.005","0.001","0.001","0.005","-15","0.2","0.2","386073","NaN","-1.60074487206077","-0.000405246423462709","-1.98836722670194","-0.225996203231115","-0.962201757258262","-1.714946934058","0.00159855474650814","0.00180627907565235","0.00165715680750377","0.000822276620419949","-16.4400900500779","0.220874501495078","0.240191601018838","0","1852.46321803748","-885.4090360655"
"34","-3","-5e-05","-1","-0.5","-0.5","-1","5e-04","0.001","5e-04","0.001","-15","0.2","0.2","172491","NaN","-2.69919546028021","-0.000145290393378641","0.0889664752413145","0.0612221183472616","-2.06427315238429","-1.35677105231978","0.00153465418888218","0.0029017501418817","0.00284830781648024","0.00107014752927529","-13.8412573475531","0.25091594904089","0.241011711398423","0","1952.97663882314","-935.665746458328"
"35","-1.5","-5e-05","-2","-3","-0.5","-3","5e-04","0.001","0.001","5e-04","-10","0.2","0.2","524469","NaN","-2.15059692277511","-0.000216104011283287","-2.95981869033751","-1.28478636071928","-1.01052119908428","-3.2972504920696","0.00137679692722611","0.00154948557226512","0.000714426180291686","0.00206113947206369","-10.7610198918865","0.211555794091536","0.262218565324097","0","1896.57446570215","-907.464659897833"
"36","-1","1e-04","-2","-3","-1","-1","5e-04","0.005","0.001","0.005","-5","0.2","0.2","1301975","NaN","-2.06846144202459","-0.000263417258416774","-0.464497217961694","-2.28201045924467","-1.4305314838408","-1.6505242285206","0.00190999232603096","0.00205495691877553","0.00243326143270773","0.00101141099387776","-5.07567110019003","0.23705938023095","0.244902896168855","0","1915.57475507285","-916.964804583185"
"37","-1","-5e-04","-4","-1.75","-2","-0.5","5e-04","0.001","0.005","5e-04","-10","0.2","0.2","577780","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"38","-1.5","-0.00035","-2","-2.375","-2","-0.5","0.005","0.001","0.005","0.001","-15","0.2","0.2","285209","NaN","-2.11977965659566","0.000594004853928147","3.87033699030138","-11.9549442450449","-1.857550959397","-0.500718541973171","0.00196830095635919","0.0028804161626261","0.00301572669923209","0.00130978434803039","-9.907108944682","0.247295489893374","0.336320219849615","0","2323.66030166403","-1121.00757787878"
"39","-1","-5e-05","-4","-3","-0.5","-3","0.001","5e-04","5e-04","5e-04","-15","0.2","0.2","6920","NaN","-2.28455388679356","-0.00022639099556973","-3.16379047634211","-1.2216730439688","-1.05880729797027","-1.74921565579386","0.00118635939519163","0.00221495884376","0.00267758385175949","0.000605912815845465","-15.6310479841674","0.212094128745038","0.244418045895633","0","1801.99816137842","-860.176507735971"
