"","a_log","h_log","log_w","kr_log","r1_log","r2_log","alpha11","alpha22","alpha12","alpha21","c_log","sigma","sigma2","strtpt","error","a_log.est","h_log.est","log_w.est","kr_log.est","r1_log.est","r2_log.est","alpha11.est","alpha12.est","alpha22.est","alpha21.est","c_log.est","sigma.est","sigma2.est","converge","BIC","logLik"
"11","-2.5","-2","-8.75","-1.125","-2","-1","5e-04","0.005","0.001","0.005","-15","0.2","0.2","390417","NaN","-1.51432272795901","-2.07606837965212","-12.5424761822073","3.98164712537398","-1.34756252637729","-1.79530617758239","0.00159238208374341","0.00092875601645166","0.0024229150467234","0.000749010194631364","-13.0818765482397","0.220861723316672","0.241914741659411","0","1858.66889471613","-888.511874404824"
"12","-2.5","-4","-5","-1.125","-0.5","-3","0.005","0.001","0.005","0.001","-10","0.2","0.2","738607","NaN","-2.75389758343468","-3.85232499662678","-9.06305485642567","-1.00611009929256","-1.28136154589585","-1.6693729139035","0.00122792472497952","0.000895055481714413","0.00243161030644573","0.000862821179998456","-10.2686809839908","0.21688997845734","0.24118120239007","0","1829.30854539997","-873.831699746742"
"13","-3","-4","-5","-2.375","-0.5","-3","5e-04","0.001","5e-04","5e-04","-10","0.2","0.2","473981","NaN","-2.78192137700903","-4.01616196268389","-8.25548611120717","-2.38094141141254","-1.26611388413888","-1.63888689961426","0.00119680616112725","0.00104606668042612","0.00246210940969915","0.000919474664259783","-11.0126242158873","0.21690248357229","0.243940332880753","0","1828.27974681303","-873.317300453276"
"14","-2.5","-3","-8.75","-2.375","-1","-0.5","5e-04","5e-04","0.001","0.001","-15","0.2","0.2","207037","NaN","-2.49576703919211","-2.73497342961926","-9.21773026764454","-1.20583284370277","-1.20804007677443","-1.68050716393962","0.00153273865523991","0.000932196239483395","0.00248952032555575","0.000828537465421799","-16.5367464482728","0.218448404870895","0.242290210006959","0","1832.34969421788","-875.352274155699"
"15","-1.5","-5","-10","-1.125","-0.5","-3","5e-04","5e-04","5e-04","5e-04","-15","0.2","0.2","1629","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"16","-2.5","-5","-10","-1.125","-1","-0.5","0.001","0.001","5e-04","5e-04","-5","0.2","0.2","938502","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"17","-1.5","-4","-6.25","-2.375","-0.5","-3","0.001","5e-04","0.005","0.001","-10","0.2","0.2","715834","NaN","-2.68377308425924","-3.46108348383398","-10.1403308215489","-1.10549278576181","-1.25074185923063","-1.6636159051831","0.00133501591643433","0.000855100088205191","0.00244710252410734","0.000857473737211913","-9.97080862371532","0.217190636493697","0.241106896664759","0","1828.81460971882","-873.584731906167"
"18","-1","-4","-10","-1.75","-0.5","-0.5","5e-04","5e-04","0.001","0.001","-10","0.2","0.2","663385","NaN","-2.64573950306877","-2.94896347692209","-11.6799450432661","-2.12137413518672","-1.26170418161507","-1.65312538766429","0.00148810081335551","0.000831761469291573","0.00243686985786827","0.000863691209488894","-8.30106611362752","0.217843833944892","0.241113638680002","0","1832.41053939641","-875.382696744963"
"19","-1.5","-2","-8.75","-1.75","-1","-0.5","0.005","5e-04","5e-04","5e-04","-10","0.2","0.2","471544","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"20","-1.5","-5","-5","-3","-2","-0.5","0.001","0.005","0.001","0.005","-15","0.2","0.2","397604","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
