"","a_log","h_log","r1_log","r2_log","alpha11","alpha22","alpha12","alpha21","c_log","sigma","sigma2","strtpt","error","a_log.est","h_log.est","r1_log.est","r2_log.est","alpha11.est","alpha12.est","alpha22.est","alpha21.est","c_log.est","sigma.est","sigma2.est","converge","BIC","logLik"
"14","-2.33333333333333","-3.66666666666667","-1","-1","0.005","0.005","5e-04","0.001","-15","0.2","0.2","31934","NaN","-2.80066287032451","-2.2134268694666","-1.23499102850702","-1.49401147735016","0.00149863957346106","0.00168992755444842","0.00286127031936805","0.00104060141143268","-13.4118052650849","0.217758064607873","0.232990320324772","0","1860.0278591029","-895.471752437169"
"15","-2.77777777777778","-1","-0.5","-3","0.001","0.005","5e-04","5e-04","-10","0.2","0.2","79492","NaN","-2.75335971586929","-3.49712346039419","-1.27144375207202","-10.5448148282936","0.00135313051023571","0.000806677782465402","0.00107181879030686","0.00845476916191496","-9.9674830390017","0.217828331271913","0.271166937430288","0","1945.21400465836","-938.064825214901"
"16","-1","-3.66666666666667","-0.5","-1","0.001","0.005","5e-04","0.001","-10","0.2","0.2","104040","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"17","-2.77777777777778","-3.22222222222222","-0.5","-1","0.001","0.005","5e-04","0.001","-10","0.2","0.2","104042","NaN","-2.75439621120217","-3.44948174334702","-1.26971115916642","-1.65036078070161","0.00136003137002435","0.00083404666655223","0.00245756445592756","0.000860434478276193","-7.95581197177695","0.217548899553275","0.241247776141045","0","1819.65059096837","-875.283118369906"
"18","-1.44444444444444","-3.66666666666667","-0.5","-3","5e-04","5e-04","0.005","0.001","-5","0.2","0.2","186538","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"19","-2.11111111111111","-2.77777777777778","-0.5","-1","0.005","0.001","0.001","5e-04","-15","0.2","0.2","13155","NaN","-2.77214222700009","-3.1000987155015","-1.27108817187588","-1.63020216732865","0.00145886977098042","0.000956680580208946","0.00269340870860742","0.00083722235591406","-7.72678124393474","0.218595533142308","0.241680021226067","0","1822.246851257","-876.581248514219"
"20","-1.66666666666667","-3.22222222222222","-2","-0.5","5e-04","0.001","5e-04","5e-04","-5","0.2","0.2","149147","NaN","-2.51025881435951","-1.98446265699629","-1.37445981971611","-1.99599541809686","0.00177397356970707","0.000580990593245899","0.00220999739506319","-6.2424386173046e-06","-6.60857619295062","0.223071358247945","0.24404281546402","0","1867.93385014471","-899.424747958074"
"21","-1.66666666666667","-3.22222222222222","-2","-0.5","0.005","5e-04","5e-04","0.005","-15","0.2","0.2","51047","NaN","-2.93858149777575","-1.59766128506938","-1.68914697985563","-1.51504503118037","0.00173402186316323","0.000876672303412214","0.00255427717908597","0.000840294976299208","-14.5455015436858","0.228103659065678","0.242291614251141","0","1869.76652695699","-900.341086364212"
"22","-1","-3.22222222222222","-0.5","-1","5e-04","0.005","5e-04","5e-04","-5","0.2","0.2","151750","NaN","-2.67978244108262","-1.89756478474378","-1.3155265857558","-1.765246516363","0.00166885078672962","0.00123142353783525","0.00237222591427565","0.000970561296548745","-4.30341057501309","0.220484564454399","0.2444338045773","0","1857.96107587145","-894.438360821445"
"23","-3","-1.44444444444444","-1","-0.5","0.001","0.001","0.001","5e-04","-10","0.2","0.2","85381","NaN","-3.0037645745303","-0.826783607478951","-1.43242714105917","-1.61788683026552","0.00193015375776642","0.00164252962597365","0.00235548221300512","0.000938714435592802","-9.1227910448726","0.225947536009171","0.235051624677836","0","1899.10848859164","-915.012067181537"
"24","-1.88888888888889","-1","-2","-1","5e-04","0.001","5e-04","5e-04","-5","0.2","0.2","148896","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"25","-2.33333333333333","-5","-1","-0.5","5e-04","0.005","0.001","0.001","-10","0.2","0.2","111404","NaN","-2.76561794147777","-3.38258279445192","-1.26829436343965","-1.67498591662989","0.00136247339775034","0.000899812374152023","0.00248113545581588","0.000847164526919967","-9.06851715069276","0.21805733249633","0.241553130340779","0","1819.74512682247","-875.330386296955"
"26","-1.66666666666667","-2.33333333333333","-2","-1","5e-04","5e-04","0.005","0.001","-15","0.2","0.2","40867","NaN","-2.67078683737536","-3.02865985842717","-1.25589004298796","-3.68520016748037","0.00149950296296593","0.000790154954497892","-0.000880253302348428","-0.00527746340632774","-13.1057186986662","0.217516639440139","0.262509262971547","0","1910.26289138209","-920.589268576762"
"27","-1","-3.22222222222222","-0.5","-3","5e-04","0.001","0.005","0.001","-15","0.2","0.2","43450","NaN","-2.7168618397033","-7.12606977682555","-1.02848322820229","-1.31884252705609","0.00104291748004275","0.00113009369941617","0.00253615531689393","0.00105431795515549","-11.445886851586","0.22607787655921","0.232052099914714","0","1881.05732557807","-905.986485674754"
"28","-3","-5","-1","-3","0.001","5e-04","0.001","5e-04","-15","0.2","0.2","9101","NaN","-2.79382987667167","-3.3391301060225","-1.29924435607673","-1.69224235352525","0.00150427527178544","0.0008948082839888","0.00241386885442084","0.000766985936528544","-14.8305500183473","0.218037317210504","0.238237038073229","0","1821.72202119024","-876.318833480838"
"29","-2.33333333333333","-4.11111111111111","-2","-0.5","0.005","0.001","0.005","5e-04","-10","0.2","0.2","94224","NaN","-2.90783879003502","-4.31953366642549","-1.34861479793476","-1.66468262963674","0.00116072745670532","0.000850232857414805","0.00242791209601243","0.000847164353383665","-8.56295027971092","0.218132751519156","0.241258116837068","0","1823.4274255741","-877.171535672769"
"30","-2.11111111111111","-4.55555555555556","-0.5","-3","0.005","0.005","5e-04","5e-04","-10","0.2","0.2","80315","NaN","-2.42880248124767","-2.26703541785009","-1.1445166131682","-1.96338901214092","0.00165521997980745","0.000681802695396578","0.00252997530123991","0.000565671704083644","-14.1986314028463","0.244698225073944","0.254352884927694","0","1868.16888350803","-899.542264639734"
"31","-2.11111111111111","-1","-1","-3","0.001","0.001","0.005","0.001","-10","0.2","0.2","117195","NaN","-2.69418598068993","-1.28883919423617","-1.45309452939139","-1.63058125213076","0.00187409319106679","0.00144883520162095","0.00255562241923836","0.000803790823257744","-4.19940385166522","0.232172916023712","0.248668874625889","0","1879.15150415433","-905.033574962882"
"32","-1","-5","-0.5","-3","0.005","0.005","5e-04","5e-04","-5","0.2","0.2","153210","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
