a_log,h_log,log_w,kr_log,sigma,sigma2,error,a_log.est,h_log.est,log_w.est,kr_log.est,sigma.est,sigma2.est,converge,BIC,logLik,strtpt
-1.5,-2,-6.25,-3,0.2,0.2,,-2.15840800890526,-3.27936279786112,-3.7357083846319,-4.97152400253954,0.214049136152246,0.242689249283529,0,1776.3357350934,-869.326680029822,94
-2.5,-1,-8.75,-2.375,0.2,0.2,,-2.08378047385096,-3.1555407631894,-1.15974567628414,-4.95005348043702,0.213531538975138,0.242745454848675,0,1774.22526265931,-868.271443812776,172
-2,-5,-5,-1.125,0.2,0.2,,-2.15342351556839,-3.27298689602177,-15.6946336007263,-4.94508338754725,0.213992429092023,0.242701480875237,0,1776.79249230804,-869.555058637137,478
-2.5,-2,-10,-2.375,0.2,0.2,,-2.08190523703508,-3.15345790110455,-1.1580324531286,-4.9475076342951,0.213555704642144,0.242746565638793,0,1774.22543530997,-868.271530138103,142
-1.5,-1,-7.5,-2.375,0.2,0.2,,-2.08348285513022,-3.15427486816531,-1.15751696554348,-4.94996163819125,0.213559613643389,0.242735238862326,0,1774.22524823864,-868.271436602439,199
-2,-2,-10,-0.5,0.2,0.2,,-2.08362875233227,-3.15389759295043,-1.15990301936693,-4.95203040105663,0.213542540218987,0.242691011049648,0,1774.22533023461,-868.271477600422,518
-1.5,-3,-10,-0.5,0.2,0.2,,-1.9340096138662,-2.88026681889395,-0.131054916130267,-4.80700740897916,0.214019407588216,0.243290207355506,0,1777.79509602082,-870.056360493529,514
-1.5,-2,-7.5,-1.75,0.2,0.2,,-2.08236504531418,-3.15370727653388,-1.16641673657205,-4.94942386284785,0.213457410145721,0.242669580861562,0,1774.22590919428,-868.271767080258,319
-1,-3,-6.25,-3,0.2,0.2,,-2.28780927180172,-3.23545861373061,0.165526747232212,-5.70538072407391,0.216003853256232,0.241244468331415,0,1787.29892315455,-874.808274060394,90
-3,-4,-8.75,-1.75,0.2,0.2,,-2.15499933790055,-3.27494603455074,-6.28049982245456,-4.94992876742981,0.214052998576719,0.242800306424563,0,1776.75277878517,-869.535201875704,281
-3,-3,-7.5,-1.75,0.2,0.2,,-2.15477814838697,-3.27512672855653,-4.37325155420645,-4.95675509033001,0.214046994241525,0.242569703250175,0,1776.53743465468,-869.427529810459,311
-3,-5,-10,-1.75,0.2,0.2,,-2.15518896461698,-3.27541402843397,-8.44938275929509,-4.94921984789291,0.214080394357796,0.242713032516736,0,1776.78756257832,-869.552593772277,251
-1,-3,-5,-1.125,0.2,0.2,,-2.04311692492912,-3.08331249754021,-0.746223989765874,-4.92092409381005,0.213605484576108,0.242785299487871,0,1774.58888806213,-868.453256514185,490
-1.5,-3,-10,-2.375,0.2,0.2,,-2.15201897696961,-3.27209487905687,-4.03965627499507,-4.95329279775484,0.213907983037191,0.242669509626485,0,1776.44006311148,-869.378844038859,139
-2,-2,-5,-1.75,0.2,0.2,,-2.08357389793708,-3.15488360320283,-1.15654396046365,-4.95025891816873,0.213561087599092,0.242749553411934,0,1774.22524429572,-868.271434630981,368
-1.5,-1,-8.75,-3,0.2,0.2,,-2.15595201352471,-3.2773421759627,-5.40646102169929,-4.95397746600698,0.214043461841689,0.24281909459382,0,1776.6993304189,-869.508477692568,49
-1,-4,-10,-1.125,0.2,0.2,,-2.15554125928011,-3.29609400746569,-2.99831186912599,-4.97377550638276,0.213781364406197,0.242691089486418,0,1775.93770898272,-869.12766697448,385
-1,-3,-6.25,-1.75,0.2,0.2,,-2.03446047243555,-3.06171191701292,-0.618341440208084,-4.92859127688806,0.213725074884297,0.242817297464593,0,1774.86936446629,-868.593494716264,340
-2,-3,-8.75,-2.375,0.2,0.2,,-2.18651210780026,-3.29527439642808,-2.82216553736455,-5.05027937847988,0.213874634139225,0.242889210888578,0,1775.97727975813,-869.147452362186,163
-2,-4,-10,-1.125,0.2,0.2,,-2.15587225360466,-3.26927179896689,-2.83493150315463,-4.98794129114235,0.213944958114042,0.242739029249776,0,1775.78553952139,-869.051582243812,383
-1.5,-5,-7.5,-3,0.2,0.2,,-2.15541367194873,-3.27615817902219,-6.84301386702445,-4.94998066393261,0.214059550684349,0.242716016559404,0,1776.76964466714,-869.543634816688,54
-3,-1,-10,-3,0.2,0.2,,-2.15428850038734,-3.27089125145161,-5.73389245020362,-4.95138076005606,0.214065555016023,0.242694664037452,0,1776.72456439658,-869.521094681409,21
