a_log,a12,h12,h_log,kr_log,sigma,sigma2,error,a_log.est,a12.est,h_log.est,h12.est,kr_log.est,sigma.est,sigma2.est,converge,BIC,logLik,strtpt
-2,-2e-04,-2e-04,-2,-0.5,0.2,0.2,,-2.10660661100062,-0.000239413758454295,-3.04232173945243,0.000130993302465048,0.129689966852207,0.21052893847773,0.242301860822764,0,1771.53730932569,-863.787269226484,2938
-1,1e-04,1e-04,-2,-0.5,0.2,0.2,,-1.49016201228027,-0.000435321608634044,-2.53383991968516,0.000118390397188076,3.26104407252488,0.225938191642963,0.235125934895076,0,1802.52539021671,-879.281309671995,3000
-3,-5e-05,-0.00035,-3,-3,0.2,0.2,,-2.32035641836432,-0.000190509623051919,-3.46277463679852,0.000118357591822873,-3.12299013079316,0.211533196518108,0.242703717088983,0,1770.21016429371,-863.123696710496,291
-3,-2e-04,-5e-05,-2,-1.75,0.2,0.2,function cannot be evaluated at initial parameters,,,,,,,,,,,1711
-3,-2e-04,1e-04,-2,-1.125,0.2,0.2,function cannot be evaluated at initial parameters,,,,,,,,,,,2361
-1,-5e-04,-5e-04,-2,-3,0.2,0.2,,-1.99378923383574,-0.000448950398921013,-11.8530859687321,0.0564893482950703,-25.5920835765603,0.271482931386041,0.242887821902591,0,2037.42278393666,-996.73000653197,380
-3,-2e-04,-5e-04,-5,-1.125,0.2,0.2,,-2.42078997807085,-0.000152287232221509,-6.40624975583055,0.000488968020914814,-0.463546136935938,0.215219621213994,0.242127355297012,0,1789.61707055452,-872.827149840898,1886
-2,-5e-04,-0.00035,-5,-3,0.2,0.2,,-2.40922321869171,-0.000166332417319998,-5.31042217214945,0.000422796793612237,-3.21826031812974,0.213439373727455,0.242037138884122,0,1782.49314820041,-869.265188663846,28
-2.5,-5e-04,-5e-04,-5,-1.125,0.2,0.2,,-2.48730417552352,-0.000151618460650195,-3.93514121088195,0.000139213987188315,-6.55520951929277,0.21099713216688,0.244787127911587,0,1776.85437689709,-866.445803012185,1877
-2.5,-0.00035,-2e-04,-4,-0.5,0.2,0.2,,-2.20852163505961,-0.000213178388239756,-3.29621621785436,0.000146728215111059,-0.508878850903179,0.211171783733916,0.242838098949617,0,1767.84110099199,-861.939165059633,2682
-2.5,-2e-04,-5e-04,-5,-3,0.2,0.2,,-2.45211201872515,-0.000154961079110568,-5.26068340662066,0.000376728317007103,-2.75898255130859,0.214186488866935,0.241927592177005,0,1782.27811781101,-869.157673469145,12
-2,-2e-04,-5e-04,-1,-0.5,0.2,0.2,,-2.12905995542047,-0.000232455407936265,-3.06716740828799,0.000128067969185571,0.176676997057458,0.211994605670883,0.243481503272375,0,1771.50304989834,-863.770139512811,3013
-3,-0.00035,-5e-05,-2,-0.5,0.2,0.2,function cannot be evaluated at initial parameters,,,,,,,,,,,2956
-3,-5e-04,-2e-04,-2,-3,0.2,0.2,function cannot be evaluated at initial parameters,,,,,,,,,,,426
-3,-2e-04,-0.00035,-4,-1.125,0.2,0.2,,-2.25819990647885,-0.000202931006575472,-3.33241949501699,0.000121683638544675,-1.27423143228698,0.211005880469188,0.242638965631199,0,1767.53324527712,-861.785237202201,2036
-3,-0.00035,-5e-04,-2,-3,0.2,0.2,,-2.17743597438702,-0.000227191437593851,-1.96979457278676,-0.000486508071983177,-2.99483661758882,0.218437226552668,0.243018823354997,0,1805.70094164278,-880.869085385031,381
-1,-0.00035,-2e-04,-1,-1.75,0.2,0.2,,-1.97856417842283,-0.000459691257410396,-3.68401159364209,0.0573592916555371,-2.69297920605139,0.271113925129205,0.241421666667365,0,2039.77743190628,-997.907330516777,1810
-2.5,-2e-04,-0.00035,-3,-0.5,0.2,0.2,,-2.49922525640858,-0.000150881225876511,-3.77915902485744,0.000101994640289778,-19.0305815187536,0.209171740158017,0.244133444235602,0,1777.64601026435,-866.841619695813,2787
-3,-2e-04,-5e-04,-2,-3,0.2,0.2,,-2.27718857340227,-0.000198798072345489,-3.4268443619971,0.000138205892636831,-1.63745849244753,0.212626440330374,0.241787565770296,0,1768.17201635115,-862.104622739215,386
-1.5,-2e-04,-5e-04,-2,-1.125,0.2,0.2,,-2.24766970463691,-0.000201761488461211,-4.63676640923379,0.000506615587745982,-0.990413295676711,0.214275279802025,0.241459519098755,0,1779.37860165541,-867.707915391343,2264
-3,-0.00035,-5e-04,-5,-0.5,0.2,0.2,,-2.2656981004879,-0.000201122735601636,-3.38444054868934,0.000134290800326172,-1.4037790446559,0.210256470491822,0.242634516877502,0,1767.73072812923,-861.883978628254,2506
-3,-5e-04,-5e-05,-5,-0.5,0.2,0.2,,-2.41957122927232,-0.000154388516261365,-5.58505353579825,0.000442373390899924,-0.567301279807029,0.214013158137628,0.241741361916131,0,1786.03290873758,-871.035068932429,2576
