a_log,h_log,kr_log,sigma,sigma2,error,a_log.est,h_log.est,kr_log.est,sigma.est,sigma2.est,converge,BIC,logLik,strtpt
-2.77777777777778,-2.77777777777778,-0.5,0.2,0.2,,-2.66005322398458,-3.09797147503897,-0.917656490906977,0.226773916175499,0.242782312535463,0,1832.3315529952,-900.464786900197,452
-1.66666666666667,-3.22222222222222,-0.5,0.2,0.2,,-2.61302592435635,-2.97347232766691,-0.346361350701989,0.226901401327601,0.242806022234488,0,1833.0766331621,-900.837326983648,447
-2.55555555555556,-1,-0.5,0.2,0.2,,-2.66044179510429,-3.09852117292633,-0.914642031811039,0.226845093142438,0.242822835282582,0,1832.33174314587,-900.464881975537,493
-3,-1.88888888888889,-3,0.2,0.2,,-2.65985098976146,-3.09649127744802,-0.919862942169724,0.22671760547912,0.24281853016566,0,1832.33167129906,-900.464846052128,71
-1.22222222222222,-3.22222222222222,-1.75,0.2,0.2,,-2.66020855765525,-3.09822569037598,-0.9155541036973,0.226771767569645,0.242773115834311,0,1832.33157447514,-900.464797640167,249
-1,-4.55555555555556,-3,0.2,0.2,,-2.70262729897714,-3.12993684798095,-2.1314141342745,0.226666031647785,0.242990699874713,0,1833.63970962946,-901.118865217331,20
-3,-3.22222222222222,-1.75,0.2,0.2,,-2.66007890052409,-3.0960044694668,-0.917850521165376,0.226741395987807,0.242831911588586,0,1832.33167395166,-900.464847378427,241
-2.55555555555556,-3.66666666666667,-1.75,0.2,0.2,,-2.66017222667967,-3.09706410461583,-0.917949553662125,0.226730105060682,0.24277960118122,0,1832.33160528641,-900.464813045802,233
-2.77777777777778,-1,-1.75,0.2,0.2,,-2.66046611473821,-3.09793528787356,-0.914120891117866,0.226730920833126,0.242783824237157,0,1832.33167642048,-900.464848612839,292
-2.77777777777778,-3.22222222222222,-2.375,0.2,0.2,,-2.66010177177389,-3.09680234579836,-0.916553016803024,0.226778922860363,0.242797154484998,0,1832.33157473182,-900.464797768507,142
-1.66666666666667,-1.44444444444444,-0.5,0.2,0.2,,-2.66000659946993,-3.0965900889051,-0.92274522858174,0.226794176013323,0.242836544795833,0,1832.3316794185,-900.46485011185,487
-2.55555555555556,-3.66666666666667,-2.375,0.2,0.2,,-2.6595839327701,-3.09580130497367,-0.915207728534715,0.226778607651916,0.242804778671745,0,1832.33160326364,-900.464812034418,133
-1.44444444444444,-1,-1.125,0.2,0.2,,-2.66003743874442,-3.09782703608177,-0.914482319233458,0.22678470554986,0.242802708445315,0,1832.33158060888,-900.464800707041,398
-1,-3.66666666666667,-1.75,0.2,0.2,,-2.67187975241473,-3.11690403201376,-1.1159072009551,0.226730518732954,0.242786811519013,0,1832.39075611786,-900.49438846153,240
