a_log,h_log,log_w,sigma,sigma2,error,a_log.est,h_log.est,log_w.est,sigma.est,sigma2.est,converge,BIC,logLik,strtpt
-3,-2,-5,0.2,0.2,,-2.21706082850075,-3.53864181024056,-5.19611744920465,0.213972970527827,0.242708015034808,0,1770.09116844454,-869.34459462487,116
-2.5,-4,-8.75,0.2,0.2,,-2.21680553893284,-3.54042234493375,-5.19531331877046,0.213980223703671,0.242732381170379,0,1770.0911953212,-869.344608063198,32
-2,-4,-8.75,0.2,0.2,,-2.21701489048347,-3.53999223263826,-5.19588778021456,0.213982438408535,0.242737000732052,0,1770.09116190371,-869.344591354455,33
-2,-4,-6.25,0.2,0.2,,-2.21701489048347,-3.53999223263826,-5.19588778021456,0.213982438408535,0.242737000732052,0,1770.09116190371,-869.344591354455,83
-1,-4,-8.75,0.2,0.2,,-2.21785958891915,-3.54025935339915,-5.19707970724013,0.213983012691984,0.242786864859943,0,1770.09132126088,-869.344671033038,35
-1.5,-5,-6.25,0.2,0.2,,-2.21746359336486,-3.53918024742921,-5.19753645270691,0.214019944201463,0.242702887070117,0,1770.09119310886,-869.344606957027,79
-3,-3,-5,0.2,0.2,,-2.21704143286375,-3.5395509839032,-5.19586883209889,0.213995543254612,0.242722812013205,0,1770.09113919975,-869.344580002472,111
-3,-4,-10,0.2,0.2,,-2.21698830797616,-3.53910287672723,-5.19710833412306,0.21400172141509,0.242727034680086,0,1770.09119352672,-869.344607165959,6
-2,-3,-7.5,0.2,0.2,,-2.21717277555431,-3.5399517699231,-5.19632927189808,0.213994567893054,0.24272046493871,0,1770.09114949752,-869.34458515136,63
-2,-5,-6.25,0.2,0.2,,-2.21693617748353,-3.53955702619975,-5.19554227566358,0.213998536385513,0.242722492436611,0,1770.09114300364,-869.344581904421,78
-1.5,-4,-10,0.2,0.2,,-2.21727912647438,-3.53929581644145,-5.19686220369598,0.213998317982417,0.2427590220926,0,1770.09118144916,-869.344601127181,9
-2.5,-1,-7.5,0.2,0.2,,-2.21688889996189,-3.53921788344406,-5.19613186039474,0.213995769592472,0.242722022019994,0,1770.09114706373,-869.344583934463,72
-1,-1,-7.5,0.2,0.2,,-2.21733871204466,-3.53960964127924,-5.19677460298061,0.214003666552084,0.242721851740965,0,1770.09115184704,-869.344586326118,75
-2.5,-4,-6.25,0.2,0.2,,-2.21680553893284,-3.54042234493375,-5.19531331877046,0.213980223703671,0.242732381170379,0,1770.0911953212,-869.344608063198,82
-1,-3,-6.25,0.2,0.2,,-2.21724705976235,-3.5398728147986,-5.19525812060153,0.214010835480753,0.242687418709724,0,1770.09120890655,-869.344614855875,90
-2.5,-4,-5,0.2,0.2,,-2.21680553893284,-3.54042234493375,-5.19531331877046,0.213980223703671,0.242732381170379,0,1770.0911953212,-869.344608063198,107
-1.5,-3,-6.25,0.2,0.2,,-2.2988405519125,-3.67424388073569,-5.36648357714478,0.214344887813198,0.242572754812387,0,1771.2242263389,-869.911123572051,89
-2,-4,-5,0.2,0.2,,-2.21701489048347,-3.53999223263826,-5.19588778021456,0.213982438408535,0.242737000732052,0,1770.09116190371,-869.344591354455,108
-1.5,-2,-6.25,0.2,0.2,,-2.21695335477591,-3.53877176973077,-5.19568065959451,0.213997301272386,0.242704964098267,0,1770.09115638057,-869.344588592887,94
-1,-1,-6.25,0.2,0.2,,-2.21733871204466,-3.53960964127924,-5.19677460298061,0.214003666552084,0.242721851740965,0,1770.09115184704,-869.344586326118,100
-2.5,-3,-6.25,0.2,0.2,,-2.2172002929414,-3.53972277226909,-5.19617767273502,0.214032237251892,0.242743306180127,0,1770.09118322864,-869.34460201692,87
-1,-1,-5,0.2,0.2,,-2.2171061627763,-3.5387373931218,-5.19700757917367,0.213969589439414,0.242754602488673,0,1770.09120544146,-869.344613123328,125
-1.5,-2,-5,0.2,0.2,,-2.2170702326469,-3.53980515892935,-5.19605332166886,0.214020068253974,0.242726641829472,0,1770.09115699217,-869.344588898682,119
