a_log,a12,h_log,kr_log,sigma,sigma2,error,a_log.est,a12.est,h_log.est,kr_log.est,sigma.est,sigma2.est,converge,BIC,logLik,strtpt
-3,-5e-04,-2,-0.5,0.2,0.2,function cannot be evaluated at initial parameters,,,,,,,,,,576
-1,-5e-04,-1,-1.125,0.2,0.2,,-2.22480011934356,-0.000213666566199047,-2.99304997037607,-0.676841799605596,0.211923766387431,0.240799766087781,0,1762.68189405865,-862.499759512443,480
-3,-0.00035,-1,-1.75,0.2,0.2,function cannot be evaluated at initial parameters,,,,,,,,,,356
-2,-5e-04,-2,-0.5,0.2,0.2,function cannot be evaluated at initial parameters,,,,,,,,,,578
-3,-5e-05,-5,-0.5,0.2,0.2,,-2.24086984906851,-0.000208841246366663,-3.10647480024469,-0.958763803695557,0.21108004525069,0.242653416851723,0,1762.03357538033,-862.175600173285,516
-3,-2e-04,-4,-2.375,0.2,0.2,,-2.31314343741497,-0.00019588831396707,-3.24659083946598,-3.32478354471831,0.211337437070429,0.242301844975536,0,1764.98198872175,-863.649806843992,161
-1,-5e-05,-3,-2.375,0.2,0.2,,-2.30360797529716,-0.000196229622967443,-3.19813166344601,-2.57220289485751,0.211539085670767,0.242666316332323,0,1764.1553264843,-863.236475725267,195
-2,-5e-05,-4,-2.375,0.2,0.2,,-2.24163053616696,-0.000208561150727702,-3.10908601707809,-0.961307435574849,0.211161524890703,0.242721557599081,0,1762.03342385971,-862.175524412973,168
-1,-0.00035,-2,-2.375,0.2,0.2,,-2.23970388354142,-0.000208882045486444,-3.10331920307179,-0.959101610378962,0.211088409399153,0.242568609285685,0,1762.03464301869,-862.176133992463,210
-3,-5e-05,-2,-1.75,0.2,0.2,,-2.24720837505174,-0.000207417946092176,-3.11944613205311,-1.03492134225159,0.211130056766447,0.242666026692432,0,1762.04417415935,-862.180899562793,341
-2.5,-2e-04,-1,-1.125,0.2,0.2,function cannot be evaluated at initial parameters,,,,,,,,,,487
-2.5,-5e-05,-3,-1.75,0.2,0.2,,-2.24171382104253,-0.000208504546461203,-3.10853299791544,-0.966113510137519,0.211081825443351,0.242870407392719,0,1762.0337881317,-862.175706548972,317
-2,-2e-04,-3,-2.375,0.2,0.2,,-2.24163609177791,-0.000208583518061475,-3.10771687265078,-0.964248106915406,0.211125771319772,0.24271437649882,0,1762.03331138267,-862.175468174454,188
-1.5,-0.00035,-5,-3,0.2,0.2,,-2.24125898319903,-0.000208679370770348,-3.10736193199962,-0.960898287590827,0.211156234624098,0.242750114673761,0,1762.03334913109,-862.175487048666,9
-3,-5e-05,-2,-2.375,0.2,0.2,,-2.24151696156662,-0.000208585415211365,-3.10743155785347,-0.963725410120415,0.211134865602866,0.242708626354305,0,1762.03332917224,-862.175477069241,216
-1,-5e-04,-2,-0.5,0.2,0.2,,-2.2419259450652,-0.000208542060190489,-3.10946050285559,-0.962980153429791,0.211120511935568,0.242822529211807,0,1762.03353305638,-862.175579011309,580
-3,-2e-04,-4,-1.75,0.2,0.2,,-2.33066831989737,-0.000190305469786053,-3.26268133992721,-3.82961636079167,0.211715467974497,0.242718028254443,0,1765.28095757832,-863.799291272282,286
