a_log,h_log,sigma,sigma2,error,a_log.est,h_log.est,sigma.est,sigma2.est,converge,BIC,logLik,strtpt
-1,-1,0.2,0.2,,-2.74991411197163,-3.26475059536875,0.227464366227931,0.242796919570222,0,1829.12818893309,-902.003302788626,100
-3,-5,0.2,0.2,,-2.74949555250876,-3.26470602367709,0.22741006015087,0.242818788736997,0,1829.1281812738,-902.003298958981,1
-1.66666666666667,-2.77777777777778,0.2,0.2,,-2.74968988260468,-3.26422696271586,0.227450311276419,0.242769533504055,0,1829.12816939986,-902.003293022012,57
-1.66666666666667,-1,0.2,0.2,,-2.75046298273619,-3.26660110839959,0.227444004554003,0.24280378069926,0,1829.12825844237,-902.003337543267,97
-2.33333333333333,-2.77777777777778,0.2,0.2,,-2.74945263395572,-3.2643821512396,0.227416462312593,0.242791531856077,0,1829.12816136142,-902.003289002789,54
-2.11111111111111,-1,0.2,0.2,,-2.7489928525039,-3.26599349364514,0.227499330626261,0.242824325909119,0,1829.12848471222,-902.003450678191,95
-2.55555555555556,-4.55555555555556,0.2,0.2,,-2.74952616018823,-3.26467009804227,0.227421285440229,0.242779780078389,0,1829.12815253962,-902.003284591891,13
-2.77777777777778,-2.33333333333333,0.2,0.2,,-2.74989619637157,-3.26642913817771,0.227435729450474,0.242842262089905,0,1829.12822968302,-902.003323163589,62
-1.88888888888889,-5,0.2,0.2,,-2.74954414007606,-3.26465219881536,0.227425265237394,0.242799662819419,0,1829.12815363526,-902.00328513971,6
-2.33333333333333,-5,0.2,0.2,,-2.7496660964845,-3.26606254467592,0.227431944402137,0.242786443419208,0,1829.12816876055,-902.003292702354,4
-2.77777777777778,-3.22222222222222,0.2,0.2,,-2.74964947003572,-3.26423488151551,0.227390223832554,0.242777573333824,0,1829.12818642581,-902.003301534984,42
-1.88888888888889,-1.44444444444444,0.2,0.2,,-2.74975581552558,-3.26517214554337,0.227410735391957,0.242785152734982,0,1829.12815135314,-902.003283998648,86
-1.66666666666667,-4.11111111111111,0.2,0.2,,-2.74958797253081,-3.26493019905499,0.227429365722168,0.242767065903121,0,1829.12815336435,-902.003285004255,27
-2.55555555555556,-1.88888888888889,0.2,0.2,,-2.75044067739394,-3.26736139721135,0.227422863532525,0.242790697766318,0,1829.12825643911,-902.003336541634,73
-1,-2.33333333333333,0.2,0.2,,-2.74972531529924,-3.26333961536273,0.2273706531717,0.242847008429584,0,1829.12834273747,-902.003379690815,70
-2.11111111111111,-5,0.2,0.2,,-2.74975346800162,-3.26580041351985,0.227435145233108,0.242741337691871,0,1829.12818859806,-902.00330262111,5
-2.77777777777778,-1,0.2,0.2,,-2.74990827107733,-3.26478970638959,0.227425179991274,0.242789675214405,0,1829.128159921,-902.003288282578,92
