a_log,a12,h_log,sigma,sigma2,error,a_log.est,a12.est,h_log.est,sigma.est,sigma2.est,converge,BIC,logLik,strtpt
-1.5,1e-04,-1,0.2,0.2,,-1.90789323462074,-0.000297071335030543,-0.73660510856944,0.253138249160182,0.244823435044791,0,1937.25141451976,-952.92471766248,124
-3,-5e-04,-1,0.2,0.2,function cannot be evaluated at initial parameters,,,,,,,,,101
-1.5,-0.00035,-4,0.2,0.2,,-2.33202389654092,-0.000190614298357315,-3.25785708199195,0.211877162322979,0.242768354237938,0,1759.53797649,-864.067998647599,34
-2,1e-04,-4,0.2,0.2,,-2.44369269502557,-0.000177424632500197,-4.63574194785944,0.215634085219543,0.242587492928663,0,1787.156777348,-877.877399076599,48
-1,-0.00035,-3,0.2,0.2,,-2.03246695529022,-0.0002628636750356,-2.05169143724737,0.222611403729769,0.244770671760088,0,1805.67610059517,-887.137060700187,60
-2.5,-2e-04,-5,0.2,0.2,,-2.33169356702781,-0.000190631640012063,-3.2563772138562,0.211902802236299,0.242741691246842,0,1759.53793800973,-864.067979407465,12
-3,-2e-04,-1,0.2,0.2,function cannot be evaluated at initial parameters,,,,,,,,,111
-2.5,-5e-05,-2,0.2,0.2,,-2.33195680452236,-0.000190567280189664,-3.25781714112761,0.2118652209666,0.242714246332463,0,1759.53793527774,-864.067978041468,92
-2.5,-5e-05,-1,0.2,0.2,,-2.33179293658462,-0.000190599860404772,-3.25707096155684,0.211887056864466,0.242736622454795,0,1759.53791487295,-864.067967839073,117
-1,1e-04,-4,0.2,0.2,,-2.35130511951669,-0.00018671306665686,-3.3565171764239,0.211939785017719,0.242812289967964,0,1759.76690788945,-864.182464347323,50
-2.5,-0.00035,-5,0.2,0.2,,-2.33164078666475,-0.000190619386118721,-3.25694562684464,0.211878315370462,0.242690201914065,0,1759.53795554055,-864.067988172876,7
-3,-0.00035,-4,0.2,0.2,function cannot be evaluated at initial parameters,,,,,,,,,31
-1,-5e-04,-1,0.2,0.2,,-2.33201802607218,-0.000190583239831458,-3.25657877986037,0.211898529598678,0.242769362106157,0,1759.53798543047,-864.068003117834,105
-3,-2e-04,-4,0.2,0.2,,-2.33167585262131,-0.000190657550108856,-3.25713050512242,0.211900759335977,0.242753776686308,0,1759.53794498126,-864.067982893231,36
-1,-5e-05,-1,0.2,0.2,,-1.78773832235942,-0.0003375494583642,-0.227452737225739,0.266344693170739,0.244777130462085,0,1991.93320622299,-980.265613514094,120
-2.5,-5e-04,-3,0.2,0.2,function cannot be evaluated at initial parameters,,,,,,,,,52
-1,-5e-05,-2,0.2,0.2,,-2.66270982894351,-0.000134649333390769,-6.59154959171872,0.22167501508553,0.243366308864095,0,1805.15187052118,-886.87494566319,95
-2,-0.00035,-4,0.2,0.2,,-2.33224703757404,-0.000190461287311013,-3.25889525950124,0.211912933661269,0.242734942941758,0,1759.53802614838,-864.068023476788,33
-3,-5e-04,-2,0.2,0.2,function cannot be evaluated at initial parameters,,,,,,,,,76
-1.5,-0.00035,-1,0.2,0.2,,-2.33195075568861,-0.000190553423707507,-3.25740397999748,0.211893741681401,0.242742643129542,0,1759.5379224231,-864.06797161415,109
-1.5,-0.00035,-5,0.2,0.2,,-2.33155841141372,-0.000190709827281111,-3.2568667195499,0.211894612365187,0.242704193853536,0,1759.53796149124,-864.067991148221,9
-3,-5e-05,-4,0.2,0.2,,-2.33203235499885,-0.000190548590848711,-3.25751491471059,0.211902290243776,0.242736341760149,0,1759.53792970013,-864.067975252662,41
-3,-0.00035,-3,0.2,0.2,function cannot be evaluated at initial parameters,,,,,,,,,56
-2,-5e-05,-3,0.2,0.2,,-2.33192797187985,-0.000190586939486085,-3.25721936272735,0.211888692301874,0.242747113022365,0,1759.53792122111,-864.067971013155,68
-1.5,-5e-04,-4,0.2,0.2,,-2.33196728419291,-0.000190558032552205,-3.25735985941715,0.211869270139002,0.242744168242268,0,1759.53792333479,-864.067972069996,29
-2.5,1e-04,-4,0.2,0.2,,-2.33196941904037,-0.000190545074567447,-3.25738725469647,0.211823384157896,0.242724870020905,0,1759.53800031744,-864.06801056132,47
-1,-5e-04,-3,0.2,0.2,,-2.33159488384936,-0.000190664500217161,-3.25740765702099,0.211870338752666,0.242727412307489,0,1759.53795035503,-864.067985580115,55
-1,1e-04,-5,0.2,0.2,,-2.11196977152076,-0.000243720634980857,-2.53286829757503,0.216330957090943,0.244012108082608,0,1777.11816939807,-872.858095101636,25
-2,-5e-05,-2,0.2,0.2,,-2.331774682008,-0.000190621396396091,-3.25825294102107,0.211917633191281,0.24279222691363,0,1759.53807219888,-864.068046502041,93
-2,-2e-04,-5,0.2,0.2,,-2.33198769631573,-0.000190652382381255,-3.25743403398319,0.211923598206715,0.242722201088401,0,1759.53800989815,-864.068015351677,13
-2.5,-5e-04,-5,0.2,0.2,function cannot be evaluated at initial parameters,,,,,,,,,2
-2,-5e-04,-5,0.2,0.2,,-2.55184253186702,-0.000149387600712785,-4.45990392978296,0.21618953775163,0.242676253239274,0,1779.45397847976,-874.025999642477,3
