r1_log,r2_log,alpha11,alpha22,alpha12,alpha21,sigma,sigma2,error,r1_log.est,r2_log.est,alpha11.est,alpha12.est,alpha22.est,alpha21.est,sigma.est,sigma2.est,converge,BIC,logLik,strtpt
0.5,-1,0.001,0.001,5e-04,0.005,0.2,0.2,,-1.08706922601383,-1.97571787801791,0.00139285912710584,0.00179016812854839,0.00180324044356279,0.00084126673631218,0.240552264252217,0.231566938143444,0,11.9544329675038,15.411213639118,2300
-2,-5,0.005,0.001,0.001,0.001,0.2,0.2,,-1.03137304804603,-1.8690456368419,0.00147799902393112,0.00179072337813998,0.00183862054466725,0.000880570279800746,0.237055525336846,0.229230097313133,0,11.4095597202297,15.683650262755,3425
0.5,-0.5,0.005,0.001,5e-04,0.001,0.2,0.2,,-1.02621495441029,-1.89206929902862,0.00141555722642114,0.00181371275839063,0.00190719472588826,0.000828195542784774,0.23564554051889,0.231016210318636,0,11.1792499829608,15.7988051313895,3312
0.5,-3,5e-04,5e-04,0.001,0.001,0.2,0.2,non-finite finite-difference value [2],,,,,,,,,,,,3848
-2,-0.5,5e-04,5e-04,0.001,5e-04,0.2,0.2,,-1.04425900034988,-2.04616451779721,0.00144024340902979,0.00173060962371797,0.00146132420323738,0.000720485035708535,0.238214426062226,0.231395740275521,0,12.3117948436935,15.2325327010231,269
0.5,-5,0.001,0.001,0.001,0.005,0.2,0.2,,-1.04491578445077,-6.11102657333051,0.0014794686889744,0.00173862872393492,-0.034366385771657,-0.0530124012617456,0.237794916472746,0.247329836168133,0,44.8688532376807,-1.04599649597045,2516
-1,-0.5,0.001,5e-04,0.001,0.001,0.2,0.2,,-1.03591132959865,-1.8611182711983,0.00146993208492626,0.00178458070954387,0.00186389818775841,0.000856490720492752,0.237482538595526,0.229102505086072,0,11.3750349368263,15.7009126544567,1310
-0.5,-0.5,0.005,0.001,5e-04,0.001,0.2,0.2,,-1.03744223985902,-1.9000395609757,0.00145741851576136,0.00176524665587168,0.00176832997170117,0.000885991094343137,0.237499097857376,0.230375994467571,0,11.3286721902633,15.7240940277382,1263
0.5,-0.5,0.001,0.005,0.005,0.005,0.2,0.2,,-1.03109231710285,-1.89713491858106,0.00144877275769507,0.00177680889198021,0.00183720500962976,0.000853960773835028,0.237122298631105,0.229288861672965,0,11.2626926081665,15.7570838187866,2752
-2,-3,0.001,0.001,0.001,0.001,0.2,0.2,,-1.02958027188409,-1.88343782013471,0.00147713509068185,0.00176849980044127,0.00176647743001899,0.000838980400026754,0.237001573390348,0.229567178769427,0,11.4328229066403,15.6720186695497,4085
-2,-0.5,0.005,0.005,0.001,0.005,0.2,0.2,,-0.991685951307373,-2.78941943134823,0.00140890223058037,0.00184736916153048,0.000735880452201712,-0.00032460375173768,0.242406184216645,0.237125555873502,0,24.6713216730633,9.05276928633823,2989
-0.5,-5,5e-04,0.005,0.005,0.001,0.2,0.2,,-1.0310351669068,-1.87077479065653,0.00147803659282084,0.00179036568899615,0.0018381126115815,0.000877169798532548,0.237059462468619,0.229228697800236,0,11.4099528258851,15.6834537099273,1667
0.5,-3,0.005,0.001,5e-04,5e-04,0.2,0.2,,-1.03524045691907,-3.25410861742848,0.00147479202036472,0.00176397835828485,-0.000389713586345395,-0.000791344820965302,0.235130875866269,0.240398220434881,0,31.4970091159311,5.63992556490432,104
-2,-5,5e-04,0.001,0.005,0.001,0.2,0.2,,-1.03432784364836,-4.23746616045387,0.00146490463626768,0.00175615354558678,-0.00273371334176911,-0.00598009189230183,0.234656599515432,0.2461833834786,0,40.0322566110289,1.37230181735542,1729
0.5,-5,5e-04,5e-04,5e-04,0.001,0.2,0.2,non-finite finite-difference value [2],,,,,,,,,,,,3076
-1,-1,0.005,0.001,5e-04,0.001,0.2,0.2,,-1.03357062510236,-1.87736754613699,0.00147686871792295,0.00178729765605706,0.00182158728378937,0.000871272239832448,0.23735817782373,0.229710442411015,0,11.403513669479,15.6866732881304,1130
-0.5,-5,5e-04,0.001,5e-04,0.001,0.2,0.2,,-1.03224639940797,-1.8624831887444,0.00147539393778359,0.00178864157759628,0.00186501152855269,0.000884994447570931,0.237295731287202,0.2288949834183,0,11.4026129023729,15.6871236716834,1091
-0.5,-5,0.005,0.001,0.001,0.001,0.2,0.2,,-1.07011972967105,-4.81227916455211,0.00141926655502099,0.00179124514359111,-0.0089386724665916,-0.0114377120543154,0.237191142581681,0.248196477187504,0,42.3549317721125,0.210964236813643,3427
-0.5,-0.5,0.005,0.001,0.005,0.001,0.2,0.2,,-1.03136547981305,-1.88725804983967,0.00147799638602829,0.00177750416266783,0.00170882691014958,0.000928560463863859,0.237051699157767,0.229432104472491,0,11.4496555786269,15.6636023335564,1775
-0.5,-3,0.001,0.001,0.001,5e-04,0.2,0.2,,-1.03053909931928,-1.8613325552827,0.00145611194101277,0.00176705865598679,0.00160320755251199,0.000861428208763179,0.23464964348888,0.228854264488704,0,11.4993394879505,15.6387603788946,503
0.5,-0.5,0.005,0.005,0.005,0.001,0.2,0.2,non-finite finite-difference value [5],,,,,,,,,,,,1712
-0.5,-3,0.005,0.001,0.001,0.005,0.2,0.2,,-1.11983343341652,-1.88717962665934,0.00135073518879452,0.00178045809006898,0.00176862288548354,0.00087024237032127,0.244626893334782,0.231120185020137,0,12.4738637682814,15.1514982387292,2919
-2,-0.5,5e-04,0.001,0.001,0.005,0.2,0.2,,-1.03144911771162,-1.86931246867047,0.00147294564645005,0.00176053468628576,0.00178892290746493,0.000898472306647925,0.237073174676011,0.229225843641298,0,11.3865389005846,15.6951606725776,2509
-1,-1,0.001,0.001,0.005,0.001,0.2,0.2,,-1.03065456882723,-1.87129873939831,0.00147468049609579,0.00180247751668507,0.00180430100525717,0.000905188582198435,0.236605251403497,0.229494232779593,0,11.3877254970866,15.6945673743266,1658
-0.5,-3,0.001,0.005,0.005,0.005,0.2,0.2,,-1.05038161701879,-1.88547879759263,0.0013962873789193,0.00175886225800053,0.00178909786306509,0.000852646831593683,0.240104083967038,0.231011763074197,0,11.2175099129863,15.7796751663767,2711
-1,-3,0.001,0.005,5e-04,0.001,0.2,0.2,,-1.03122876451283,-1.8687660040927,0.00147830305997205,0.00178856299975145,0.00183058829187614,0.000879023214722859,0.237079769519474,0.229293023028258,0,11.4102691058127,15.6832955699635,1206
0.5,-0.5,0.005,5e-04,0.001,0.005,0.2,0.2,non-finite finite-difference value [5],,,,,,,,,,,,2352
-1,-0.5,0.005,0.005,0.005,0.001,0.2,0.2,,-1.02111669795583,-1.86764378690473,0.00139724025262812,0.00182352883348175,0.00183265693396691,0.000889133251699192,0.23822064067853,0.228698757570444,0,11.0822717959712,15.8472942248843,1710
-1,-3,5e-04,0.001,0.001,0.005,0.2,0.2,,-1.04312315164818,-1.85170247349858,0.00143864770111879,0.00185392263904165,0.00181479416742229,0.000889962493801809,0.235991214878597,0.228950351488198,0,11.2557693575559,15.7605454440919,2374
0.5,-0.5,0.005,0.005,0.001,0.005,0.2,0.2,,-1.03213974800855,-1.86663331461934,0.00147408697294606,0.00178976775665727,0.00182454953511349,0.000905938595845067,0.237383628098058,0.229181054520063,0,11.3835104225896,15.6966749115751,2992
-1,-1,0.001,5e-04,0.001,0.001,0.2,0.2,,-1.03046231531051,-1.86970680590802,0.00147660376711402,0.00179047577014555,0.00185386074864435,0.000884442557737214,0.237117238343907,0.229228922693848,0,11.4049296244542,15.6859653106428,3898
-1,-0.5,0.001,0.001,0.001,0.005,0.2,0.2,,-1.02728976150574,-1.92945567699676,0.00145461296709555,0.00179622474508497,0.00167962985099703,0.00087922038813396,0.236297623707819,0.23072313880702,0,11.4163342664341,15.6802629896528,3070
-2,-0.5,0.001,0.005,0.005,0.005,0.2,0.2,,-1.00644611189141,-1.729734376154,0.00141141081441315,0.00180044656974468,0.0019451716670601,0.000975054136334775,0.240171822449269,0.230004711199219,0,12.140876625384,15.3179918101779,2749
0.5,-3,5e-04,0.005,5e-04,0.005,0.2,0.2,non-finite finite-difference value [2],,,,,,,,,,,,2184
-2,-5,0.005,0.001,0.001,0.005,0.2,0.2,,-1.04523470826624,-4.14237008670395,0.00142695896720874,0.00182586178054972,0.00194951058701407,-0.00755898598857241,0.230510498911378,0.242241710157231,0,40.4611866310651,1.15783680733731,2401
-2,-5,0.001,0.001,5e-04,0.005,0.2,0.2,,-1.03292028449173,-1.86260834968876,0.00147316521354296,0.00178979865286407,0.00183781003102526,0.000880212046108978,0.237228933803166,0.229146746363703,0,11.3762896817972,15.7002852819713,2289
-1,-1,0.005,0.005,0.001,0.001,0.2,0.2,,-1.03366052192253,-1.8658947366117,0.0014749599603605,0.00178979104155669,0.00184501045435838,0.000893071398414927,0.237332480716902,0.229020108787652,0,11.3923694232033,15.6922454112682,3498
-2,-3,0.001,0.001,0.001,0.001,0.2,0.2,,-1.02958027188409,-1.88343782013471,0.00147713509068185,0.00176849980044127,0.00176647743001899,0.000838980400026754,0.237001573390348,0.229567178769427,0,11.4328229066403,15.6720186695497,1397
