a_log,h_log,h12,log_w,sigma,sigma2,error,a_log.est,h_log.est,h12.est,log_w.est,sigma.est,sigma2.est,converge,BIC,logLik,strtpt
-1.5,-1,-5e-05,-5,0.2,0.2,,-2.21408311151921,-2.6482629802842,-0.00010034665644719,-5.19591529655846,0.202367939022166,0.247037597638498,0,1795.24330916908,-878.780467067661,599
-2,-4,-5e-05,-8.75,0.2,0.2,,-2.55967205461013,-3.24782658909697,0.000428475138422929,-9.75048402233995,0.230556526970352,0.236294539386154,0,1817.93340678981,-890.125515878025,208
-2.5,-5,-5e-04,-5,0.2,0.2,,-2.5513095945118,-4.55107512300846,0.000602814822268762,-9.33652838444047,0.219647794932253,0.242010782561551,0,1804.15951364825,-883.238569307242,502
-2.5,-1,-0.00035,-5,0.2,0.2,,-2.53667855833017,-1.38427864822417,-0.000519355445835074,-5.52042240179594,0.244376383468179,0.242311585802457,0,1895.59293869641,-928.955281831323,547
-2,-1,-5e-05,-8.75,0.2,0.2,,-2.19916764628359,-1.20481182101556,-0.000590289985508134,-5.11691711726565,0.260314663237144,0.235978133467229,0,1902.03418278433,-932.175903875286,223
-1.5,-1,-5e-05,-6.25,0.2,0.2,,-2.21408311151921,-2.6482629802842,-0.00010034665644719,-5.19591529655846,0.202367939022166,0.247037597638498,0,1795.24330916908,-878.780467067661,474
-1,-1,1e-04,-6.25,0.2,0.2,,-2.7277908444982,-1.70330225404341,5.63329232333925e-05,-11.9440225834763,0.253648754606057,0.229252186386064,0,1900.8863639953,-931.601994480769,500
-2.5,-3,1e-04,-8.75,0.2,0.2,,-2.57704326824854,-4.29722102385282,0.000243476690880356,-6.12355791585686,0.218532611494832,0.237881140367954,0,1790.36541995091,-876.341522458572,237
-3,-3,-2e-04,-10,0.2,0.2,,-2.60684402778133,-232.632088659891,0.000683133834479975,-45.6125182905761,0.220336706092837,0.242710921821018,0,1807.58935046416,-884.953487715201,61
-1.5,-1,-5e-04,-7.5,0.2,0.2,,-1.82534777968836,-2.87183861303332,-0.00012264844908605,-4.25980698779077,0.21725471022361,0.24589226986748,0,1786.02173140608,-874.169678186161,274
-2.5,-5,-0.00035,-10,0.2,0.2,,-2.55990128033011,-4.21237014975631,0.000569104877661451,-10.2216862751008,0.220302835106209,0.242418612558478,0,1805.87346454323,-884.095544754736,27
-3,-1,1e-04,-10,0.2,0.2,,-2.19049214411413,-3.43016686891328,0.000102902325300151,-5.09156281072477,0.213823020264677,0.242774857607067,0,1776.20268062893,-869.260152797584,121
-2,-3,-2e-04,-5,0.2,0.2,,-2.45521880870571,-5.77406885074612,0.000484628589160482,-6.04638669482878,0.216476083001816,0.24266433890695,0,1789.36076987281,-875.839197419526,563
-3,-5,-5e-04,-8.75,0.2,0.2,,-2.2517660156663,-4.32532920084901,0.000424804031305584,-5.56935286737173,0.215701781290256,0.242587032798916,0,1783.07143924832,-872.694532107281,126
-1,-3,-0.00035,-8.75,0.2,0.2,,-2.48085106666513,-1.88266052270348,0.00025195635228436,-9.79946078478888,0.237653216110074,0.246367740038644,0,1873.81907324155,-918.068349103892,165
-2,-3,-2e-04,-6.25,0.2,0.2,,-2.45521880870571,-5.77406885074612,0.000484628589160482,-6.04638669482878,0.216476083001816,0.24266433890695,0,1789.36076987281,-875.839197419526,438
