a_log,h12,h_log,sigma,sigma2,error,a_log.est,h_log.est,h12.est,sigma.est,sigma2.est,converge,BIC,logLik,strtpt
-2,-5e-04,-5,0.2,0.2,,-2.57362684874547,-4.91408463279175,0.000631935696111866,0.220001810302483,0.242738592803601,0,1799.5325712204,-884.065296012797,3
-2.5,-0.00035,-4,0.2,0.2,,-2.54216499907603,-3.84487615000937,0.000550452137054794,0.220375989067372,0.242948629711488,0,1802.32680433135,-885.462412568276,32
-3,-0.00035,-1,0.2,0.2,,-2.57112069503418,-4.82009735244878,0.000626987439855081,0.219983211535064,0.242723138098325,0,1799.52068044228,-884.059350623739,106
-2.5,-5e-04,-4,0.2,0.2,,-2.54212280059549,-3.84799266107844,0.000551082236827303,0.220386519635334,0.242963872043981,0,1802.30261802892,-885.450319417059,27
-2,1e-04,-4,0.2,0.2,,-2.56200687995726,-4.37124591685761,0.000594482376038995,0.219919751797675,0.243025373414131,0,1799.92905329951,-884.263537052354,48
-2.5,-5e-05,-5,0.2,0.2,,-2.55123185515814,-4.52218404158649,0.00062226895488862,0.220166247876786,0.242779554714702,0,1799.70622742503,-884.152124115113,17
-1,-0.00035,-5,0.2,0.2,,-2.58366317269472,-5.41480281361653,0.000651855439284338,0.220099950494523,0.24272500395243,0,1799.83671787383,-884.217369339513,10
-3,-2e-04,-5,0.2,0.2,,-2.6067126944845,-18.8785664083049,0.00068252295448919,0.220345393586403,0.242689541126784,0,1801.30896490981,-884.953492857503,11
-2.5,-5e-05,-2,0.2,0.2,,-2.57083314761241,-4.81840403048447,0.000627304587020596,0.219980646915275,0.242710442166085,0,1799.52067638674,-884.05934859597,92
-2,1e-04,-1,0.2,0.2,,-2.57104750663297,-4.81266537869503,0.000628328192595668,0.219988409157634,0.242675649435644,0,1799.52096095762,-884.059490881412,123
-2,-5e-05,-5,0.2,0.2,,-2.57530707458066,-4.99824682745263,0.000636308520511823,0.220047695108472,0.242707091790129,0,1799.56029299395,-884.079156899576,18
-3,-5e-04,-1,0.2,0.2,,-2.57084718856364,-4.8147445233865,0.000626869371146266,0.220025094957374,0.242703248149999,0,1799.52074999049,-884.059385397846,101
-2,-5e-04,-1,0.2,0.2,,-2.58322600560661,-4.62098364172104,0.000596297278837651,0.220104014901242,0.243505949187449,0,1799.66550462533,-884.131762715266,103
-1.5,-0.00035,-2,0.2,0.2,,-2.57089154912947,-4.82602184055958,0.000629384602868494,0.219997922975839,0.242711070844738,0,1799.52090224934,-884.059461527271,84
-2,1e-04,-5,0.2,0.2,,-2.56710337072053,-4.67530564895226,0.000618876930467636,0.219987003131071,0.242708703926857,0,1799.55349098009,-884.075755892647,23
-3,-0.00035,-3,0.2,0.2,,-2.57088965307613,-4.81703708808825,0.000626531075165253,0.219996677577515,0.242713540672707,0,1799.52070477659,-884.059362790896,56
-2.5,-0.00035,-2,0.2,0.2,,-2.57086476845512,-4.81859190887851,0.000627163538496633,0.219996863178125,0.242710950487151,0,1799.52068248992,-884.059351647559,82
-3,1e-04,-2,0.2,0.2,,-2.57081614349327,-4.81932536700155,0.000627779246230581,0.21997671884474,0.242702021938476,0,1799.5206901481,-884.059355476648,96
-1.5,-0.00035,-1,0.2,0.2,,-2.57037229382194,-4.82259422546277,0.000628925514070812,0.219911986456253,0.242729028302145,0,1799.52092897634,-884.059474890772,109
-2.5,-5e-05,-4,0.2,0.2,,-2.53495814435026,-3.869994267625,0.000562109859884609,0.220631191886874,0.244047833004171,0,1802.17113295571,-885.384576880455,42
-2,-2e-04,-1,0.2,0.2,,-2.57005693013921,-4.81987774780216,0.000627661434061369,0.220096099606473,0.242574064308907,0,1799.52154166303,-884.059781234117,113
-2.5,-0.00035,-1,0.2,0.2,,-2.57130243014017,-4.815496177922,0.000626380914630664,0.219970333587619,0.242731124973968,0,1799.52074093083,-884.059380868017,107
-2.5,1e-04,-3,0.2,0.2,,-2.57041893551698,-4.81750731629467,0.000626642310591903,0.220017647802524,0.242691426060073,0,1799.52083648921,-884.059428647203,72
-1,-5e-05,-1,0.2,0.2,,-2.57086281330679,-4.81727504392717,0.000627180876539773,0.219978589475956,0.24270074349143,0,1799.52068124845,-884.059351026826,120
-3,-5e-05,-5,0.2,0.2,,-2.57102420278135,-4.8102968817189,0.000625607458927575,0.219989033450139,0.242590916486544,0,1799.52111490869,-884.059567856944,16
-2,-2e-04,-4,0.2,0.2,,-2.49153890173904,-3.22714298414102,0.000509340387917244,0.223505874397162,0.244332738046512,0,1810.89556356727,-889.746792186236,38
