a_log,h_log,log_w,kr_log,sigma,sigma2,error,a_log.est,h_log.est,log_w.est,kr_log.est,sigma.est,sigma2.est,converge,BIC,logLik,strtpt
-1.5,-1,-7.5,-2.375,0.2,0.2,,-2.19844806983687,-3.49980400523776,-2.0576596864223,-5.24459106999277,0.213612455856028,0.242322991661887,0,1774.36976741917,-868.343696192703,199
-2.5,-2,-8.75,-1.75,0.2,0.2,,-2.14289650321746,-3.4039117448647,-1.05056669593599,-5.22709339392253,0.213385348487419,0.242736372845316,0,1773.36240893619,-867.840016951217,292
-2.5,-1,-7.5,-1.75,0.2,0.2,,-2.21106885048273,-3.52457027571505,-3.20803061259317,-5.21865402765305,0.213969027718822,0.242844623897145,0,1775.55419832312,-868.935911644679,322
-2.5,-2,-5,-0.5,0.2,0.2,,-2.14623864157616,-3.39880791573997,-1.05972924097302,-5.23245607795511,0.213227832665419,0.24269606509588,0,1773.36164058132,-867.839632773778,617
-2.5,-5,-5,-3,0.2,0.2,,-2.2169543856326,-3.53690085607229,-6.15393719219432,-5.19931059949852,0.213868506235117,0.242699829884573,0,1776.32365459393,-869.320639780083,102
-2.5,-3,-7.5,-2.375,0.2,0.2,,-2.21755756754114,-3.52784353356378,-4.68686773386806,-5.20840864654443,0.213924055323254,0.242358998073799,0,1776.17135167529,-869.244488320764,187
-2.5,-2,-8.75,-1.125,0.2,0.2,,-2.14434674665883,-3.39832714061488,-1.06318758769543,-5.23039347089029,0.213412679878478,0.242695563899208,0,1773.36069329207,-867.839159129156,417
-1,-5,-10,-1.125,0.2,0.2,,-2.15145205303933,-3.40158248532678,-1.17119089293784,-5.25176591577954,0.213056339635905,0.243697035173458,0,1773.4162630064,-867.866943986317,380
-2,-1,-5,-0.5,0.2,0.2,,-2.14511219106507,-3.39836780315854,-1.06046451434671,-5.23142593800672,0.21338857423458,0.242653418537719,0,1773.36071063609,-867.839167801166,623
-2.5,-4,-7.5,-2.375,0.2,0.2,,-2.14476379204789,-3.39919821718751,-1.0584206735295,-5.23228338835942,0.21335471555398,0.242681476784025,0,1773.36076363061,-867.839194298424,182
-2,-2,-8.75,-2.375,0.2,0.2,,-2.14536807592988,-3.40007968510543,-1.05988809398106,-5.23130264395809,0.213363030897485,0.242660775824092,0,1773.36073112671,-867.839178046476,168
-2,-3,-5,-3,0.2,0.2,,-2.2092721542494,-3.52439711961816,-3.69274030068504,-5.20385792301851,0.21380462040996,0.243021065304323,0,1775.84285387668,-869.080239421459,113
-2,-3,-8.75,-2.375,0.2,0.2,,-2.14486400766632,-3.39938858965292,-1.06139449994555,-5.2307603718784,0.213374370910528,0.242730535440261,0,1773.36061360485,-867.839119285545,163
-3,-3,-7.5,-0.5,0.2,0.2,,-2.12491358344582,-3.36061562005973,-0.763531079245014,-5.23557993784254,0.213643017850132,0.24272942316294,0,1773.54067904098,-867.929152003609,561
-2,-2,-5,-1.125,0.2,0.2,,-2.14384470058831,-3.39918572891897,-1.05811477062348,-5.22759291311631,0.213505238193015,0.242597947634053,0,1773.36134004881,-867.839482507523,493
-2.5,-5,-7.5,-0.5,0.2,0.2,,-2.21706581881357,-3.53879972458805,-8.28646211648294,-5.19583475224579,0.213996697744942,0.242688416276806,0,1776.36580697958,-869.341715972908,552
