a_log,h12,h_log,kr_log,sigma,sigma2,error,a_log.est,h_log.est,h12.est,kr_log.est,sigma.est,sigma2.est,converge,BIC,logLik,strtpt
-2.5,1e-04,-1,-0.5,0.2,0.2,,-2.5658228161293,-4.71949441237656,0.000623983642666407,-5.41755812982064,0.219929868054924,0.242726995143514,0,1805.59392917252,-883.955777069381,622
-3,1e-04,-2,-0.5,0.2,0.2,,-2.32785288473324,-4.08538049690538,0.000807730547303747,-0.0694085853813261,0.217771434518892,0.242732894687119,0,1792.56764065698,-877.442632811612,596
-2.5,-5e-05,-5,-2.375,0.2,0.2,,-2.52706584672731,-4.72317364604208,0.000663556536643378,-2.08610732818947,0.218952925185858,0.242742780519371,0,1800.81499925531,-881.566312110777,142
-3,-2e-04,-1,-3,0.2,0.2,,-2.24428444187089,-3.64425481351165,0.000824450945383214,0.400338576147481,0.21770643484925,0.243670162303967,0,1794.32693536833,-878.322280167285,111
-2.5,-5e-04,-3,-3,0.2,0.2,,-2.53884269687895,-4.83953935991056,0.000663378532024738,-2.65556118631158,0.219328623746905,0.243103351938171,0,1802.72970703457,-882.523666000406,52
-1,-2e-04,-5,-3,0.2,0.2,,-2.50102534330296,-3.79015789925744,0.000584838763509015,-2.97665122369428,0.220462432860919,0.244432360809501,0,1806.44328211771,-884.380453541974,15
-1,-0.00035,-3,-0.5,0.2,0.2,,-2.15212894909845,-3.25796778302918,0.000835065641894187,0.728531209444197,0.218347640214046,0.242872433051943,0,1798.68926099371,-880.503442979973,560
-1,1e-04,-3,-3,0.2,0.2,,-2.47409002026491,-3.41342949768883,0.000546035847747262,-1.44411135577979,0.220405838371905,0.242651232156291,0,1804.21066924566,-883.264147105947,75
-3,-5e-04,-1,-0.5,0.2,0.2,,-2.12587801344821,-3.42362743420858,0.000880673923345984,1.12534199938881,0.21890293401156,0.24368065898661,0,1799.93290592111,-881.125265443675,601
-3,-0.00035,-5,-1.125,0.2,0.2,,-2.4835098339266,-4.49857265136859,0.000690120711874737,-1.45069192872474,0.217998146853884,0.24285755320795,0,1797.82216084846,-880.06989290735,381
-2,-5e-05,-4,-1.125,0.2,0.2,,-2.38326720436822,-4.07230811476744,0.000746440827884306,-0.563732026402275,0.217146417008286,0.242019976941251,0,1793.63538728663,-877.976506126436,418
-2,-5e-04,-2,-2.375,0.2,0.2,,-2.57004071415894,-4.79792819872263,0.000626425641141056,-7.46483181211336,0.219964097838372,0.242698676856587,0,1805.77307953044,-884.045352248337,203
-3,-5e-05,-3,-1.125,0.2,0.2,,-2.38973085949136,-4.57098969148531,0.000804359233804201,-0.44588254302456,0.214539692270432,0.242239383496065,0,1793.70375397628,-878.010689471262,441
-2.5,-2e-04,-1,-0.5,0.2,0.2,,-2.33167005581877,-4.12144559789199,0.000807129939705227,-0.076874489085746,0.217211448175479,0.242864428833599,0,1792.5611790545,-877.439402010372,612
-1.5,-5e-05,-2,-1.75,0.2,0.2,,-2.43331655604077,-4.41886083117444,0.000735652595300743,-0.905730038969174,0.217642777622827,0.24229393774316,0,1794.98924894988,-878.653436958059,344
