a_log,h_log,log_w,sigma,sigma2,error,a_log.est,h_log.est,log_w.est,sigma.est,sigma2.est,converge,BIC,logLik,strtpt
-2,-1,-8.75,0.2,0.2,,-2.15517566329341,-3.27518827894399,-4.94902547968268,0.214078711987071,0.24274606958699,0,1770.51168296021,-869.554851882707,48
-2.5,-2,-6.25,0.2,0.2,,-2.15521335244888,-3.27567459153904,-4.94881694295167,0.214045457283428,0.242741151129015,0,1770.51169493633,-869.554857870765,92
-3,-1,-6.25,0.2,0.2,,-2.15526622320268,-3.27512859779143,-4.94949355345972,0.214068157225176,0.242747712049943,0,1770.51169199733,-869.554856401262,96
-1.5,-3,-6.25,0.2,0.2,,-2.15318259423431,-3.27388469503078,-4.94238331794973,0.214161235867636,0.242709472286268,0,1770.51248963036,-869.555255217778,89
-3,-5,-8.75,0.2,0.2,,-2.15502568139666,-3.27492548576555,-4.94873682392511,0.214099992297762,0.242724978842604,0,1770.51169964996,-869.554860227579,26
-1,-3,-8.75,0.2,0.2,,-2.15330770276417,-3.27418890764589,-4.94776381737442,0.214152110434073,0.242947901288144,0,1770.5133304137,-869.555675609449,40
-2,-4,-7.5,0.2,0.2,,-2.15518778666451,-3.27389524482859,-4.94797242386489,0.214081820273616,0.242821038474371,0,1770.51194768682,-869.554984246008,58
-2.5,-3,-6.25,0.2,0.2,,-2.15443031667411,-3.27404573316598,-4.94606881676898,0.214110166273699,0.242722231443196,0,1770.51185496246,-869.55493788383,87
-1.5,-2,-7.5,0.2,0.2,,-2.15470368070834,-3.27494312732625,-4.94727046221469,0.214067514958083,0.242694314444577,0,1770.51172603572,-869.554873420459,69
-3,-4,-7.5,0.2,0.2,,-2.15486818001794,-3.2743782423325,-4.9479650709992,0.214040257078871,0.242727927249551,0,1770.51171083302,-869.554865819111,56
-1.5,-2,-6.25,0.2,0.2,,-2.15482739567365,-3.27486160397418,-4.94867864405454,0.214070989237346,0.242700812584051,0,1770.51170760303,-869.554864204112,94
-1,-1,-10,0.2,0.2,,-2.15463493708009,-3.27451342813374,-4.94785201015493,0.214072334153997,0.242791405838977,0,1770.51175425045,-869.554887527826,25
-2,-3,-10,0.2,0.2,,-2.1549826576416,-3.27415466640689,-4.95030664819395,0.214054254793674,0.242717019517586,0,1770.51181133753,-869.554916071364,13
