"","a_log","h12","h_log","kr_log","r1_log","r2_log","alpha11","alpha22","alpha12","alpha21","c_log","sigma","sigma2","strtpt","error","a_log.est","h_log.est","h12.est","kr_log.est","r1_log.est","r2_log.est","alpha11.est","alpha12.est","alpha22.est","alpha21.est","c_log.est","sigma.est","sigma2.est","converge","BIC","logLik"
"60","-3","-5e-05","-5","-1.75","-0.5","-3","0.005","5e-04","5e-04","0.001","-15","0.2","0.2","164641","NaN","-11.5145393272368","-12.8667753332454","4.67404591342259","-15.9114090708846","-3.58991097142224","-6.51034876676941","0.00206715922130673","0.030619476784889","0.27599579830615","-0.0591822491059301","-2.47436737362582","0.525838822482381","0.280230053301362","0","3128.62936403551","-1523.68984294307"
"61","-3","-5e-04","-4","-2.375","-2","-0.5","0.005","0.005","5e-04","0.001","-15","0.2","0.2","200776","NaN","-29.5068718097024","94.8115726562723","8.66766403172103","-51.8588349956397","-8.19619036031007","-7.71765216980962","0.159679466384961","2.76296019136636","0.932089855012644","-0.195116280159078","2.26552761190239","0.5262514796202","0.279943103474677","0","3129.16606758767","-1523.95819471915"
"62","-3","-0.00035","-4","-2.375","-2","-3","0.005","0.001","0.001","0.001","-10","0.2","0.2","686406","NaN","NaN","NaN","NaN","NA","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"63","-2.5","1e-04","-5","-1.125","-0.5","-3","0.005","0.005","5e-04","0.005","-5","0.2","0.2","1261647","NaN","-2.09267936568728","-4.87633060595662","0.000499690696748697","-0.990742785208813","-1.30594979962628","-2.88151593920973","0.000556152982288649","0.00408446443841791","0.0117814249143496","-0.00120006384306447","-4.80515625215664","0.471577981218117","0.284598203624089","0","3030.96293820923","-1474.85663002993"
"64","-1.5","-0.00035","-1","-2.375","-0.5","-3","0.001","5e-04","0.005","0.001","-10","0.2","0.2","715859","NaN","-0.888205399413679","0.624634590725334","1.17091056063946","-2.65836891874558","-3.340255562515","-4.89961046050256","0.00166375290422112","0.0244628268590867","0.0578088909699109","-0.0112731117338249","-8.88886132191629","0.525693537008876","0.280097979135476","0","3127.78252415806","-1523.26642300434"
"65","-3","-0.00035","-3","-2.375","-1","-0.5","0.005","5e-04","0.005","5e-04","-10","0.2","0.2","572681","NaN","-1.36611283081946","-2.97637889704169","0.000783663540179722","1.97875133250883","-3.90894905908646","-3.4932192677449","0.000466368905034018","0.0389071823159197","0.015376475204121","-0.000218932885546954","-10.4390936256789","0.459798298047647","0.286147076182975","0","3041.97036565599","-1480.36034375331"
"66","-3","-0.00035","-2","-2.375","-1","-1","0.001","5e-04","5e-04","0.001","-10","0.2","0.2","615831","NaN","NaN","NaN","NaN","NA","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"67","-3","-0.00035","-2","-0.5","-2","-1","5e-04","0.001","0.005","0.005","-5","0.2","0.2","1335581","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"68","-1.5","-5e-05","-3","-3","-0.5","-1","0.005","5e-04","0.005","0.001","-15","0.2","0.2","267569","NaN","-1.54218748205636","-2.67762256829854","-0.000129492498311541","-2.13561908401082","-0.634977500113543","-1.80567270381359","0.000853292914484653","0.00129206338966144","0.00478762042407342","-0.000594910011989864","-14.4155609433892","0.492668911582126","0.323239679883345","0","3128.43334597725","-1523.59183391394"
"69","-2","-5e-04","-5","-0.5","-2","-1","5e-04","0.005","0.005","0.005","-10","0.2","0.2","896753","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"70","-1.5","-5e-05","-1","-0.5","-1","-1","0.001","0.001","0.001","0.001","-15","0.2","0.2","228119","NaN","-1.35953004230397","-1.95908021400589","1.87306771868579","4.50384978412201","-3.97144132212517","-4.6865254912616","0.00279365408642299","0.0436990522067815","0.0479186844497533","-0.00889902329125643","-17.1121131262799","0.524820918426656","0.280282264735582","0","3127.2654472566","-1523.00788455361"
"71","-2","1e-04","-5","-1.125","-1","-1","5e-04","5e-04","0.001","0.005","-10","0.2","0.2","812898","NaN","-1.4098280091168","-4.94382976589728","5.12785500422582e-05","-0.583254501350185","-0.41667616981228","-1.27382982550168","0.000511103638614777","0.00210229922584407","0.00510199093885397","0.000168628190904084","-8.44210584958157","0.415888236194905","0.329597682791329","0","3060.37606080283","-1489.56319132673"
"72","-2.5","-5e-05","-3","-0.5","-0.5","-0.5","5e-04","5e-04","5e-04","0.005","-15","0.2","0.2","309317","NaN","-2.18803948360691","-1.18065713017037","0.00155551061822649","2.0364020703788","-1.69731100111442","-1.76886539635673","0.000710306404574415","0.00647184454156097","0.00577937407852467","6.885725243759e-06","-15.7405929412433","0.541677560205098","0.29573996215876","0","3147.47916007686","-1533.11474096374"
