"","a_log","h_log","log_w","r1_log","r2_log","alpha11","alpha22","alpha12","alpha21","c_log","sigma","sigma2","strtpt","error","a_log.est","h_log.est","log_w.est","r1_log.est","r2_log.est","alpha11.est","alpha12.est","alpha22.est","alpha21.est","c_log.est","sigma.est","sigma2.est","converge","BIC","logLik"
"20","-2.5","-4","-7.5","-0.5","-3","5e-04","0.005","5e-04","0.005","-15","0.2","0.2","67807","NaN","-1.74639757732873","-4.61069095919362","-10.6476504666183","-0.82016051305608","-3.08562155406966","0.000500228422513996","0.00164831101954099","0.0126200497210148","-0.00147115226381936","-13.7333096057702","0.424475572585512","0.281240904125516","0","2907.37720612237","-1416.18875160763"
"21","-2.5","-4","-5","-1","-3","0.001","0.005","0.005","0.001","-15","0.2","0.2","58732","NaN","-1.74519402676524","-4.61939764506838","-10.4980119017553","-0.802607546339168","-3.44188833547773","0.000504455658941212","0.00166162896936905","0.0159444968535748","-0.00229486230908542","-15.429304978999","0.42323426127107","0.281921756179922","0","2903.87574013291","-1414.4380186129"
"22","-1","-1","-5","-2","-0.5","5e-04","0.005","5e-04","5e-04","-15","0.2","0.2","7625","NaN","-2.25870012182539","-0.307480935969085","-9.91146762162964","-1.37978625246871","-2.8772748810594","0.000695242550983107","0.00542160998740234","0.00971300190256629","-0.00125775644983784","-11.9020510270763","0.527966051569327","0.281232496121393","0","3126.76716889239","-1525.88373299264"
"23","-1","-4","-8.75","-2","-3","0.001","0.005","5e-04","0.005","-5","0.2","0.2","250910","NaN","-1.27594159897838","-4.24073238695324","-5.58849094922593","-0.594280269764672","-10.2115958464393","0.000522354644511036","0.00224438336031998","-0.027288768057942","-0.0477337551815146","-18.1422721265878","0.422415759807975","0.294539053557097","0","2957.14537912674","-1441.07283810981"
"24","-2","-2","-10","-2","-1","0.001","0.005","5e-04","0.001","-10","0.2","0.2","129768","NaN","-3.46897914798493","-2.63964022866146","-9.16143361674386","-1.78059119659421","-2.48174079147368","0.000676943791039034","0.00621577246664929","0.00885772971374462","-0.00057929329124655","-6.31026215645612","0.506345488242954","0.287474505064102","0","3088.55976371004","-1506.78003040147"
"25","-1.5","-2","-8.75","-1","-0.5","0.005","5e-04","0.001","0.005","-10","0.2","0.2","165169","NaN","-1.60530779005052","-0.899941395261837","-9.5898484665061","-0.761160904773601","-5.1407842126306","0.000730493032578042","0.00367364328563705","0.0945427735535984","-0.0244545818895648","-6.91415050911113","0.53119378287275","0.274012510710116","0","3195.68408715632","-1560.3421921246"
"26","-1","-2","-6.25","-2","-0.5","5e-04","0.001","5e-04","5e-04","-10","0.2","0.2","95345","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"27","-3","-3","-7.5","-2","-3","0.001","0.005","0.001","5e-04","-15","0.2","0.2","18061","NaN","-1.72101494578965","-4.55362672649702","-9.16586527852574","-0.799102303672389","-3.33859674299033","0.000510544539679336","0.00171952539973358","0.0141654199807441","-0.00194994735675793","-14.1264951790223","0.42333862193081","0.281291815945386","0","2903.44760888243","-1414.22395298766"
"28","-2","-3","-5","-0.5","-3","5e-04","0.005","0.001","0.005","-10","0.2","0.2","169113","NaN","-1.56104963641897","-4.54243318195442","-6.57966610882523","-0.703568460711216","-4.50895386210234","0.000487399217182551","0.00211231273603162","0.0408544047128098","-0.00714432538668574","-9.63304446207617","0.419426181451367","0.280224694998441","0","2889.04237254422","-1407.02133481856"
"29","-3","-1","-6.25","-1","-0.5","0.005","0.005","5e-04","0.001","-10","0.2","0.2","131471","NaN","-2.36329539103333","-1.8144971409815","-7.81216255207814","-3.74762512155922","-3.68875744305845","0.00291058855130245","0.0291319096260754","0.0191035650439339","-0.00328987197644374","-4.37849778152866","0.490279855102785","0.281662159127921","0","3057.64371283747","-1491.32200496518"
"30","-1","-3","-6.25","-2","-0.5","0.005","5e-04","0.001","5e-04","-15","0.2","0.2","13215","NaN","-1.56570960506246","-2.83548416740886","-8.33004852339039","-0.647742680697575","-1.04789113138677","0.000665944270690141","0.00271013795611293","0.00465543754427336","0.000251940858652729","-15.039637065404","0.456916326669335","0.350404520799213","0","3227.59677607087","-1576.29853658188"
"31","-2.5","-5","-10","-0.5","-0.5","0.001","0.005","0.005","0.001","-15","0.2","0.2","59502","NaN","-1.65522428888233","-4.48991709554609","-7.57961956080315","-0.767364413047596","-3.13252648921097","0.000517019269589387","0.00182068679222146","0.00937884751194129","-0.00119378216149285","-10.5075130017409","0.420347008239797","0.283208778494552","0","2904.66628961231","-1414.8332933526"
"32","-1","-5","-7.5","-2","-1","0.001","5e-04","0.005","0.005","-10","0.2","0.2","173680","NaN","-2.05533844528322","-4.84791660692372","-10.6072974844729","-2.5893452984514","-1.17081080993059","0.000228510551344968","-0.00201131571358551","0.00504149942102958","0.000185519287753136","-5.79847763678098","0.49073228960317","0.355135503435253","0","3235.48260828574","-1580.24145268931"
"33","-3","-1","-7.5","-2","-3","0.001","0.001","0.005","0.001","-10","0.2","0.2","146321","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"34","-2.5","-4","-6.25","-2","-0.5","5e-04","0.005","5e-04","5e-04","-10","0.2","0.2","98707","NaN","-2.108426960584","-3.89920402454407","-7.28888608503058","-1.88674080418056","-3.3322446205759","0.000619362938587189","0.00303759256397192","0.0144687991320226","-0.00141916301814811","-9.01668362998556","0.453652028910411","0.282025966048192","0","2962.05908930879","-1443.52969320084"
