"","a_log","h_log","log_w","r1_log","r2_log","alpha11","alpha22","alpha12","alpha21","c_log","sigma","sigma2","strtpt","error","a_log.est","h_log.est","log_w.est","r1_log.est","r2_log.est","alpha11.est","alpha12.est","alpha22.est","alpha21.est","c_log.est","sigma.est","sigma2.est","converge","BIC","logLik"
"30","-1","-4","-8.75","-2","-1","5e-04","5e-04","5e-04","5e-04","-5","0.2","0.2","182660","NaN","-1.85774305904002","-3.20363920092753","-5.74164257725438","-2.06676524813774","-3.85977395794959","0.00073025201724466","0.00511593964818769","0.0218485690368072","-0.00395093534074264","-5.07698827971931","0.464338567278333","0.282047691716439","0","2995.38752086349","-1460.19390897819"
"31","-1","-4","-7.5","-1","-1","0.005","5e-04","5e-04","0.005","-15","0.2","0.2","63560","NaN","-2.08960813477913","-3.41738148455378","-7.87278310483976","-2.88034967629449","-2.54445738554537","0.00124040910133008","-0.00151876686584261","0.0078906493834414","-0.000583492201405629","-13.3740371211348","0.47999365349654","0.283366178235743","0","3022.23426507146","-1473.61728108217"
"32","-2","-3","-7.5","-2","-3","0.005","5e-04","0.001","0.001","-5","0.2","0.2","225063","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"33","-2.5","-1","-10","-0.5","-1","0.001","0.001","0.001","0.001","-10","0.2","0.2","136772","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"34","-3","-4","-10","-1","-3","0.005","0.001","0.005","0.001","-5","0.2","0.2","238631","NaN","-1.62410793189292","-4.17544747650549","-9.04669626479997","-0.730805460896882","-2.85163871966706","0.0005538789600872","0.0017622369781306","0.0101982815883707","-0.00116160249220694","-6.53153919914442","0.423025507279848","0.271238848534603","0","2921.9489265739","-1423.47461183339"
"35","-1.5","-4","-8.75","-1","-3","5e-04","5e-04","0.001","5e-04","-15","0.2","0.2","10284","NaN","-1.58424035667237","-4.06116947133662","-7.48244781276732","-0.71584415629388","-4.39434379839868","0.000561898156482102","0.00205230278337449","0.0376669939095064","-0.00624569566776738","-14.6699942873209","0.424878976004429","0.280569280549667","0","2902.45361938523","-1413.72695823906"
"36","-2.5","-3","-8.75","-1","-1","5e-04","0.005","0.005","0.001","-15","0.2","0.2","57912","NaN","-2.26610323245296","-3.68112764229807","-7.77198528879803","-5.95878778537436","-4.09971355041459","0.0156040867978429","0.0358832784966111","0.0276552140122455","-0.0048043478041789","-9.02719292718094","0.475959738329922","0.280224481231961","0","3019.28424838399","-1472.14227273844"
"37","-1.5","-2","-5","-1","-0.5","0.001","5e-04","5e-04","0.001","-10","0.2","0.2","123619","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"38","-2.5","-3","-5","-1","-0.5","5e-04","5e-04","0.001","5e-04","-15","0.2","0.2","11112","NaN","-1.03900903327006","-1.61094850522965","-5.36858032025117","-1.10041356267108","-1.77084053710433","0.000669356869379225","0.00414765759443123","0.00573912555518231","1.3400192045037e-05","-15.2387763292129","0.529973817177756","0.30317099838923","0","3178.19402651791","-1551.5971618054"
"39","-3","-1","-5","-2","-3","0.005","0.001","5e-04","5e-04","-10","0.2","0.2","96871","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
