"","a_log","a12","h_log","kr_log","r1_log","r2_log","alpha11","alpha22","alpha12","alpha21","c_log","sigma","sigma2","strtpt","error","a_log.est","a12.est","h_log.est","kr_log.est","r1_log.est","r2_log.est","alpha11.est","alpha12.est","alpha22.est","alpha21.est","c_log.est","sigma.est","sigma2.est","converge","BIC","logLik"
"11","-3","-5e-05","-1","-1.75","-0.5","-0.5","0.005","5e-04","0.005","0.005","-10","0.2","0.2","877241","NaN","-2.06593792659304","-0.000308288131473389","-0.511218022176907","-2.12112343754887","-0.434394058723714","-1.51171213380411","0.000609861958922128","0.00542727155469042","0.00915841012555774","0.000139833157099628","-9.93698830620881","0.51879874773818","0.396972414187289","0","3480.65409244085","-1699.70220714574"
"12","-2","-2e-04","-4","-2.375","-0.5","-3","0.005","0.005","5e-04","0.005","-5","0.2","0.2","1261413","NaN","-1.30894829117597","-0.000377754666635916","-3.81405553969894","0.316402166432102","-0.819040862707649","-3.62533768698544","0.0005257421569399","0.00240135927363863","0.0207691444504784","-0.00365575746682333","-6.61328501866098","0.40027742787894","0.282328230646806","0","2855.31964043105","-1387.03498114084"
"13","-2","-5e-04","-4","-1.75","-1","-3","0.001","0.001","5e-04","5e-04","-15","0.2","0.2","23403","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"14","-1.5","-5e-04","-3","-1.125","-2","-1","0.001","5e-04","0.005","5e-04","-5","0.2","0.2","1020429","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"15","-2","-0.00035","-5","-1.125","-0.5","-3","0.001","5e-04","0.005","5e-04","-15","0.2","0.2","108508","NaN","-1.40784410139648","-0.000315739636754941","-4.2853771400109","-1.45579634663025","-0.637767227399849","-3.60274977595175","0.000503888664956089","0.00239295717417035","0.0175297131238948","-0.00262263787013748","-14.5939494320605","0.407259144371054","0.281232663151335","0","2868.39356829921","-1393.57194507492"
"16","-3","-5e-05","-5","-0.5","-1","-0.5","0.005","0.001","5e-04","0.001","-10","0.2","0.2","640516","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"17","-3","1e-04","-1","-1.75","-0.5","-0.5","0.005","0.005","5e-04","5e-04","-15","0.2","0.2","50371","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"18","-2.5","-5e-04","-5","-2.375","-0.5","-3","0.005","0.005","0.005","0.005","-15","0.2","0.2","451377","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"19","-1.5","-5e-05","-4","-1.125","-1","-0.5","0.001","0.001","5e-04","5e-04","-10","0.2","0.2","482919","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"20","-3","-5e-04","-3","-2.375","-2","-0.5","0.001","0.005","0.001","0.001","-5","0.2","0.2","1157051","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
