"","a_log","h_log","log_w","kr_log","r1_log","r2_log","alpha11","alpha22","alpha12","alpha21","c_log","sigma","sigma2","strtpt","error","a_log.est","h_log.est","log_w.est","kr_log.est","r1_log.est","r2_log.est","alpha11.est","alpha12.est","alpha22.est","alpha21.est","c_log.est","sigma.est","sigma2.est","converge","BIC","logLik"
"67","-2","-2","-5","-1.75","-1","-1","0.001","5e-04","0.001","0.001","-15","0.2","0.2","210993","NaN","-1.71000531792852","-2.99913779386354","-9.52474702795682","1.59442956438353","-11.4538275581656","-6.57045327347593","0.00529144740171542","0.00747340949327012","0.320523192490534","-0.0548674873279633","-8.1703635345178","0.462543095852589","0.280100313708084","0","2996.26093926807","-1457.50563055935"
"68","-2","-5","-10","-1.125","-1","-0.5","0.001","0.005","0.005","0.005","-5","0.2","0.2","1360378","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"69","-3","-1","-10","-0.5","-1","-0.5","0.001","0.005","0.001","5e-04","-10","0.2","0.2","550521","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"70","-2.5","-2","-6.25","-1.125","-2","-0.5","5e-04","0.001","5e-04","5e-04","-5","0.2","0.2","932342","NaN","-0.575055287232606","-1.78274570204973","-12.6189219967917","1.60220609015853","-1.12881287917638","-4.60400649818682","0.000716201121849291","0.00305023057984011","0.0605868264473308","-0.00576767174482379","-4.1696249877398","0.53818864748102","0.285398891677535","0","3018.57035512236","-1468.66033848649"
"71","-3","-4","-6.25","-1.75","-1","-0.5","0.001","0.005","0.005","0.005","-15","0.2","0.2","449081","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"72","-3","-4","-5","-3","-1","-0.5","5e-04","5e-04","0.005","5e-04","-10","0.2","0.2","561356","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"73","-2.5","-4","-10","-2.375","-0.5","-3","0.001","0.005","0.005","5e-04","-5","0.2","0.2","1053257","NaN","-1.5037500917973","-4.83628202481593","-6.67222615369379","-0.175976553123564","-0.679643124484042","-4.80646454088221","0.000438089164262256","0.00224138400118458","0.0510356044374381","-0.00908584459131858","-7.89220849034982","0.413712848122796","0.278967239420445","0","2866.18898214609","-1392.46965199836"
"74","-2.5","-4","-8.75","-1.125","-2","-3","0.005","0.001","5e-04","5e-04","-10","0.2","0.2","484157","NaN","-1.41876930598075","-3.91492097035592","-10.8056908570734","0.797783106109637","-0.805412022822031","-3.28204943170205","0.000575414261061088","0.00172777422050247","0.0137146345595476","-0.00192671408372948","-8.74845912194395","0.406642375764705","0.282238150535929","0","2863.22966839065","-1390.98999512064"
"75","-1.5","-1","-10","-0.5","-1","-3","0.001","5e-04","5e-04","0.001","-15","0.2","0.2","158649","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"76","-2.5","-2","-7.5","-3","-2","-1","5e-04","0.001","0.001","0.005","-15","0.2","0.2","373192","NaN","-1.61064820525664","-3.74453625628738","-5.07768031352308","-2.22220639900832","-0.930724953784225","-2.23856216014144","0.000551099406842045","0.00381676976595061","0.00744371164544208","-0.000323144028908396","-13.8280964851443","0.445121847386687","0.283704122818125","0","2973.60595493272","-1446.17813839167"
