"","a_log","h_log","kr_log","r1_log","r2_log","alpha11","alpha22","alpha12","alpha21","c_log","sigma","sigma2","strtpt","error","a_log.est","h_log.est","kr_log.est","r1_log.est","r2_log.est","alpha11.est","alpha12.est","alpha22.est","alpha21.est","c_log.est","sigma.est","sigma2.est","converge","BIC","logLik"
"70","-1.44444444444444","-4.55555555555556","-2.375","-1","-1","0.001","5e-04","5e-04","0.005","-5","0.2","0.2","978618","NaN","-1.74616490193356","-3.95931971815483","-0.757709290208653","-0.647168634636605","-2.46111111170832","0.000541129609087094","0.00247156091505858","0.00904208814509531","-0.000681163344605436","-5.82743903511028","0.444801642135638","0.28957287262218","0","2935.05590486199","-1430.02810097744"
"71","-2.55555555555556","-2.33333333333333","-0.5","-2","-1","5e-04","5e-04","0.005","5e-04","-10","0.2","0.2","447463","NaN","-1.47465700650985","-2.32675357105903","1.9491260438044","-4.2994771265587","-3.97131712751006","0.0031241055816375","0.0326317724166764","0.0247081774741093","-0.00352712770837498","-6.81219830934931","0.460852091373229","0.280850439670121","0","2987.02123965493","-1456.01076837391"
"72","-2.55555555555556","-1.88888888888889","-1.125","-1","-3","5e-04","0.005","0.001","0.001","-10","0.2","0.2","554373","NaN","-1.50498868978802","-3.55381585529568","1.06895804109215","-1.07807308714197","-4.39847130548686","0.000624831209677438","0.0018712564552096","0.0251533528666446","-0.00330982661951123","-6.62490989460403","0.410818192302315","0.284591792517422","0","2876.3808631017","-1400.69058009729"
"73","-3","-1.44444444444444","-1.125","-2","-3","0.005","0.005","0.005","0.005","-5","0.2","0.2","1089381","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"74","-1.88888888888889","-4.11111111111111","-0.5","-1","-1","5e-04","0.001","0.005","0.001","-10","0.2","0.2","582926","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"75","-2.77777777777778","-1.88888888888889","-1.125","-0.5","-0.5","0.001","5e-04","0.005","5e-04","-10","0.2","0.2","454372","NaN","-1.100473419458","10.8874626422511","-12.9716457751631","-4.775293489569","-4.41102733885566","0.00388396925550001","0.0971913771325374","0.0372477953463616","-0.00645973575131935","2.74706309362187","0.525849225680884","0.280180973805169","0","3123.99679746706","-1524.49854727997"
"76","-1.88888888888889","-1.88888888888889","-1.75","-1","-0.5","5e-04","0.001","0.005","0.001","-15","0.2","0.2","219776","NaN","-8.48601052259158","7.10717708288367","1.11780807147872","-4.1325270700418","-4.71595466685763","0.00322337230114262","0.0505733466934997","0.0491639861374036","-0.00920199689276474","-13.7704794401925","0.525737563767282","0.280216093637312","0","3123.01286498017","-1524.00658103653"
"77","-2.55555555555556","-2.77777777777778","-1.75","-2","-1","0.001","0.001","0.005","0.001","-10","0.2","0.2","586753","NaN","-1.52150498419864","-4.30711011969551","-1.023850682368","-0.694957705081366","-2.69520074799168","0.000546772975218041","0.00150643354491767","0.00921600825971886","-0.000729509303982652","-8.00905791976217","0.414594753035197","0.283544991233563","0","2885.97754871214","-1405.48892290251"
"78","-2.33333333333333","-2.77777777777778","-1.75","-0.5","-3","0.001","0.005","0.005","0.001","-5","0.2","0.2","964254","NaN","-1.28316758188992","-3.4945436983089","1.48339075476086","-0.830885412251848","-4.44422445891818","0.00062685302719522","0.00190376973334491","0.0403346379911337","-0.0078581532732616","-6.07632074665957","0.408828020691776","0.278180513999398","0","2865.65007390499","-1395.32518549894"
"79","-1.88888888888889","-4.55555555555556","-2.375","-1","-0.5","0.005","0.005","0.001","0.005","-5","0.2","0.2","1052116","NaN","-2.5536429062845","-9.93627625840383","0.668054949857273","-2.89387761226279","-4.35387631172495","-0.000504139305210715","0.00613754517872835","0.0380565012653356","-0.0061165806444218","-7.49095669444745","0.466897892005579","0.280490781596116","0","3004.63529982441","-1464.81779845865"
"80","-3","-4.11111111111111","-0.5","-1","-3","0.001","0.001","0.001","5e-04","-5","0.2","0.2","788421","NaN","-1.65176733798892","-4.64994013272382","1.64676172686111","-0.904900134498589","-3.06093516898137","0.000471756886238521","0.00201204768656206","0.0111001646009943","-0.000932333140955824","-6.70241327477461","0.427780093403559","0.269572269293694","0","2902.19414337657","-1413.59722023473"
"81","-2.77777777777778","-1.44444444444444","-1.75","-1","-3","0.005","0.001","5e-04","0.001","-15","0.2","0.2","144782","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"82","-2.33333333333333","-4.55555555555556","-0.5","-2","-1","0.001","0.001","0.001","0.001","-15","0.2","0.2","181914","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
