"","a_log","h_log","log_w","kr_log","r1_log","r2_log","alpha11","alpha22","alpha12","alpha21","c_log","sigma","sigma2","strtpt","error","a_log.est","h_log.est","log_w.est","kr_log.est","r1_log.est","r2_log.est","alpha11.est","alpha12.est","alpha22.est","alpha21.est","c_log.est","sigma.est","sigma2.est","converge","BIC","logLik"
"47","-2.5","-4","-10","-1.75","-0.5","-0.5","0.005","0.001","5e-04","0.001","-5","0.2","0.2","1096507","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"48","-1","-2","-7.5","-3","-2","-0.5","0.001","5e-04","0.005","5e-04","-10","0.2","0.2","566320","NaN","-1.95221843870365","-2.76730125506455","-6.06170395044635","-2.38569038219913","-4.14963287826164","-4.03345375117977","0.00339006286339634","0.0218206444598133","0.0263509109153644","-0.00445284772570395","-6.45282946702678","0.473600833333393","0.280422984381602","0","3021.39940302353","-1470.07486243708"
"49","-1.5","-4","-8.75","-1.125","-2","-3","0.001","0.001","0.001","5e-04","-15","0.2","0.2","73534","NaN","-1.49136926315625","-4.16526638841655","-10.1787151951464","0.400789310016515","-0.777867030955919","-3.21826073509195","0.000543576391982858","0.00167716026670785","0.0136850986684146","-0.00159603744942831","-14.7841338495006","0.401411246624099","0.279226673120254","0","2863.80569405585","-1391.27800795324"
"50","-3","-3","-10","-1.125","-2","-3","0.001","0.005","0.005","0.001","-5","0.2","0.2","1204136","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"51","-2.5","-1","-6.25","-3","-0.5","-3","5e-04","0.001","0.005","0.005","-15","0.2","0.2","423222","NaN","-0.88989612933939","-2.23343348040721","-7.02339202434894","3.0494860810963","-4.58633168450642","-2.60488436363111","-0.00276146401757746","0.0142885996683101","0.0088920008848309","-0.000662443804443344","-13.739462147137","0.466647191663798","0.28441910848579","0","3022.64213778119","-1470.69622981591"
"52","-1","-5","-6.25","-3","-1","-0.5","5e-04","0.001","0.005","5e-04","-10","0.2","0.2","578205","NaN","-1.55905427800869","-4.82675720068596","-5.85035898633244","-3.45944702752903","-0.711384519718107","-2.78889254935085","0.000428573699323897","0.0026914331054273","0.00983487561744438","-0.000441633677576632","-8.52523625431767","0.417726841407929","0.284627022940011","0","2914.9234960489","-1416.83690894976"
"53","-1","-3","-6.25","-3","-0.5","-3","0.005","0.005","0.001","5e-04","-10","0.2","0.2","552590","NaN","-1.20590377986498","-4.31756565917803","-5.49826979811546","-1.13323786777614","-0.518898406836616","-2.85723180391826","0.000494056546217575","0.00252600939468577","0.0102917096625773","-0.00111935888776633","-8.94870686441584","0.413184235551061","0.282506514989687","0","2882.85312584512","-1400.80172384788"
"54","-1","-5","-6.25","-1.75","-0.5","-1","0.001","0.005","5e-04","0.005","-15","0.2","0.2","346580","NaN","-1.58474123460628","-4.47860744286839","-7.17797293001018","-2.43866732407745","-0.736921338313687","-4.16740372856694","0.000507567487119606","0.00190914217186505","0.0306431689290803","-0.00528408903240962","-12.7029005001223","0.415821751255584","0.279839334909467","0","2886.70780051521","-1402.72906118292"
"55","-1.5","-5","-10","-2.375","-1","-0.5","0.001","0.001","5e-04","5e-04","-15","0.2","0.2","27004","NaN","-1.87437082819497","-4.37272618558421","-7.95225512831723","-6.84902747082291","-1.60368585935431","-2.28516573859005","0.000623061115311002","0.000397904985093475","0.0065574792612933","-0.00013782548542837","-6.56164005425946","0.453001790582579","0.290499166979054","0","2990.37996876388","-1454.56514530725"
"56","-1.5","-4","-7.5","-1.75","-1","-0.5","0.001","0.001","0.005","0.005","-10","0.2","0.2","887809","NaN","-0.815070125426083","-2.35699479224074","-7.15520392909625","-1.73836025975985","-1.04766914343117","-2.68642077338321","0.000637958183095381","0.00200611200842878","0.0086780333717537","-0.000629192544960397","-9.02876390270389","0.556767108573542","0.2973162655182","0","3105.38268971479","-1512.06650578271"
"57","-1.5","-4","-10","-3","-1","-3","5e-04","5e-04","5e-04","0.001","-15","0.2","0.2","152509","NaN","-1.38485370220203","-4.10445327411923","-5.95325445112605","-2.55414902373486","-0.697810778763517","-4.47152072216559","0.000531287211699378","0.00236486822429215","0.0425611626677896","-0.00748785589978132","-13.8461652896986","0.413303989454227","0.279502861713913","0","2885.47551788533","-1402.11291986798"
"58","-3","-2","-6.25","-1.75","-2","-3","0.001","0.001","0.001","5e-04","-5","0.2","0.2","984716","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"59","-2","-1","-8.75","-2.375","-1","-0.5","5e-04","0.005","5e-04","0.001","-15","0.2","0.2","190173","NaN","-0.0671399696973325","0.544112176786708","-0.903674161792063","-3.99086429363682","-2.27152856507984","-4.57384313407158","0.000911248146818353","0.0100865118894797","0.0471240491447252","-0.00194730477924293","-14.6284667279051","0.519566203949208","0.287247545577592","0","3137.67922607374","-1528.21477396218"
"60","-1","-4","-7.5","-1.75","-1","-0.5","5e-04","0.005","0.001","0.001","-15","0.2","0.2","240935","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"61","-3","-2","-10","-2.375","-1","-0.5","5e-04","5e-04","0.005","0.001","-5","0.2","0.2","1168891","NaN","-2.03753230595887","-1.4287639124543","-7.56215836317916","-5.08797382327613","-1.50487492629118","-2.58482199734364","0.000810545936968418","0.00401447707776294","0.00794643743178105","-0.000658715426305998","-3.78726817944055","0.480319648660054","0.281858500533869","0","3085.7198399009","-1502.23508087576"
"62","-1.5","-2","-8.75","-3","-2","-0.5","5e-04","0.005","0.001","5e-04","-10","0.2","0.2","543794","NaN","-1.73874335222148","-3.80949445317823","-8.35395604992008","-2.59578199356649","-1.00955449458152","-3.81715759377726","0.000598175324492265","0.00203730205822355","0.0250107388075823","-0.00450811591365752","-5.67702242642021","0.421061953618831","0.27923247903258","0","2921.49711848958","-1420.12372017011"
"63","-2.5","-3","-10","-2.375","-1","-3","0.005","5e-04","0.005","5e-04","-5","0.2","0.2","1024512","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"64","-3","-4","-7.5","-0.5","-2","-3","0.005","5e-04","5e-04","0.005","-5","0.2","0.2","1226806","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"65","-2","-2","-8.75","-1.75","-2","-3","5e-04","5e-04","0.005","5e-04","-5","0.2","0.2","1012793","NaN","-1.23495753629071","-3.45940813573441","-8.04983373237662","0.588442063804372","-0.769739928976858","-3.05542506296843","0.00062897866105078","0.00182991540735458","0.0120247574353315","-0.00135484462068754","-6.41843051702155","0.405900435122266","0.28214497405854","0","2874.2776847751","-1396.51400331286"
"66","-3","-3","-6.25","-0.5","-0.5","-3","5e-04","5e-04","5e-04","0.001","-5","0.2","0.2","1064961","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"67","-1","-4","-7.5","-3","-1","-3","0.001","0.005","0.001","0.005","-5","0.2","0.2","1305685","NaN","-1.4620396409553","-4.17794414527271","-7.87161660725856","0.252876043619847","-0.753428357194058","-2.62217641363343","0.000534897951210097","0.00182963155776579","0.00927566678934027","-0.000760898194338451","-7.13346122478556","0.402646456471928","0.28506046898622","0","2871.90789321914","-1395.32910753488"
"68","-1.5","-4","-6.25","-1.75","-2","-1","0.005","5e-04","5e-04","0.001","-15","0.2","0.2","165334","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
