"","a_log","a12","h12","h_log","r1_log","r2_log","alpha11","alpha22","alpha12","alpha21","c_log","sigma","sigma2","strtpt","error","a_log.est","a12.est","h_log.est","h12.est","r1_log.est","r2_log.est","alpha11.est","alpha12.est","alpha22.est","alpha21.est","c_log.est","sigma.est","sigma2.est","converge","BIC","logLik"
"87","-3","-5e-05","-0.00035","-5","-1","-0.5","0.001","0.001","0.001","0.001","-10","0.2","0.2","685041","NaN","-3.00016683526145","0.000412569065485228","-4.73707581600655","9.58897972083761e-06","-0.826753903444666","-0.533349815416819","0.000582357546246323","0.00238552932528506","0.00496063041398834","0.000329338668714367","-9.74383635073591","0.487404999486856","0.441268318663316","0","3499.76592927146","-1709.25812556104"
"88","-2","-2e-04","-5e-05","-1","-0.5","-0.5","0.001","5e-04","0.001","0.001","-10","0.2","0.2","669338","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"89","-1","-0.00035","-5e-04","-4","-0.5","-1","5e-04","0.001","5e-04","0.001","-10","0.2","0.2","627635","NaN","17.3494392087916","-138.90897849427","99.4608939238092","193.693022323385","-8.14734812723778","-6.08300180710201","0.131856785103628","2.67470999237696","0.184496597915055","-0.0373361846268037","23.1653735693578","0.526072948997409","0.280218530861438","0","3129.32298941805","-1524.03665563434"
"90","-2","-0.00035","-0.00035","-4","-2","-3","0.001","0.005","0.005","0.001","-5","0.2","0.2","1203908","NaN","-2.2341504772872","7.12572780284997e-05","-3.55956001239653","-4.44713893839451e-05","-1.85637374006317","-3.25617528770046","0.000645454191651151","0.000633981048997169","0.0107629493665751","-0.00137953236598756","-4.97291423903428","0.442352209041031","0.289696909142437","0","3002.32016001837","-1460.5352409345"
"91","-3","-5e-04","-0.00035","-3","-1","-3","5e-04","0.001","5e-04","5e-04","-15","0.2","0.2","17776","NaN","-2.09310215488882","-9.6254115861588e-05","-3.12604736413617","-9.88915106586656e-05","-1.19126583390965","-2.50779708050466","0.000574032499229679","0.00308447979656098","0.00797305431228993","-0.000662097577758677","-14.5392968190138","0.439240552778127","0.271723398163498","0","2975.66867727231","-1447.20949956147"
"92","-2","-5e-05","-5e-05","-5","-2","-0.5","0.005","0.005","0.005","0.001","-5","0.2","0.2","1213218","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"93","-1","1e-04","-0.00035","-5","-2","-3","0.005","5e-04","0.001","0.001","-5","0.2","0.2","1125050","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"94","-3","-5e-04","-5e-04","-5","-2","-1","0.001","5e-04","0.001","0.001","-15","0.2","0.2","210001","NaN","-2.99173736437714","0.180391762079104","-5.25810998255065","0.423995112678392","-2.33106142816229","-0.999098527660391","0.00091849488139574","0.0120626554155611","0.00486982124164471","0.000237651317590507","-14.4145224837308","0.522903497665099","0.359155872636025","0","3380.53427290443","-1649.64229737753"
"95","-3","-2e-04","-0.00035","-2","-0.5","-3","0.005","0.001","5e-04","0.001","-15","0.2","0.2","181661","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"96","-2","-2e-04","1e-04","-1","-1","-3","0.001","0.001","0.001","0.001","-5","0.2","0.2","1137488","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"97","-3","-0.00035","1e-04","-1","-1","-3","5e-04","0.001","0.001","5e-04","-10","0.2","0.2","524356","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"98","-2.5","-5e-05","-5e-04","-2","-2","-3","5e-04","5e-04","0.001","0.001","-10","0.2","0.2","658517","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
